Mtgs,Opponent,W,L,Win%,TB,W,L,TB%,First,Last,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
7,Ernests Gulbis [LAT],2,5,28.6%,2,1,1,50.0%,2010,2020,6,0.91,10.0%,6.2%,60.3%,75.5%,49.4%,65.1%,31.7%,61.1%,38.5%
6,Edouard Roger Vasselin [FRA],6,0,100.0%,4,4,0,100.0%,2010,2015,6,1.04,11.3%,6.0%,59.3%,73.4%,53.1%,65.1%,36.1%,62.9%,56.3%
5,Grigor Dimitrov [BUL],2,3,40.0%,3,1,2,33.3%,2014,2017,5,0.89,14.9%,3.7%,62.6%,79.7%,53.9%,70.0%,26.5%,68.4%,29.4%
5,Benoit Paire [FRA],2,3,40.0%,3,0,3,0.0%,2011,2017,5,1.01,10.2%,3.4%,65.2%,74.3%,48.8%,65.4%,34.8%,64.0%,31.3%
5,Gilles Muller [LUX],2,3,40.0%,4,2,2,50.0%,2010,2016,5,1.07,8.7%,4.2%,65.9%,76.3%,60.7%,70.9%,31.1%,60.7%,39.1%
5,Lukas Rosol [CZE],3,2,60.0%,1,0,1,0.0%,2009,2015,4,1.21,12.6%,3.1%,64.4%,76.8%,55.9%,69.3%,37.2%,68.4%,34.5%
5,Andy Murray [GBR],1,4,20.0%,3,3,0,100.0%,2009,2014,4,0.81,9.9%,7.2%,61.0%,73.6%,42.0%,61.3%,31.5%,59.0%,35.0%
4,Igor Sijsling [NED],2,2,50.0%,2,1,1,50.0%,2011,2017,4,1.28,14.6%,5.8%,59.5%,78.9%,56.3%,69.7%,38.8%,68.4%,33.3%
4,Ruben Bemelmans [BEL],1,3,25.0%,1,0,1,0.0%,2009,2017,3,1.04,11.6%,3.9%,60.8%,80.0%,54.9%,70.2%,31.2%,63.6%,27.3%
4,Florian Mayer [GER],0,4,0.0%,2,0,2,0.0%,2012,2017,4,0.77,7.7%,5.6%,56.3%,75.8%,48.2%,63.7%,27.8%,53.6%,31.3%
4,Adrian Mannarino [FRA],2,2,50.0%,2,2,0,100.0%,2009,2017,3,1.05,16.9%,3.0%,64.9%,82.7%,53.1%,72.3%,29.2%,55.6%,18.8%
4,Philipp Kohlschreiber [GER],1,3,25.0%,2,1,1,50.0%,2012,2015,4,0.88,11.3%,4.2%,63.0%,68.6%,51.9%,62.4%,33.1%,66.7%,29.2%
4,Alexandr Dolgopolov [UKR],0,4,0.0%,1,0,1,0.0%,2014,2015,3,0.73,6.2%,9.3%,61.7%,66.4%,31.1%,52.8%,34.4%,51.9%,35.7%
4,Dustin Brown [GER],2,2,50.0%,3,1,2,33.3%,2011,2015,4,0.91,10.1%,4.0%,68.4%,72.0%,47.1%,64.1%,32.8%,73.0%,27.6%
4,Joao Sousa [POR],3,1,75.0%,2,2,0,100.0%,2013,2015,4,1.03,14.1%,6.1%,60.4%,75.7%,54.0%,67.1%,34.0%,57.9%,50.0%
