Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,413,293,120,70.9%,700-343,67.1%,5615-4501,55.5%,111-68,62.0%,312,84.9%,26.5%,6.9%,3.2%,62.2%,74.4%,54.3%,66.8%,39.6%,52.9%,1.20
Clay,168,115,53,68.5%,309-158,66.2%,2456-1891,56.5%,32-27,54.2%,108,82.0%,31.3%,5.2%,3.1%,62.1%,72.7%,52.0%,64.9%,41.8%,53.1%,1.19
Grass,45,28,17,62.2%,90-60,60.0%,800-694,53.5%,13-9,59.1%,38,83.6%,21.2%,6.5%,4.5%,61.7%,75.6%,50.0%,65.8%,36.3%,50.8%,1.06
Carpet,119,72,47,60.5%,155-112,58.1%,1392-1233,53.0%,29-26,52.7%,88,84.7%,19.9%,6.7%,2.9%,62.5%,74.6%,53.3%,66.6%,35.9%,51.3%,1.08
Grand Slams,157,119,38,75.8%,384-165,69.9%,2977-2249,57.0%,46-24,65.7%,122,83.4%,29.4%,6.2%,3.2%,63.2%,75.1%,50.9%,66.2%,40.6%,53.1%,1.20
Masters,209,137,72,65.6%,309-182,62.9%,2619-2138,55.1%,48-44,52.2%,166,84.6%,24.9%,6.7%,3.4%,60.8%,74.0%,54.1%,66.2%,38.6%,52.2%,1.14
Other Tours,337,229,108,68.0%,490-262,65.2%,3969-3268,54.8%,77-51,60.2%,242,84.8%,25.2%,6.4%,3.2%,62.4%,73.7%,54.8%,66.6%,39.2%,52.6%,1.17
Best of 5,196,145,51,74.0%,472-225,67.7%,3759-2910,56.4%,62-33,65.3%,131,83.6%,28.9%,6.1%,3.1%,63.0%,75.1%,51.1%,66.2%,40.4%,53.0%,1.19
Best of 3,549,363,186,66.1%,782-448,63.6%,6504-5409,54.6%,123-97,55.9%,415,84.4%,24.7%,6.6%,3.3%,61.7%,73.8%,54.3%,66.3%,38.7%,52.3%,1.15
Finals,37,23,14,62.2%,65-49,57.0%,592-542,52.2%,12-9,57.1%,34,83.3%,20.8%,5.9%,2.4%,62.7%,72.0%,52.5%,64.7%,36.7%,50.8%,1.04
Semi-finals,65,36,29,55.4%,88-72,55.0%,806-750,51.8%,11-15,42.3%,57,81.5%,24.9%,6.0%,3.5%,60.8%,72.8%,51.5%,64.4%,38.2%,51.2%,1.08
Quarter-finals,102,63,39,61.8%,161-95,62.9%,1370-1141,54.6%,31-20,60.8%,82,84.5%,26.4%,7.2%,2.8%,62.6%,74.4%,54.3%,66.9%,38.9%,52.7%,1.18
vs Righties,608,404,204,66.4%,992-571,63.5%,8254-6840,54.7%,152-107,58.7%,445,83.9%,25.0%,6.3%,3.2%,62.3%,74.0%,53.3%,66.2%,38.7%,52.2%,1.15
vs Lefties,137,104,33,75.9%,262-102,72.0%,2009-1479,57.6%,33-23,58.9%,101,85.4%,30.7%,7.0%,3.2%,61.4%,75.3%,53.4%,66.8%,41.6%,53.9%,1.25
vs Top 10,126,53,73,42.1%,161-191,45.7%,1725-1809,48.8%,38-36,51.4%,98,81.0%,18.8%,7.1%,3.1%,62.2%,72.9%,51.3%,64.8%,35.2%,50.0%,1.00
