Date,Tournament,Surface,Rd,Rk,vRk,,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
21-Jun-1993,Wimbledon,Grass,F,2,1,(1) Pete Sampras [USA] d. (3) Courier,7-6(3) 7-6(6) 3-6 6-3,0.71,5.4%,4.0%,55.7%,78.3%,53.0%,3/5,
24-May-1993,Roland Garros,Clay,F,2,11,(10) Sergi Bruguera [ESP] d. (2) Courier,6-4 2-6 6-2 3-6 6-3,0.88,3.0%,0.0%,66.9%,68.1%,46.4%,16/21,
18-Jan-1993,Australian Open,Hard,F,1,2,(1) Courier d. (2) Stefan Edberg [SWE],6-2 6-1 2-6 7-5,,,,,,,,
16-Nov-1992,Tour Finals,Carpet,F,1,7,Boris Becker [GER] d. Courier,6-4 6-3 7-5,0.86,8.3%,4.6%,60.2%,69.2%,51.2%,8/13,2:28
25-May-1992,Roland Garros,Clay,F,1,8,(1) Courier d. (7) Petr Korda [CZE],7-5 6-2 6-1,1.63,7.7%,3.3%,74.7%,76.5%,39.1%,4/6,1:59
13-Jan-1992,Australian Open,Hard,F,2,1,(2) Courier d. (1) Stefan Edberg [SWE],6-3 3-6 6-4 6-2,1.23,1.6%,1.6%,70.5%,64.0%,69.4%,10/12,2:54
12-Nov-1991,Tour Finals,Carpet,F,2,7,Pete Sampras [USA] d. Courier,3-6 7-6(5) 6-3 6-4,0.79,2.8%,1.4%,63.1%,67.4%,50.0%,9/13,2:09
26-Aug-1991,US Open,Hard,F,5,2,(2) Stefan Edberg [SWE] d. (4) Courier,6-2 6-4 6-0,0.45,3.4%,4.5%,65.2%,55.2%,38.7%,8/14,2:04
27-May-1991,Roland Garros,Clay,F,9,4,(9) Courier d. (4) Andre Agassi [USA],3-6 6-4 2-6 6-1 6-4,1.09,6.2%,1.4%,60.7%,64.8%,57.9%,14/19,3:25
04-Mar-1991,Indian Wells Masters,Hard,F,26,5,(16) Courier d. (3) Guy Forget [FRA],4-6 6-3 4-6 6-3 7-6(4),1.10,8.6%,2.2%,58.3%,77.8%,60.3%,2/6,3:30
