Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2013,2,1,1,50.0%,2-2,50.0%,20-17,54.1%,0-1,0.0%,2,88.9%,22.2%,17.2%,3.1%,61.7%,74.7%,53.1%,66.4%,32.1%,50.9%,0.95,R16 (Stockholm)
2011,2,1,1,50.0%,3-2,60.0%,29-26,52.7%,1-1,50.0%,0,,,,,,,,,,,,
2010,1,0,1,0.0%,1-3,25.0%,19-24,44.2%,0-0,-,0,,,,,,,,,,,,
2009,5,3,2,60.0%,7-4,63.6%,61-54,53.0%,1-2,33.3%,5,94.6%,12.5%,23.6%,3.7%,64.1%,81.6%,55.2%,72.1%,33.0%,51.9%,1.18,QF (Stockholm)
2008,2,1,1,50.0%,2-2,50.0%,19-23,45.2%,1-0,100.0%,2,85.0%,4.8%,20.9%,4.5%,61.8%,86.8%,45.2%,70.9%,25.4%,47.0%,0.87,R16 (Stockholm)
2007,8,3,5,37.5%,7-7,50.0%,72-72,50.0%,2-2,50.0%,5,92.7%,12.2%,18.1%,5.2%,65.7%,75.3%,54.8%,68.3%,29.9%,50.1%,0.94,SF (Adelaide)
2006,8,5,3,62.5%,12-6,66.7%,103-94,52.3%,4-3,57.1%,7,90.5%,13.7%,17.8%,3.8%,64.8%,78.4%,50.7%,68.6%,30.4%,50.2%,0.97,SF (Stockholm)
2005,34,19,15,55.9%,49-39,55.7%,459-446,50.7%,13-9,59.1%,31,88.2%,13.8%,17.1%,5.8%,60.8%,77.7%,54.4%,68.6%,31.8%,50.1%,1.01,W (2x)
2004,57,35,22,61.4%,87-58,60.0%,810-717,53.0%,21-25,45.7%,55,91.9%,14.5%,19.3%,5.7%,63.2%,80.5%,53.8%,70.6%,31.9%,51.3%,1.09,W (Memphis)
2003,7,2,5,28.6%,5-13,27.8%,76-100,43.2%,0-1,0.0%,6,77.1%,9.3%,16.9%,8.7%,57.1%,80.9%,45.1%,65.5%,29.6%,46.5%,0.86,QF (Stockholm)
2002,2,1,1,50.0%,3-2,60.0%,29-25,53.7%,1-1,50.0%,2,92.3%,15.4%,19.3%,1.8%,63.9%,80.2%,46.7%,68.1%,36.2%,50.8%,1.13,R16 (Stockholm)
2001,2,0,2,0.0%,0-4,0.0%,16-26,38.1%,0-1,0.0%,2,70.0%,9.5%,14.4%,8.3%,50.0%,74.2%,42.4%,58.3%,30.5%,44.5%,0.73,R32 (2x)
2000,2,0,2,0.0%,0-3,0.0%,12-19,38.7%,0-0,-,2,75.0%,0.0%,11.5%,4.4%,49.6%,73.2%,40.4%,56.6%,28.1%,44.1%,0.65,R32 (2x)
Career,132,71,61,53.8%,178-145,55.1%,1725-1643,51.2%,44-46,48.9%,119,89.6%,13.6%,18.5%,5.5%,62.1%,79.3%,52.8%,69.3%,31.6%,50.4%,1.03,
