Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2006 Wimbledon QF,W vs Stepanek,29% (8/28),75% (6/8),0/5,29% (8/28),25% (2/8),4/6,1/2,4/5,1/1,1/1
2003 Marseille F,L vs Federer,10% (1/10),100% (1/1),0/3,40% (4/10),25% (1/4),1/1,0/0,1/1,0/0,0/0
1998 Stuttgart SF,L vs Kafelnikov,10% (1/10),100% (1/1),0/2,60% (6/10),33% (2/6),1/1,0/0,1/3,0/0,1/2
1998 US Open QF,L vs Rafter,13% (2/15),50% (1/2),1/4,43% (6/14),17% (1/6),1/1,0/0,1/2,0/0,0/0
1997 Tour Finals SF,L vs Sampras,20% (2/10),0% (0/2),0/2,44% (4/9),50% (2/4),0/0,0/0,2/2,0/0,1/1
1997 Paris SF,W vs Enqvist,25% (3/12),67% (2/3),1/1,42% (5/12),80% (4/5),1/1,0/0,2/2,0/0,0/0
1997 Stuttgart SF,L vs Krajicek,21% (3/14),33% (1/3),0/2,21% (3/14),33% (1/3),1/1,1/1,2/2,0/0,1/1
1997 US Open SF,L vs Rusedski,26% (6/23),67% (4/6),1/4,30% (7/23),14% (1/7),2/3,1/1,2/4,0/0,1/2
1997 Indian Wells SF,L vs Ulihrach,22% (2/9),50% (1/2),1/4,63% (5/8),20% (1/5),1/1,0/0,1/1,0/0,0/0
1995 Miami SF,L vs Sampras,33% (4/12),50% (2/4),1/5,55% (6/11),0% (0/6),1/2,1/1,0/1,0/0,0/0
2006 (1 matches),,28.6%,75.0%,0.0%,28.6%,25.0%,66.7%,50.0%,80.0%,100.0%,100.0%
2003 (1 matches),,10.0%,100.0%,0.0%,40.0%,25.0%,100.0%,-,100.0%,-,-
1998 (2 matches),,12.0%,66.7%,16.7%,50.0%,25.0%,100.0%,-,40.0%,-,50.0%
1997 (5 matches),,23.5%,50.0%,23.1%,36.4%,37.5%,83.3%,100.0%,81.8%,-,75.0%
1995 (1 matches),,33.3%,50.0%,20.0%,54.5%,0.0%,50.0%,100.0%,0.0%,-,-
Career (10 matches),,22.4%,59.4%,15.6%,38.8%,27.8%,76.5%,80.0%,69.6%,100.0%,71.4%
