Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2006 Wimbledon QF,W vs Stepanek,73% (22/30),60% (6/10),3/5,1/1,60% (9/15),2/4,1/1,79% (15/19),32% (6/19)
2003 Marseille F,L vs Federer,50% (7/14),50% (1/2),0/0,0/0,70% (7/10),2/4,2/3,43% (3/7),43% (3/7)
1998 Stuttgart SF,L vs Kafelnikov,67% (6/9),50% (1/2),0/0,0/0,71% (10/14),3/5,2/3,- (0/0),- (0/0)
1998 US Open QF,L vs Rafter,53% (9/17),33% (1/3),0/0,0/0,50% (5/10),0/3,0/1,- (0/0),- (0/0)
1997 Tour Finals SF,L vs Sampras,64% (7/11),0% (0/2),0/0,0/0,67% (4/6),4/6,2/3,- (0/0),- (0/0)
1997 Paris SF,W vs Enqvist,55% (11/20),50% (2/4),2/3,1/2,92% (11/12),2/2,0/0,50% (3/6),67% (4/6)
1997 Stuttgart SF,L vs Krajicek,67% (12/18),20% (1/5),1/1,0/0,71% (5/7),0/2,0/1,- (0/0),- (0/0)
1997 US Open SF,L vs Rusedski,68% (17/25),33% (4/12),2/2,0/0,40% (4/10),0/3,0/1,- (0/0),- (0/0)
1997 Indian Wells SF,L vs Ulihrach,80% (4/5),25% (1/4),0/0,0/0,43% (3/7),1/3,1/2,- (0/0),- (0/0)
1995 Miami SF,L vs Sampras,38% (5/13),33% (2/6),1/2,0/0,40% (4/10),1/3,0/1,- (0/0),- (0/0)
2006 (1 matches),,73.3%,60.0%,60.0%,100.0%,60.0%,50.0%,100.0%,78.9%,31.6%
2003 (1 matches),,50.0%,50.0%,-,-,70.0%,50.0%,66.7%,42.9%,42.9%
1998 (2 matches),,57.7%,40.0%,-,-,62.5%,37.5%,50.0%,-,-
1997 (5 matches),,64.6%,29.6%,83.3%,50.0%,64.3%,43.8%,42.9%,50.0%,66.7%
1995 (1 matches),,38.5%,33.3%,50.0%,-,40.0%,33.3%,0.0%,-,-
Career (10 matches),,61.7%,38.0%,69.2%,66.7%,61.4%,42.9%,50.0%,65.6%,40.6%
