Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2012 Roland Garros R128,L vs Baghdatis,15,26,0.6,10.3%,17.8%,14,20,0.7,10.9%,15.6%,,,1.6,21.2%,13.0%
2012 Australian Open R32,L vs Ferrer,18,31,0.6,10.6%,18.2%,17,30,0.6,10.4%,18.3%,,,1.4,25.3%,17.6%
2012 Australian Open R64,W vs Andujar,17,27,0.6,9.2%,14.6%,16,24,0.7,9.1%,13.7%,,,0.5,17.8%,33.5%
2012 Australian Open R128,W vs Russell,28,26,1.1,12.0%,11.1%,23,25,0.9,10.6%,11.5%,,,0.7,20.5%,30.8%
2011 US Open R32,L vs Young,19,41,0.5,9.7%,20.9%,18,40,0.5,9.6%,21.4%,7.5%,2.1%,1.3,23.5%,18.4%
2011 US Open R128,W vs Matosevic,1,3,0.3,3.2%,9.7%,1,1,1.0,3.6%,3.6%,3.6%,0.0%,0.5,22.6%,41.9%
2011 Roland Garros QF,L vs Murray,27,35,0.8,11.6%,15.0%,25,30,0.8,11.7%,14.1%,7.5%,4.2%,1.3,25.3%,18.9%
2011 Roland Garros R16,W vs Falla,38,59,0.6,12.1%,18.8%,36,55,0.7,12.0%,18.4%,7.7%,4.0%,1.1,20.8%,19.5%
2011 Roland Garros R32,W vs Rosol,20,10,2.0,7.9%,3.9%,15,9,1.7,6.4%,3.8%,5.1%,1.3%,1.0,29.9%,29.1%
2011 Australian Open R128,L vs Llodra,22,20,1.1,10.0%,9.0%,19,15,1.3,9.5%,7.5%,,,1.7,29.9%,17.6%
2007 US Open QF,L vs Ferrer,17,35,0.5,9.8%,20.1%,15,34,0.4,8.9%,20.2%,5.4%,3.6%,1.3,20.1%,14.9%
2002 Miami Masters QF,L vs Rios,9,22,0.4,9.4%,22.9%,3,17,0.2,3.8%,21.5%,1.3%,2.5%,1.2,25.0%,20.8%
2002 Sydney F,L vs Federer,8,19,0.4,8.4%,20.0%,6,15,0.4,7.3%,18.3%,2.4%,4.9%,1.5,24.2%,15.8%
Career (13 matches),,239,354,0.7,10.2%,15.1%,208,315,0.7,9.6%,14.5%,3.6%,1.8%,1.1,23.7%,21.8%
