Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2022 Buenos Aires R32,L vs Delbonis,0.0%,-,4.1%,75.0%,7.1%,13.0%,0.0%,1.6%,5.3%,2.1%,0.0%,-49,-60
2019 Queens Club R32,W vs Shapovalov,6.0%,66.7%,9.2%,72.7%,21.1%,15.4%,20.0%,0.0%,0.0%,1.0%,0.0%,-63,58
2019 Roland Garros R16,L vs Khachanov,0.0%,-,7.3%,63.2%,15.0%,15.2%,10.0%,2.8%,18.2%,1.2%,50.0%,-63,-29
2019 Roland Garros R32,W vs Thompson,5.2%,33.3%,6.2%,70.0%,19.8%,20.0%,9.1%,10.4%,50.0%,0.8%,100.0%,-48,2
2019 Roland Garros R64,W vs Nishioka,6.5%,77.8%,10.6%,79.4%,22.6%,31.2%,10.4%,6.6%,5.3%,1.1%,28.6%,27,30
2019 Roland Garros R128,W vs Jarry,2.2%,50.0%,5.4%,63.6%,20.2%,11.5%,0.0%,13.2%,33.3%,1.9%,20.0%,-75,-23
2019 Rome QF,L vs Djokovic,0.0%,-,8.0%,64.7%,14.9%,22.0%,0.0%,3.2%,13.3%,0.2%,0.0%,-64,-32
2019 Rome R32,W vs Goffin,0.0%,-,2.9%,100.0%,18.0%,21.1%,0.0%,12.0%,40.0%,1.2%,50.0%,-35,-18
2019 Rome R16,W vs Ruud,0.0%,-,8.9%,81.8%,19.4%,24.3%,0.0%,8.0%,35.7%,2.9%,28.6%,18,25
2019 Delray Beach QF,L vs Mcdonald,1.2%,0.0%,3.6%,71.4%,17.9%,21.9%,0.0%,11.8%,33.3%,0.8%,50.0%,-51,-2
2019 Delray Beach R16,W vs Opelka,1.9%,100.0%,4.4%,60.0%,25.0%,54.5%,0.0%,3.8%,50.0%,1.0%,100.0%,-51,4
2019 Delray Beach R32,W vs Nishioka,0.0%,-,8.7%,83.3%,16.7%,19.5%,18.8%,8.0%,12.5%,1.3%,25.0%,29,35
2018 Shanghai R32,W vs Gasquet,4.3%,66.7%,8.3%,76.9%,14.7%,14.3%,25.0%,7.4%,24.2%,0.6%,100.0%,-52,-18
2018 Beijing F,L vs Basilashvili,3.7%,50.0%,2.1%,66.7%,5.3%,21.1%,0.0%,0.0%,0.0%,0.7%,0.0%,-139,-98
2018 Beijing QF,W vs Krajinovic,0.0%,-,9.5%,37.5%,25.0%,36.4%,0.0%,11.8%,28.6%,0.0%,-,-82,-10
2018 Beijing R16,W vs Khachanov,3.4%,50.0%,12.6%,88.2%,15.6%,18.4%,0.0%,6.4%,25.0%,1.7%,25.0%,-10,7
2018 Beijing R32,W vs Ramos,2.0%,100.0%,5.0%,66.7%,20.2%,43.5%,5.9%,7.1%,25.0%,0.4%,0.0%,8,19
2018 US Open F,L vs Djokovic,0.0%,-,7.7%,56.3%,11.2%,13.1%,12.1%,3.1%,22.2%,0.3%,50.0%,-71,-60
2018 US Open SF,W vs Nadal,0.0%,-,8.8%,75.0%,16.4%,34.5%,4.5%,14.1%,25.0%,1.1%,33.3%,1,-19
2018 US Open QF,W vs Isner,0.9%,0.0%,7.1%,89.5%,30.8%,34.9%,57.1%,26.9%,54.5%,1.0%,0.0%,-34,15
Career (178 matches),,0.7%,66.7%,7.6%,67.0%,15.6%,19.6%,11.6%,6.5%,24.7%,0.7%,30.6%,-51,-29
