Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2015 Nice QF,L vs Mayer,69.2%,48.1%,0.0%,0/0,2.20,0.0%,55.3%,38.5%,0.0%,2.25,0.0%,96.6%,57.1%,0.0%,1.93,0.0%
2015 Monte Carlo R32,L vs Wawrinka,66.7%,40.6%,6.3%,1/2,2.29,9.6%,57.1%,16.7%,4.8%,2.24,13.2%,80.0%,55.0%,8.0%,2.43,0.0%
2015 Buenos Aires F,L vs Nadal,79.6%,38.5%,0.0%,0/0,2.14,0.0%,78.4%,27.6%,0.0%,2.16,0.0%,90.9%,70.0%,0.0%,2.08,0.0%
2014 Madrid R32,L vs Nadal,70.5%,48.4%,0.0%,0/0,2.22,0.0%,65.7%,47.8%,0.0%,2.08,0.0%,88.9%,50.0%,0.0%,2.38,0.0%
2012 Hamburg F,W vs Haas,83.6%,52.5%,5.5%,1/3,1.92,29.2%,78.3%,44.4%,6.5%,1.96,36.5%,96.2%,64.0%,3.8%,1.77,0.0%
2012 Hamburg QF,W vs Chardy,72.4%,61.8%,1.3%,0/1,2.49,5.3%,70.5%,54.8%,2.3%,2.57,7.4%,82.8%,70.8%,0.0%,2.27,0.0%
2012 Miami SF,L vs Djokovic,78.5%,33.3%,3.1%,0/2,2.78,3.7%,81.3%,38.5%,6.3%,2.65,5.4%,86.2%,28.0%,0.0%,3.06,0.0%
2011 Paris QF,L vs Federer,72.9%,45.1%,1.4%,0/1,2.33,51.1%,60.5%,30.8%,0.0%,2.23,42.3%,92.6%,60.0%,3.7%,2.47,63.2%
2011 US Open R16,L vs Federer,55.9%,36.4%,5.1%,0/3,2.49,26.9%,43.6%,35.3%,7.7%,2.50,17.1%,84.2%,37.5%,0.0%,2.47,47.1%
2010 Shanghai SF,L vs Murray,66.7%,23.3%,6.7%,0/3,1.89,0.0%,59.1%,15.4%,4.5%,1.88,0.0%,85.0%,29.4%,10.0%,1.91,0.0%
Career (10 matches),,72.0%,44.4%,2.8%,11.8%,2.27,13.7%,65.3%,37.7%,3.0%,2.25,13.5%,88.4%,52.5%,2.7%,2.32,14.1%
