Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-30),271,196,275,1494,334,1384,221,1487,,,,,,
2025,255,213,242,1523,315,1402,196,1514,,,,,,
2024,209,272,244,1510,297,1399,196,1504,,,660,70,,
2023,83,709,112,1668,177,1523,83,1666,175,1462,,,,
2022,105,552,113,1680,242,1451,80,1670,156,1484,,,,
2021,129,567,115,1673,275,1402,89,1665,149,1508,,,,
2020,158,411,229,1465,270,1301,191,1465,,,361,133,,
2019,143,372,164,1589,348,1343,117,1585,,,348,133,,
2018,350,60,375,1245,376,1165,344,1245,,,393,65,,
2017,493,72,369,1208,,,336,1199,,,852,42,,
2016,641,44,,,,,,,,,957,33,,
2015,655,45,,,,,,,,,914,39,,
2014,676,36,,,,,,,,,779,49,,
2013,1574,2,,,,,,,,,1517,8,,
