Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,72,34,38,47.2%,91-83,52.3%,863-856,50.2%,17-17,50.0%,71,79.3%,20.0%,5.2%,3.1%,62.8%,70.3%,51.7%,63.3%,35.7%,49.6%,0.97
Clay,6,1,5,16.7%,5-12,29.4%,68-94,42.0%,2-1,66.7%,6,67.9%,16.0%,1.1%,2.8%,65.0%,62.5%,49.7%,58.1%,35.2%,46.5%,0.84
Grass,5,3,2,60.0%,9-7,56.3%,88-86,50.6%,2-2,50.0%,5,91.8%,9.4%,10.8%,3.0%,64.7%,76.2%,58.9%,70.1%,27.0%,49.8%,0.90
Grand Slams,15,7,8,46.7%,28-27,50.9%,258-270,48.9%,3-5,37.5%,15,77.4%,18.0%,4.5%,3.6%,61.4%,70.2%,49.8%,62.3%,34.3%,49.0%,0.91
Masters,19,6,13,31.6%,18-29,38.3%,226-260,46.5%,7-7,50.0%,19,74.7%,18.8%,3.5%,2.6%,64.6%,67.7%,48.3%,60.8%,36.0%,48.3%,0.92
Other Tours,46,25,21,54.3%,58-44,56.9%,525-495,51.5%,11-8,57.9%,45,83.3%,19.6%,6.6%,2.9%,63.4%,71.5%,55.8%,65.8%,35.0%,50.3%,1.02
Best of 5,18,7,11,38.9%,29-29,50.0%,268-281,48.8%,3-5,37.5%,18,76.6%,17.4%,4.8%,3.6%,61.5%,69.8%,49.1%,61.8%,34.1%,48.6%,0.89
Best of 3,65,31,34,47.7%,76-73,51.0%,751-755,49.9%,18-15,54.5%,64,80.6%,19.4%,5.6%,2.8%,63.8%,70.2%,53.4%,64.1%,35.3%,49.6%,0.99
Finals,1,1,0,100.0%,2-0,100.0%,13-7,65.0%,1-0,100.0%,1,90.0%,33.3%,6.9%,0.0%,68.1%,73.5%,52.2%,66.7%,41.0%,54.9%,1.23
Semi-finals,4,1,3,25.0%,4-4,50.0%,35-40,46.7%,0-0,-,4,85.0%,9.5%,6.1%,3.3%,59.8%,69.9%,59.2%,65.6%,31.6%,47.7%,0.92
Quarter-finals,6,4,2,66.7%,8-5,61.5%,70-68,50.7%,2-3,40.0%,6,92.4%,10.4%,7.7%,2.9%,64.4%,73.9%,61.1%,69.4%,28.7%,49.3%,0.94
vs Righties,75,34,41,45.3%,94-92,50.5%,915-935,49.5%,19-18,51.4%,74,79.7%,18.3%,5.6%,3.0%,62.9%,70.5%,51.9%,63.6%,34.8%,49.3%,0.96
vs Lefties,8,4,4,50.0%,11-10,52.4%,104-101,50.7%,2-2,50.0%,8,77.2%,23.3%,2.8%,3.6%,64.8%,66.7%,53.6%,62.1%,37.0%,49.4%,0.98
vs Top 10,7,1,6,14.3%,7-14,33.3%,76-117,39.4%,3-0,100.0%,7,65.6%,9.5%,6.7%,3.9%,60.0%,67.5%,44.7%,58.4%,31.3%,45.1%,0.75
