Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2026 Brisbane QF,L vs Medvedev,9.3%,62.5%,9.8%,55.6%,8.0%,18.4%,0.0%,5.4%,7.9%,2.1%,14.3%,-67,-102
2025 Wimbledon R32,W vs Rinderknech,3.7%,50.0%,11.2%,80.8%,16.7%,21.1%,0.0%,17.5%,25.0%,2.3%,14.3%,28,10
2025 Wimbledon R64,W vs Quinn,1.3%,100.0%,10.8%,82.4%,5.3%,5.6%,0.0%,16.9%,45.5%,2.6%,50.0%,-24,-23
2025 Wimbledon R128,W vs Berrettini,3.1%,50.0%,13.7%,64.9%,8.7%,12.5%,0.0%,9.0%,14.3%,2.9%,27.3%,-50,-35
2025 Marrakech SF,L vs Griekspoor,7.6%,100.0%,11.0%,68.8%,5.9%,3.4%,0.0%,13.7%,50.0%,2.8%,33.3%,-15,-15
2019 Antwerp R32,L vs Sinner,0.0%,-,7.2%,62.5%,9.5%,16.7%,0.0%,3.6%,20.0%,1.4%,33.3%,-89,-70
2019 US Open R64,W vs Cuevas,11.1%,84.6%,12.9%,81.1%,9.1%,8.8%,50.0%,5.9%,13.0%,1.0%,60.0%,-41,-7
2019 Ostrava CH F,W vs Sinner,4.0%,100.0%,9.3%,88.9%,8.9%,10.0%,0.0%,4.5%,15.4%,2.7%,83.3%,-73,-66
2018 Seoul CH R16,L vs Mcdonald,0.0%,-,7.0%,37.5%,3.6%,5.6%,0.0%,2.5%,12.5%,2.0%,20.0%,-114,-84
Career (9 matches),,5.0%,75.7%,11.0%,71.6%,8.7%,11.6%,25.0%,8.3%,20.0%,2.1%,35.7%,-47,-39
