Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2026 Doha QF,L vs Alcaraz,62% (13/21),0% (0/3),1/3,0/0,70% (7/10),4/6,2/3,100% (5/5),40% (2/5)
2025 Canada F,L vs Shelton,94% (15/16),17% (1/6),1/1,0/0,67% (4/6),4/6,1/2,55% (6/11),36% (4/11)
2025 Canada SF,W vs Zverev,68% (15/22),33% (1/3),2/5,1/2,50% (1/2),1/2,1/1,50% (3/6),80% (4/5)
2025 Canada R16,W vs Ruud,83% (10/12),25% (3/12),2/2,1/1,75% (3/4),0/0,0/0,- (0/0),- (0/0)
2025 Wimbledon QF,L vs Fritz,64% (16/25),75% (3/4),1/2,0/0,63% (5/8),0/3,0/1,50% (3/6),20% (1/5)
2025 Roland Garros R32,L vs Paul,60% (18/30),40% (6/15),2/8,0/0,54% (7/13),0/3,0/1,38% (3/8),50% (4/8)
2025 Monte Carlo R64,L vs Medvedev,39% (7/18),50% (8/16),1/2,0/0,55% (11/20),3/5,0/1,- (0/0),- (0/0)
2025 Australian Open R32,L vs Michelsen,67% (10/15),33% (1/3),0/0,0/0,0% (0/4),1/4,0/1,67% (4/6),17% (1/6)
2025 Australian Open R128,W vs Mannarino,80% (12/15),60% (6/10),3/4,1/1,25% (1/4),0/0,0/0,50% (3/6),67% (4/6)
2024 Paris SF,L vs Humbert,69% (11/16),50% (2/4),1/2,0/0,50% (5/10),2/4,0/1,57% (4/7),57% (4/7)
2024 Paris R16,W vs Popyrin,75% (9/12),27% (3/11),2/5,1/1,60% (3/5),0/0,0/0,100% (6/6),17% (1/6)
2024 Vienna F,L vs Draper,50% (7/14),40% (2/5),0/0,0/0,50% (4/8),0/2,0/1,- (0/0),- (0/0)
2024 Almaty F,W vs Diallo,73% (11/15),32% (6/19),2/2,1/1,50% (3/6),2/3,0/0,- (0/0),- (0/0)
2024 Beijing QF,L vs Alcaraz,33% (6/18),50% (1/2),0/0,0/0,67% (8/12),0/2,0/1,- (0/0),- (0/0)
2024 US Open R128,L vs Evans,54% (20/37),35% (8/23),2/3,0/0,56% (10/18),7/10,2/3,56% (9/16),28% (5/18)
2024 Cincinnati R64,W vs Cerundolo,47% (7/15),71% (5/7),2/7,1/2,100% (2/2),0/0,0/0,- (0/0),- (0/0)
2024 Rome R16,L vs Tabilo,71% (10/14),100% (2/2),0/2,0/0,75% (6/8),4/6,4/5,47% (8/17),41% (7/17)
2024 Madrid R16,L vs Sinner,75% (12/16),17% (1/6),1/1,0/0,0% (0/3),0/2,0/1,- (0/0),- (0/0)
2024 Monte Carlo QF,L vs Tsitsipas,100% (5/5),33% (1/3),0/0,0/0,50% (4/8),1/3,1/2,- (0/0),- (0/0)
2024 Miami R16,L vs Zverev,63% (5/8),- (0/0),0/0,0/0,25% (1/4),0/2,0/1,- (0/0),- (0/0)
2026 (1 matches),,61.9%,0.0%,33.3%,-,70.0%,66.7%,66.7%,100.0%,40.0%
2025 (8 matches),,67.3%,42.0%,50.0%,75.0%,52.5%,39.1%,28.6%,51.2%,43.9%
2024 (16 matches),,64.0%,31.8%,43.2%,45.5%,57.6%,51.0%,45.0%,61.8%,32.9%
2023 (18 matches),,65.4%,43.9%,65.0%,62.5%,64.2%,46.5%,33.3%,66.7%,35.8%
2022 (13 matches),,69.4%,42.9%,60.7%,66.7%,58.2%,43.2%,41.7%,59.1%,28.6%
Career (353 matches),,66.9%,39.8%,55.0%,58.3%,62.1%,48.6%,42.4%,63.8%,37.1%
