Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2002,8,1,7,12.5%,6-14,30.0%,70-104,40.2%,1-0,100.0%,0,,,,,,,,,,,,R16 (Brest)
2001,4,0,4,0.0%,2-8,20.0%,39-57,40.6%,0-0,-,0,,,,,,,,,,,,R32 (4x)
1999,17,15,2,88.2%,31-7,81.6%,212-135,61.1%,5-0,100.0%,0,,,,,,,,,,,,W (2x)
1998,12,7,5,58.3%,13-12,52.0%,112-112,50.0%,3-0,100.0%,0,,,,,,,,,,,,F (Santiago)
1997,11,7,4,63.6%,12-11,52.2%,107-101,51.4%,2-0,100.0%,0,,,,,,,,,,,,F (Cairo)
1996,24,17,7,70.8%,31-18,63.3%,234-195,54.5%,5-2,71.4%,0,,,,,,,,,,,,F (3x)
1995,32,21,11,65.6%,41-26,61.2%,324-280,53.6%,6-2,75.0%,0,,,,,,,,,,,,W (Tashkent)
1994,22,10,12,45.5%,18-27,40.0%,191-214,47.2%,4-1,80.0%,0,,,,,,,,,,,,SF (2x)
1993,15,5,10,33.3%,13-18,41.9%,138-149,48.1%,0-2,0.0%,0,,,,,,,,,,,,QF (Sao Paulo2)
1992,5,2,3,40.0%,4-5,44.4%,37-42,46.8%,1-2,33.3%,0,,,,,,,,,,,,QF (Tunis)
1991,2,0,2,0.0%,0-3,0.0%,13-19,40.6%,0-1,0.0%,0,,,,,,,,,,,,R32 (2x)
1990,3,1,2,33.3%,1-3,25.0%,8-22,26.7%,0-3,0.0%,0,,,,,,,,,,,,R16 (Casablanca)
1989,2,1,1,50.0%,3-3,50.0%,27-21,56.3%,0-0,-,0,,,,,,,,,,,,R16 (Casablanca)
Career,157,87,70,55.4%,175-155,53.0%,1512-1451,51.0%,27-13,67.5%,0,,,,,,,,,,,,
