Date,Tournament,Surface,Rd,Rk,vRk,,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
09-Mar-2026,Cherbourg CH,Hard,R32,284,190,(7) Clement Tabur [FRA] d. Nishikori,7-6(5) 6-4,0.79,3.8%,5.0%,53.8%,69.8%,54.1%,2/4,1:34
02-Mar-2026,Thionville CH,Hard,R16,284,150,(6) Nicolai Budkov Kjaer [NOR] d. (Q) Nishikori,3-6 6-4 6-2,0.76,6.3%,2.5%,64.6%,62.7%,64.3%,4/7,1:40
02-Mar-2026,Thionville CH,Hard,R32,284,190,(Q) Nishikori d. (Alt) Clement Tabur [FRA],7-5 4-6 6-2,1.67,4.1%,1.4%,72.6%,83.0%,55.0%,0/2,2:01
02-Mar-2026,Thionville CH,Hard,Q2,284,343,(6) Nishikori d. (9) Jelle Sels [NED],7-6(3) 4-6 6-4,1.07,4.3%,1.1%,63.8%,73.3%,55.9%,4/8,2:09
02-Mar-2026,Thionville CH,Hard,Q1,284,1827,(6) Nishikori d. (WC) Daniel Jade [FRA],6-2 6-3,1.55,1.8%,5.5%,54.5%,83.3%,60.0%,2/2,1:07
05-Jan-2026,Canberra CH,Hard,R32,238,101,(1) Vit Kopriva [CZE] d. Nishikori,6-1 2-2 RET,0.55,5.3%,0.0%,73.7%,39.3%,70.0%,1/4,0:45
17-Nov-2025,Yokohama CH,Hard,QF,158,288,(8) Kaichi Uchida [JPN] d. (1) Nishikori,6-2 6-2,0.46,6.0%,4.0%,60.0%,53.3%,50.0%,1/5,0:59
17-Nov-2025,Yokohama CH,Hard,R16,158,374,(1) Nishikori d. San Hui Sin [KOR],6-4 6-1,1.31,5.1%,3.4%,62.7%,62.2%,50.0%,5/7,1:10
17-Nov-2025,Yokohama CH,Hard,R32,158,793,(1) Nishikori d. (Q) Taisei Ichikawa [JPN],4-6 6-1 6-1,1.40,2.9%,2.9%,65.2%,82.2%,37.5%,2/3,1:21
07-Aug-2025,Cincinnati Masters,Hard,R128,65,47,Camilo Ugo Carabelli [ARG] d. Nishikori,7-5 6-3,0.75,2.7%,5.5%,60.3%,63.6%,44.8%,5/8,1:37
18-May-2025,Geneva,Clay,R16,62,24,(4) Karen Khachanov [RUS] d. Nishikori,7-5 2-5 RET,1.02,1.8%,3.6%,48.2%,77.8%,48.3%,1/3,1:24
18-May-2025,Geneva,Clay,R32,62,67,Nishikori d. Learner Tien [USA],4-6 6-4 6-4,1.17,3.1%,3.1%,60.2%,74.6%,51.3%,11/13,2:06
23-Apr-2025,Madrid Masters,Clay,R64,64,30,(29) Denis Shapovalov [CAN] d. Nishikori,6-1 6-4,0.58,0.0%,0.0%,61.0%,68.0%,43.8%,3/6,1:04
23-Apr-2025,Madrid Masters,Clay,R128,64,83,Nishikori d. Aleksandar Vukic [AUS],6-4 3-6 6-3,1.20,4.9%,3.7%,61.7%,74.0%,58.1%,2/4,1:59
31-Mar-2025,Houston,Clay,R16,66,117,Christopher Eubanks [USA] d. (8) Nishikori,6-1 0-0 RET,0.50,5.0%,0.0%,85.0%,52.9%,0.0%,2/4,0:24
31-Mar-2025,Houston,Clay,R32,66,141,(8) Nishikori d. (Q) Mitchell Krueger [USA],6-4 6-2,1.39,7.0%,3.5%,77.2%,77.3%,38.5%,3/4,1:14
11-Mar-2025,Phoenix CH,Hard,SF,76,80,Joao Fonseca [BRA] d. Nishikori,6-3 6-3,0.58,0.0%,0.0%,62.5%,54.3%,57.1%,2/5,1:07
11-Mar-2025,Phoenix CH,Hard,QF,76,40,Nishikori d. (2) Flavio Cobolli [ITA],6-2 4-6 6-4,1.14,1.9%,2.9%,63.1%,69.2%,50.0%,8/10,2:12
11-Mar-2025,Phoenix CH,Hard,R16,76,166,Nishikori d. (Q) Mikhail Kukushkin [KAZ],6-3 2-1 RET,1.85,12.9%,3.2%,61.3%,94.7%,50.0%,0/0,0:41
11-Mar-2025,Phoenix CH,Hard,R32,76,67,Nishikori d. (6) Luca Nardi [ITA],6-4 6-3,1.22,1.5%,3.0%,56.7%,68.4%,34.5%,8/12,1:23
