Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2022 Miami R64,L vs Cerundolo,79.8%,43.0%,2.0%,1/1,1.93,19.3%,76.0%,42.1%,0.0%,2.27,35.7%,91.7%,45.5%,8.3%,1.63,3.4%
2021 Newport F,W vs Brooksby,58.9%,53.5%,5.5%,2/2,2.09,16.3%,53.8%,42.9%,3.8%,2.06,25.0%,71.4%,73.3%,9.5%,2.12,8.0%
2019 Wimbledon R32,L vs Pella,66.1%,46.3%,3.3%,3/1,1.80,47.3%,60.0%,39.2%,2.4%,1.68,86.2%,87.9%,58.6%,6.1%,1.92,3.8%
2019 Miami QF,L vs Federer,52.4%,50.0%,7.1%,1/2,1.85,69.1%,44.0%,45.5%,4.0%,1.85,70.4%,73.3%,54.5%,13.3%,1.86,67.9%
2019 Australian Open R64,L vs Tiafoe,57.0%,44.6%,4.4%,2/3,2.26,22.9%,50.0%,40.0%,3.8%,2.42,38.3%,78.1%,52.0%,6.3%,2.04,2.8%
2019 Pune F,W vs Karlovic,40.7%,50.0%,1.7%,2/0,2.43,57.8%,30.1%,36.0%,1.2%,2.12,62.1%,74.2%,65.2%,3.2%,3.00,50.0%
2019 Pune SF,W vs Simon,78.6%,45.5%,1.8%,0/1,2.17,4.0%,70.6%,33.3%,2.9%,1.80,9.1%,90.9%,60.0%,0.0%,2.46,0.0%
2018 Tour Finals SF,L vs Djokovic,56.4%,27.3%,5.1%,1/1,2.31,19.0%,48.1%,30.8%,3.7%,1.83,33.3%,81.8%,22.2%,9.1%,2.79,4.8%
2018 Tour Finals RR,L vs Federer,64.0%,40.6%,0.0%,0/0,2.40,61.8%,53.3%,37.5%,0.0%,2.13,60.0%,84.2%,43.8%,0.0%,2.61,63.2%
2018 Tour Finals RR,W vs Nishikori,73.5%,72.2%,2.0%,1/0,2.00,20.0%,68.2%,73.3%,4.5%,1.56,33.3%,84.0%,71.4%,0.0%,2.67,0.0%
2018 Tour Finals RR,W vs Thiem,59.2%,40.5%,2.8%,0/2,2.24,33.3%,51.2%,38.1%,0.0%,2.28,44.4%,77.8%,42.9%,7.4%,2.19,22.2%
2018 Vienna F,W vs Nishikori,67.9%,43.4%,1.3%,0/1,2.11,19.4%,66.0%,48.4%,0.0%,2.17,58.3%,78.6%,36.4%,3.6%,2.08,0.0%
2018 US Open R16,L vs Thiem,62.6%,28.1%,1.1%,1/0,2.01,21.8%,53.3%,16.7%,2.2%,2.02,32.0%,78.6%,36.4%,0.0%,1.98,3.6%
2018 US Open R32,W vs Shapovalov,64.1%,42.9%,5.6%,5/3,2.43,22.4%,59.5%,40.0%,4.8%,2.44,31.4%,82.0%,46.3%,8.0%,2.40,4.0%
2018 Canada SF,L vs Tsitsipas,64.2%,44.3%,2.4%,2/1,1.90,36.2%,57.5%,45.2%,2.7%,1.73,57.7%,77.1%,43.2%,2.1%,2.05,18.8%
2018 Canada R16,W vs Ivashka,55.6%,60.0%,1.6%,1/0,2.63,0.0%,39.3%,54.5%,3.6%,2.45,0.0%,75.0%,62.5%,0.0%,2.77,0.0%
2018 Wimbledon F,L vs Djokovic,59.6%,37.5%,0.0%,0/0,1.96,34.0%,60.3%,39.0%,0.0%,1.98,60.7%,68.2%,33.3%,0.0%,1.93,0.0%
2018 Wimbledon SF,W vs Isner,51.5%,52.7%,3.8%,7/4,2.04,9.0%,46.3%,46.5%,1.8%,1.97,12.8%,73.1%,65.3%,10.4%,2.18,2.0%
2018 Wimbledon QF,W vs Federer,54.8%,48.5%,5.1%,4/5,2.21,41.1%,48.0%,44.1%,3.3%,2.22,45.1%,71.7%,55.3%,9.4%,2.19,35.8%
2018 Madrid SF,L vs Thiem,52.2%,33.3%,0.0%,0/0,2.30,6.7%,42.9%,33.3%,0.0%,2.55,14.3%,70.6%,33.3%,0.0%,2.08,0.0%
Career (49 matches),,61.8%,45.2%,3.0%,57.3%,2.14,26.1%,56.6%,40.9%,2.3%,2.11,36.2%,77.6%,51.4%,4.7%,2.18,13.2%
