Date,Tournament,Surface,Rd,Rk,vRk,,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
09-Mar-2026,M25 Kolkata,Hard,SF,587,504,Philip Sekulic [AUS] d. Borg,6-3 6-4,0.83,3.7%,5.6%,50.0%,55.6%,29.6%,4/10,1:36
09-Mar-2026,M25 Kolkata,Hard,QF,587,399,Borg d. Luca Castelnuovo [SUI],6-2 6-2,1.48,7.4%,0.0%,55.6%,76.7%,50.0%,2/2,1:10
09-Mar-2026,M25 Kolkata,Hard,R16,587,1095,Borg d. James Van Herzeele [THA],6-4 6-2,1.63,1.9%,3.7%,44.4%,70.8%,70.0%,2/3,1:24
09-Mar-2026,M25 Kolkata,Hard,R32,587,,Borg d. Aniketh Venkataraman [IND],6-1 6-3,1.77,0.0%,2.3%,44.2%,63.2%,66.7%,0/2,1:07
02-Mar-2026,M15 Torello,Hard,R16,587,1401,Kuzey Cekirge [TUR] d. Borg,6-1 4-6 7-6(8),0.82,2.6%,2.6%,60.5%,63.8%,46.7%,4/9,2:52
02-Mar-2026,M15 Torello,Hard,R32,587,1476,Borg d. David Naharro [ESP],6-2 6-2,2.15,4.7%,2.3%,62.8%,85.2%,62.5%,0/0,1:11
16-Feb-2026,M15 Monastir,Hard,QF,592,463,Jack Loge [BEL] d. Borg,1-6 6-2 7-6(4),0.99,3.4%,2.2%,61.8%,70.9%,35.3%,5/9,1:32
16-Feb-2026,M15 Monastir,Hard,R16,592,719,Borg d. Daniil Ostapenkov [BLR],6-4 6-4,1.31,7.1%,5.4%,58.9%,78.8%,60.9%,1/2,1:30
16-Feb-2026,M15 Monastir,Hard,R32,592,911,Borg d. Anton Shepp [NZL],3-6 7-6(4) 7-6(3),0.97,3.3%,1.7%,65.0%,61.5%,61.9%,3/7,2:45
09-Feb-2026,M15 Monastir,Hard,R32,593,1043,Daniele Rapagnetta [ITA] d. Borg,7-5 3-6 6-3,0.90,0.0%,8.0%,51.7%,64.4%,33.3%,2/9,2:25
26-Jan-2026,M15 Sharm ElSheikh,Hard,R32,532,776,Aleksandr Braynin [UKR] d. Borg,6-3 6-2,0.74,6.1%,10.2%,61.2%,70.0%,42.1%,4/7,1:09
19-Jan-2026,M15 Monastir,Hard,R16,532,817,Toufik Sahtali [ALG] d. Borg,3-6 6-4 6-3,0.95,6.1%,4.0%,53.5%,58.5%,47.8%,7/13,2:36
19-Jan-2026,M15 Monastir,Hard,R32,532,790,Borg d. Samir Hamza Reguig [ALG],5-7 6-3 6-1,1.17,4.4%,2.2%,56.7%,56.9%,56.4%,6/10,2:18
12-Jan-2026,M25 Monastir,Hard,R16,533,407,Mert Alkaya [TUR] d. Borg,6-4 6-2,0.65,0.0%,8.2%,57.4%,60.0%,46.2%,5/9,1:11
12-Jan-2026,M25 Monastir,Hard,R32,533,1113,Borg d. Louis Tessa [FRA],6-3 7-5,1.39,7.4%,3.7%,51.9%,67.9%,65.4%,2/4,1:34
05-Jan-2026,M25 Monastir,Hard,R16,533,948,John Hallquist Lithen [SWE] d. Borg,6-4 7-5,0.82,5.3%,4.0%,61.3%,71.7%,31.0%,4/8,1:49
05-Jan-2026,M25 Monastir,Hard,R32,533,753,Borg d. Timofei Derepasko [RUS],7-5 6-3,1.23,1.6%,0.0%,67.2%,72.1%,52.4%,1/3,1:26
24-Nov-2025,Islamabad CH,Hard,R16,549,584,Johan Nikles [SUI] d. (7) Borg,6-4 2-6 7-5,1.01,6.1%,5.1%,58.6%,60.3%,43.9%,5/11,2:25
24-Nov-2025,Islamabad CH,Hard,R32,549,1075,(7) Borg d. (Alt) Matthias Ujvary [AUT],6-2 6-4,1.44,3.5%,1.8%,73.7%,76.2%,53.3%,1/1,1:18
10-Nov-2025,Champaign CH,Hard,R32,546,458,Stefan Kozlov [USA] d. Borg,6-1 6-0,0.42,2.5%,2.5%,77.5%,41.9%,22.2%,2/7,0:51
