Mtgs,Opponent,W,L,Win%,TB,W,L,TB%,First,Last,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
9,Albert Ramos [ESP],4,5,44.4%,5,2,3,40.0%,2011,2020,9,1.01,6.8%,4.2%,61.2%,72.8%,55.9%,66.2%,34.1%,68.6%,38.3%
8,Jiri Vesely [CZE],7,1,87.5%,6,6,0,100.0%,2013,2019,7,1.19,10.0%,5.5%,61.6%,77.6%,51.1%,67.4%,38.7%,56.4%,35.5%
8,Horacio Zeballos [ARG],7,1,87.5%,5,5,0,100.0%,2006,2011,2,2.09,10.4%,6.3%,59.4%,86.0%,66.7%,78.1%,45.8%,100.0%,63.6%
7,Kevin Anderson [RSA],3,4,42.9%,7,4,3,57.1%,2009,2018,6,0.84,6.7%,3.6%,64.7%,74.8%,55.6%,68.1%,26.8%,56.5%,18.8%
7,Joao Souza [BRA],6,1,85.7%,7,3,4,42.9%,2007,2017,2,1.06,16.7%,5.9%,62.4%,81.9%,54.3%,71.5%,30.2%,62.5%,23.1%
7,Ricardo Hocevar [BRA],3,4,42.9%,2,1,1,50.0%,2006,2011,1,2.30,28.9%,5.3%,55.3%,90.5%,58.8%,76.3%,54.4%,100.0%,50.0%
6,Thomaz Bellucci [BRA],3,3,50.0%,0,0,0,-,2007,2015,4,0.89,6.5%,3.3%,62.1%,69.0%,45.3%,60.1%,35.7%,61.8%,44.0%
6,Pablo Andujar [ESP],3,3,50.0%,3,2,1,66.7%,2012,2019,6,0.92,8.9%,5.2%,58.1%,74.3%,45.1%,62.0%,35.0%,64.3%,48.3%
6,Rafael Nadal [ESP],0,6,0.0%,3,2,1,66.7%,2012,2019,6,0.62,6.5%,5.0%,60.5%,60.9%,49.1%,56.3%,27.0%,58.8%,23.8%
6,Guido Pella [ARG],3,3,50.0%,6,1,5,16.7%,2008,2019,5,1.09,9.8%,6.5%,62.6%,77.6%,47.0%,66.1%,37.0%,66.7%,37.5%
6,Fabio Fognini [ITA],2,4,33.3%,3,1,2,33.3%,2013,2019,6,0.84,5.0%,3.1%,64.1%,66.9%,48.2%,60.2%,33.4%,64.6%,35.5%
6,Julien Benneteau [FRA],4,2,66.7%,5,2,3,40.0%,2009,2018,6,1.04,8.0%,3.8%,59.6%,75.6%,50.0%,65.3%,36.2%,69.4%,40.9%
6,Mischa Zverev [GER],5,1,83.3%,1,1,0,100.0%,2009,2018,6,1.31,8.7%,3.6%,60.0%,77.8%,49.7%,66.6%,43.9%,68.0%,41.7%
6,Julio Silva [BRA],5,1,83.3%,3,2,1,66.7%,2006,2011,2,1.39,15.6%,6.1%,63.3%,83.9%,48.1%,70.7%,40.5%,62.5%,63.6%
5,Pedro Sousa [POR],4,1,80.0%,1,1,0,100.0%,2012,2021,5,1.17,4.9%,4.3%,59.7%,71.6%,58.0%,66.2%,39.7%,65.2%,45.2%
