Match,Result,Avg Speed,1st Avg,1st StDev,1st T Avg,1st Wide Avg,Max 1st,Min 1st,2nd Avg,2nd StDev,2nd T Avg,2nd Wide Avg,Max 2nd,Min 2nd
2024 Wimbledon R64,L vs Shelton,108.4,113.8,6.6,116.3,109.8,126,96,92.4,7.2,91.8,90.2,107,77
2023 US Open R64,L vs Alcaraz,113.0,118.7,8.8,121.6,114.6,129,87,98.1,14.0,120.0,,127,78
2023 US Open R128,W vs Pella,111.2,118.4,7.4,121.3,113.2,130,92,90.2,9.3,95.0,82.3,117,71
2021 US Open QF,L vs Zverev,110.5,116.7,9.7,117.9,114.4,129,66,96.6,5.4,99.8,97.0,109,86
2021 US Open R16,W vs Opelka,111.4,115.8,6.9,117.7,112.7,129,98,94.7,7.4,102.0,96.0,108,84
2021 US Open R32,W vs Shapovalov,113.1,118.3,7.3,120.2,115.0,133,103,96.6,8.9,93.7,91.0,109,64
2021 US Open R64,W vs Escobedo,107.2,115.4,8.6,118.9,111.9,128,93,92.0,5.3,94.0,92.5,103,82
2021 US Open R128,W vs Khachanov,108.3,115.4,11.4,121.5,111.4,133,63,95.7,7.8,105.6,97.7,115,79
2021 Wimbledon R64,L vs Rublev,112.0,116.4,6.8,119.0,113.6,126,98,101.5,7.8,115.3,99.0,127,92
2020 US Open R64,L vs Goffin,111.2,116.7,8.2,119.8,114.0,129,77,93.5,7.2,92.5,98.0,105,67
2019 US Open R128,L vs Gerasimov,110.4,117.1,7.6,120.1,108.3,131,99,95.5,4.7,100.0,97.6,104,85
2019 Wimbledon R128,L vs Federer,110.1,117.5,7.0,122.5,113.6,128,100,98.3,7.0,103.3,,116,86
2019 Roland Garros R64,L vs Coric,109.0,116.2,6.8,,,128,95,93.7,6.2,,,106,81
Career (13 matches),,110.3,116.5,7.9,119.4,112.6,133,63,95.2,7.3,100.6,93.0,127,64
