Mtgs,Opponent,W,L,Win%,TB,W,L,TB%,First,Last,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
10,Matthew Barton [AUS],4,6,40.0%,3,1,2,33.3%,2011,2018,3,0.76,2.3%,5.4%,57.9%,67.2%,48.4%,59.3%,30.8%,63.2%,8.3%
8,Alex Bolt [AUS],5,3,62.5%,3,3,0,100.0%,2012,2024,3,1.10,5.4%,2.0%,67.8%,67.2%,58.5%,64.4%,39.1%,70.8%,24.1%
8,Max Purcell [AUS],4,4,50.0%,1,1,0,100.0%,2016,2023,7,1.03,8.9%,5.7%,58.3%,70.8%,52.9%,63.4%,37.6%,68.1%,35.6%
8,Andrew Whittington [AUS],6,2,75.0%,3,2,1,66.7%,2012,2018,2,1.04,4.3%,4.3%,56.9%,60.7%,46.9%,54.8%,46.8%,50.0%,54.5%
7,Tristan Schoolkate [AUS],4,3,57.1%,4,2,2,50.0%,2022,2024,4,1.25,4.2%,3.5%,64.0%,71.8%,50.0%,64.0%,45.1%,75.0%,48.5%
7,Hiroki Moriya [JPN],2,5,28.6%,3,1,2,33.3%,2012,2023,5,0.99,7.0%,4.4%,60.7%,60.9%,57.0%,59.4%,40.1%,53.8%,43.2%
7,Benjamin Mitchell [AUS],2,5,28.6%,1,0,1,0.0%,2012,2018,3,0.80,6.9%,7.9%,60.3%,58.8%,45.3%,53.4%,37.1%,41.7%,33.3%
7,Tatsuma Ito [JPN],1,6,14.3%,4,2,2,50.0%,2012,2017,7,0.76,5.5%,6.6%,59.0%,64.8%,49.4%,58.5%,31.6%,62.3%,27.6%
6,Marc Polmans [AUS],2,4,33.3%,1,0,1,0.0%,2012,2019,1,0.76,6.7%,9.3%,52.0%,61.5%,33.3%,48.0%,39.4%,41.7%,60.0%
6,Ze Zhang [CHN],0,6,0.0%,1,0,1,0.0%,2011,2019,4,0.77,5.7%,7.4%,59.8%,67.8%,48.7%,60.1%,30.7%,53.8%,33.3%
6,Yasutaka Uchiyama [JPN],2,4,33.3%,0,0,0,-,2012,2014,0,,,,,,,,,,
5,Thomas Fancutt [AUS],3,2,60.0%,2,2,0,100.0%,2018,2023,2,0.91,4.9%,7.6%,50.0%,75.0%,50.0%,62.5%,34.3%,44.4%,45.5%
5,Yoshihito Nishioka [JPN],1,4,20.0%,3,1,2,33.3%,2013,2022,4,0.81,5.5%,6.4%,53.3%,66.3%,45.0%,56.4%,35.3%,62.2%,50.0%
5,Shuichi Sekiguchi [JPN],4,1,80.0%,1,1,0,100.0%,2012,2019,2,1.33,6.7%,7.6%,54.3%,80.7%,58.3%,70.5%,39.2%,70.0%,33.3%
5,Dayne Kelly [AUS],1,4,20.0%,1,1,0,100.0%,2010,2019,3,0.82,5.2%,5.6%,53.8%,68.1%,50.0%,59.8%,33.1%,54.5%,50.0%
