Date,Tournament,Surface,Rd,Rk,vRk,,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
13-Sep-2025,Davis Cup WG2 R1: ESA vs ROU,Hard,RR,,660,Radu David Turcanu [ROU] d. Arevalo,6-7(3) 6-3 6-2,,,,,,,,
01-Feb-2025,Davis Cup WG2 PO: ESA vs MDA,Hard,RR,,587,Ilya Snitari [MDA] d. Arevalo,1-6 6-1 6-4,,,,,,,,
01-Feb-2025,Davis Cup WG2 PO: ESA vs MDA,Hard,RR,,,Arevalo d. Ilie Cazac [MDA],6-1 6-0,,,,,,,,
14-Sep-2024,Davis Cup WG2 R1: BUL vs ESA,Clay,RR,,413,Arevalo d. Petr Nesterov [BUL],6-3 6-3,1.28,0.0%,7.0%,52.6%,70.0%,37.0%,3/7,1:28
14-Sep-2024,Davis Cup WG2 R1: BUL vs ESA,Clay,RR,,445,Yanaki Milev [BUL] d. Arevalo,2-6 6-1 7-6(6),1.03,5.8%,4.7%,57.0%,61.2%,48.6%,9/14,2:25
02-Feb-2024,Davis Cup WG2 PO: ESA vs POC,Hard,RR,,,Arevalo d. Heve Kelley [POC],6-0 6-2,4.15,9.1%,0.0%,81.8%,92.6%,50.0%,0/0,0:46
16-Sep-2023,Davis Cup WG2 R1: ESA vs IRL,Clay,RR,,859,Arevalo d. Osgar Ohoisin [IRL],7-6(5) 6-1,,,,,,,,
03-Feb-2023,Davis Cup WG2 PO: ESA vs JOR,,RR,,,Arevalo d. Karam Hatamleh [JOR],6-1 6-4,,,,,,,,
03-Feb-2023,Davis Cup WG2 PO: ESA vs JOR,,RR,,1594,Arevalo d. Mousa Alkotop [JOR],6-4 4-6 6-4,,,,,,,,
17-Sep-2022,Davis Cup WG2 R1: DEN vs ESA,Hard,RR,,874,Arevalo d. Elmer Moller [DEN],7-6(2) 6-4,,,,,,,,
17-Sep-2022,Davis Cup WG2 R1: DEN vs ESA,Hard,RR,,820,Arevalo d. Christian Sigsgaard [DEN],3-6 6-2 6-1,,,,,,,,
05-Mar-2021,Davis Cup WG2 R1: POL vs ESA,Hard,RR,457,232,Kacper Zuk [POL] d. Arevalo,7-6(5) 6-1,,,,,,,,
05-Mar-2021,Davis Cup WG2 R1: POL vs ESA,Hard,RR,457,632,Arevalo d. Wojciech Marek [POL],6-4 6-2,,,,,,,,
06-Mar-2020,Davis Cup WG2 PO: ESA vs JAM,Hard,RR,410,1566,Arevalo d. Rowland Phillips [JAM],6-3 6-7(4) 6-2,,,,,,,,
06-Mar-2020,Davis Cup WG2 PO: ESA vs JAM,Hard,RR,410,1316,Arevalo d. Blaise Bicknell [USA],6-4 7-6(5),,,,,,,,
10-Feb-2020,New York,Hard,Q1,364,123,(3) Bradley Klahn [USA] d. (Alt) Arevalo,4-6 6-3 7-6(3),0.76,9.1%,3.4%,65.9%,79.3%,56.7%,4/5,1:46
