Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,46,16,30,34.8%,53-73,42.1%,561-653,46.2%,13-9,59.1%,41,75.6%,14.6%,6.3%,3.0%,65.2%,68.6%,49.7%,62.0%,32.2%,47.4%,0.85
Clay,185,108,77,58.4%,254-188,57.5%,2179-1999,52.2%,33-22,60.0%,180,77.9%,25.6%,4.4%,2.7%,64.5%,68.8%,52.1%,62.9%,38.8%,50.8%,1.04
Grass,4,0,4,0.0%,1-10,9.1%,40-68,37.0%,1-1,50.0%,4,69.1%,5.4%,2.8%,2.8%,70.3%,62.8%,46.6%,57.9%,32.4%,45.3%,0.77
Carpet,12,4,8,33.3%,11-16,40.7%,121-150,44.6%,4-2,66.7%,12,79.0%,9.9%,6.7%,2.0%,70.8%,69.6%,51.4%,64.3%,29.4%,47.1%,0.82
Grand Slams,33,15,18,45.5%,56-61,47.9%,535-575,48.2%,13-4,76.5%,33,73.8%,21.3%,4.6%,3.5%,63.5%,68.7%,48.5%,61.3%,36.9%,49.3%,0.96
Masters,37,16,21,43.2%,37-42,46.8%,349-387,47.4%,8-4,66.7%,35,73.1%,21.6%,5.6%,2.3%,63.9%,65.6%,51.3%,60.4%,36.3%,48.5%,0.92
Other Tours,167,92,75,55.1%,210-170,55.3%,1869-1760,51.5%,28-23,54.9%,166,79.4%,23.0%,4.8%,2.5%,65.7%,69.4%,52.6%,63.7%,37.2%,50.4%,1.02
Best of 5,39,19,20,48.7%,69-69,50.0%,648-673,49.1%,15-7,68.2%,33,73.8%,21.3%,4.6%,3.5%,63.5%,68.7%,48.5%,61.3%,36.9%,49.3%,0.96
Best of 3,208,109,99,52.4%,250-218,53.4%,2253-2197,50.6%,36-27,57.1%,204,78.2%,22.5%,4.9%,2.5%,65.5%,68.7%,52.3%,63.0%,36.9%,50.0%,1.00
Finals,10,3,7,30.0%,8-15,34.8%,106-125,45.9%,2-3,40.0%,10,71.7%,20.4%,2.9%,2.1%,62.4%,64.0%,50.7%,59.0%,36.9%,48.0%,0.90
Semi-finals,16,10,6,62.5%,24-18,57.1%,198-194,50.5%,4-0,100.0%,16,73.7%,26.3%,3.6%,2.5%,65.6%,66.5%,53.2%,62.0%,38.4%,50.3%,1.01
Quarter-finals,24,16,8,66.7%,35-23,60.3%,275-266,50.8%,7-1,87.5%,24,80.1%,20.5%,5.3%,2.3%,66.1%,69.6%,52.0%,63.6%,36.5%,50.1%,1.00
vs Righties,217,114,103,52.5%,284-251,53.1%,2574-2535,50.4%,45-31,59.2%,208,77.5%,22.2%,5.0%,2.8%,64.8%,68.9%,51.5%,62.8%,36.8%,49.8%,0.99
vs Lefties,30,14,16,46.7%,35-36,49.3%,327-335,49.4%,6-3,66.7%,29,75.7%,22.9%,3.7%,2.0%,66.8%,67.2%,51.0%,61.8%,38.0%,50.0%,0.99
vs Top 10,22,7,15,31.8%,20-39,33.9%,246-320,43.5%,6-3,66.7%,21,72.8%,13.3%,4.3%,2.3%,63.3%,66.9%,48.3%,60.1%,33.4%,46.8%,0.84
