Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
1995 Canada SF,L vs Agassi,0.72,0.33,24.6,2.1,0.0%,28.6%,0.0%,50.0%,27.3%,28.6%
1990 Australian Open SF,L vs Edberg,0.62,0.24,14.9,2.1,5.6%,44.4%,2.9%,47.1%,16.7%,25.9%
1989 Davis Cup RR,L vs Becker,0.92,0.41,19.8,2.1,2.6%,43.6%,0.0%,43.2%,22.9%,28.1%
1988 US Open F,W vs Lendl,1.21,1.18,57.7,3.4,1.1%,59.1%,1.1%,62.5%,42.3%,33.8%
1988 US Open SF,W vs Cahill,0.96,1.25,42.2,2.1,0.0%,62.8%,2.5%,57.5%,59.2%,44.4%
1988 Roland Garros F,W vs Leconte,1.01,1.76,28.1,2.8,0.0%,69.2%,2.9%,70.6%,53.8%,51.4%
1988 Roland Garros SF,W vs Agassi,1.03,1.18,58.0,3.2,1.2%,58.5%,3.8%,57.0%,46.8%,50.0%
1988 Australian Open F,W vs Cash,0.95,1.17,55.6,4.0,1.3%,68.8%,1.4%,65.8%,38.5%,42.5%
1987 Masters F,L vs Lendl,0.95,0.59,24.7,2.1,0.0%,54.5%,0.0%,41.5%,30.6%,34.5%
1987 Masters RR,L vs Edberg,1.22,0.64,48.6,2.0,0.0%,45.0%,2.6%,68.4%,13.3%,33.3%
1987 US Open SF,W vs Edberg,1.13,1.24,40.9,2.1,4.1%,69.9%,0.0%,55.7%,45.7%,34.4%
1987 US Open QF,W vs Mecir,0.93,1.17,52.0,2.1,12.9%,62.9%,3.2%,63.5%,48.1%,44.4%
1987 Wimbledon QF,L vs Cash,0.99,0.50,29.6,2.0,2.0%,54.0%,2.2%,60.0%,16.3%,27.8%
1987 Rome F,W vs Jaite,1.31,1.60,29.9,2.6,2.2%,63.0%,5.1%,64.1%,46.2%,43.2%
1987 Rome SF,W vs Mcenroe,1.06,1.75,39.2,2.1,4.0%,68.0%,4.3%,65.2%,48.1%,62.5%
1986 Stockholm F,L vs Edberg,1.03,0.53,27.4,2.0,0.0%,42.9%,6.1%,39.4%,30.3%,30.0%
1985 Australian Open F,L vs Edberg,0.82,0.48,28.1,2.1,8.2%,65.3%,12.8%,55.3%,22.5%,23.5%
1985 Tokyo Indoor F,L vs Lendl,0.91,0.33,30.9,2.0,4.0%,48.0%,0.0%,52.2%,19.0%,16.7%
1985 US Open SF,L vs Mcenroe,0.92,0.87,51.2,11.2,4.0%,57.3%,2.9%,58.6%,41.3%,37.7%
1985 Cincinnati F,L vs Becker,0.61,0.41,31.9,2.2,8.0%,72.0%,4.8%,52.4%,20.0%,30.4%
1995 (1 matches),,0.72,0.33,24.6,2.1,0.0%,28.6%,0.0%,50.0%,27.3%,28.6%
1990 (1 matches),,0.62,0.24,14.9,2.1,5.6%,44.4%,2.9%,47.1%,16.7%,25.9%
1989 (1 matches),,0.92,0.41,19.8,2.1,2.6%,43.6%,0.0%,43.2%,22.9%,28.1%
1988 (5 matches),,1.04,1.25,51.8,3.0,0.9%,62.9%,2.2%,62.1%,46.1%,43.6%
1987 (7 matches),,1.07,1.03,39.2,2.1,4.3%,60.3%,2.3%,59.4%,37.9%,39.4%
Career (25 matches),,1.00,0.94,40.8,2.4,2.9%,59.3%,3.0%,57.4%,39.1%,39.7%
