Date,Tournament,Surface,Rd,Rk,vRk,,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
30-Mar-2026,Marrakech,Clay,R32,91,59,Berrettini vs (7) Ignacio Buse [PER],,,,,,,,,
18-Mar-2026,Miami Masters,Hard,R32,68,25,(24) Valentin Vacherot [MON] d. Berrettini,7-6(5) 6-4,0.73,10.2%,3.4%,67.8%,82.5%,47.4%,0/2,1:31
18-Mar-2026,Miami Masters,Hard,R64,68,11,Berrettini d. (10) Alexander Bublik [KAZ],6-4 6-4,1.08,23.6%,1.4%,62.5%,75.6%,55.6%,6/6,1:28
18-Mar-2026,Miami Masters,Hard,R128,68,90,Berrettini d. Alexandre Muller [FRA],6-4 6-2,1.33,14.5%,1.6%,72.6%,71.1%,64.7%,4/4,1:22
04-Mar-2026,Indian Wells Masters,Hard,R64,66,4,(4) Alexander Zverev [GER] d. Berrettini,6-3 6-4,0.42,9.6%,3.8%,73.1%,76.3%,50.0%,3/5,1:11
04-Mar-2026,Indian Wells Masters,Hard,R128,66,48,Berrettini d. Adrian Mannarino [FRA],4-6 7-5 7-5,1.18,14.0%,3.0%,69.0%,73.9%,51.6%,7/10,2:48
23-Feb-2026,Santiago,Clay,R32,57,79,Emilio Nava [USA] d. (6) Berrettini,6-3 6-4,0.84,6.0%,4.0%,74.0%,73.0%,46.2%,2/4,1:26
16-Feb-2026,Rio de Janeiro,Clay,QF,57,91,Ignacio Buse [PER] d. Berrettini,6-3 2-6 6-3,0.82,10.8%,2.4%,66.3%,72.7%,42.9%,4/7,2:19
16-Feb-2026,Rio de Janeiro,Clay,R16,57,129,Berrettini d. (LL) Dusan Lajovic [SRB],3-6 6-4 6-2,1.23,9.0%,3.8%,71.8%,78.6%,40.9%,4/6,2:09
16-Feb-2026,Rio de Janeiro,Clay,R32,57,107,Berrettini d. (LL) Tomas Barrios Vera [CHI],7-6(1) 7-5,1.48,8.0%,2.7%,64.0%,79.2%,66.7%,5/5,2:25
09-Feb-2026,Buenos Aires,Clay,R16,58,95,Vit Kopriva [CZE] d. (8) Berrettini,6-4 6-3,0.68,5.8%,0.0%,62.3%,67.4%,50.0%,6/8,1:34
09-Feb-2026,Buenos Aires,Clay,R32,58,322,(8) Berrettini d. (WC) Federico Coria [ARG],7-5 7-5,1.67,6.1%,3.0%,69.7%,78.3%,60.0%,1/2,2:14
23-Nov-2025,Davis Cup Finals F: ITA vs ESP,Hard,RR,56,89,Berrettini d. Pablo Carreno Busta [ESP],6-3 6-4,,,,,,,,
21-Nov-2025,Davis Cup Finals SF: ITA vs BEL,Hard,RR,56,86,Berrettini d. Raphael Collignon [BEL],6-3 6-4,,,,,,,,
19-Nov-2025,Davis Cup Finals QF: ITA vs AUT,Hard,RR,56,177,Berrettini d. Jurij Rodionov [AUT],6-3 7-6(4),,,,,,,,
02-Nov-2025,Metz,Hard,QF,63,38,Learner Tien [USA] d. Berrettini,5-7 6-2 6-3,0.77,15.1%,4.1%,63.0%,73.9%,51.9%,0/3,1:44
02-Nov-2025,Metz,Hard,R16,63,87,Berrettini d. Aleksandar Vukic [AUS],7-6(5) 6-3,1.79,25.4%,1.7%,71.2%,88.1%,58.8%,1/2,1:21
02-Nov-2025,Metz,Hard,R32,63,84,Berrettini d. Quentin Halys [FRA],6-2 6-4,2.32,15.9%,2.3%,63.6%,82.1%,87.5%,2/2,1:03
