Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,8,3,5,37.5%,8-12,40.0%,82-101,44.8%,1-0,100.0%,4,74.5%,11.3%,3.8%,4.1%,57.4%,68.3%,53.7%,62.1%,27.4%,45.7%,0.72
Clay,1,1,0,100.0%,2-0,100.0%,12-4,75.0%,0-0,-,0,,,,,,,,,,,
Grass,1,0,1,0.0%,0-2,0.0%,8-12,40.0%,0-0,-,1,60.0%,20.0%,8.3%,9.7%,61.1%,70.5%,35.7%,56.9%,37.3%,48.1%,0.87
Carpet,2,1,1,50.0%,3-5,37.5%,40-44,47.6%,1-1,50.0%,2,78.0%,19.5%,10.5%,7.5%,51.9%,75.8%,53.0%,64.9%,35.5%,49.4%,1.01
Grand Slams,1,0,1,0.0%,1-3,25.0%,13-22,37.1%,0-0,-,1,70.6%,5.6%,5.8%,6.8%,53.4%,65.5%,54.2%,60.2%,23.2%,42.4%,0.58
Other Tours,3,1,2,33.3%,3-4,42.9%,31-38,44.9%,0-0,-,3,76.5%,14.3%,2.8%,2.8%,59.3%,69.5%,53.4%,63.0%,29.5%,47.3%,0.80
Best of 5,3,1,2,33.3%,4-8,33.3%,49-64,43.4%,1-0,100.0%,2,76.2%,18.6%,10.8%,5.8%,54.2%,71.5%,55.5%,64.2%,34.0%,48.4%,0.95
Best of 3,9,4,5,44.4%,9-11,45.0%,93-97,48.9%,1-1,50.0%,5,73.3%,13.1%,4.4%,6.2%,56.7%,71.0%,49.1%,61.5%,30.3%,46.8%,0.79
vs Righties,8,3,5,37.5%,9-13,40.9%,96-114,45.7%,2-0,100.0%,6,74.4%,17.0%,7.2%,5.1%,57.2%,70.5%,52.2%,62.7%,32.7%,47.9%,0.88
vs Lefties,3,1,2,33.3%,2-6,25.0%,34-42,44.7%,0-1,0.0%,1,75.0%,6.3%,4.9%,10.8%,48.0%,75.5%,49.1%,61.8%,27.6%,45.0%,0.72
vs Top 10,2,0,2,0.0%,0-5,0.0%,13-30,30.2%,0-0,-,0,,,,,,,,,,,
