Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2026 Australian Open R128,L vs Etcheverry,17% (4/23),50% (2/4),0/4,39% (9/23),56% (5/9),2/2,2/2,2/2,0/0,0/0
2025 Wimbledon R32,L vs Djokovic,8% (1/13),100% (1/1),0/6,50% (6/12),0% (0/6),1/1,0/0,2/2,0/0,2/2
2025 Rome R128,L vs Griekspoor,23% (3/13),67% (2/3),1/5,50% (6/12),17% (1/6),2/2,1/1,1/1,0/0,0/0
2025 Miami R64,L vs Ruud,27% (4/15),50% (2/4),0/2,21% (3/14),33% (1/3),1/1,0/0,1/1,0/0,1/1
2025 Indian Wells R128,L vs Griekspoor,20% (3/15),0% (0/3),0/2,19% (3/16),0% (0/3),0/0,0/0,2/3,0/0,0/1
2025 Delray Beach F,W vs Davidovich Fokina,43% (6/14),67% (4/6),0/2,36% (5/14),60% (3/5),4/4,2/2,3/3,1/1,2/2
2025 Australian Open R32,L vs Rune,23% (6/26),83% (5/6),3/7,32% (8/25),13% (1/8),3/4,0/0,1/1,0/0,0/0
2025 Australian Open R64,W vs Hurkacz,36% (5/14),80% (4/5),0/0,7% (1/14),100% (1/1),4/4,3/3,0/0,1/1,0/0
2024 US Open R64,L vs Musetti,40% (10/25),70% (7/10),1/6,42% (10/24),40% (4/10),3/5,0/0,1/1,0/0,0/0
2024 Wimbledon R32,L vs Sinner,8% (1/13),0% (0/1),0/5,50% (6/12),17% (1/6),0/0,0/0,2/2,0/0,1/1
2024 Wimbledon R64,W vs Griekspoor,35% (8/23),50% (4/8),0/4,26% (6/23),33% (2/6),2/3,1/1,1/1,1/1,0/0
2024 Wimbledon R128,W vs Nagal,50% (9/18),78% (7/9),2/4,28% (5/18),20% (1/5),6/7,3/4,0/0,1/2,0/0
2024 Eastbourne R16,W vs Baez,50% (4/8),100% (4/4),1/1,22% (2/9),50% (1/2),3/4,2/2,0/0,1/1,0/0
2024 Rome R64,W vs Ruud,54% (7/13),57% (4/7),1/4,54% (7/13),29% (2/7),3/4,2/2,0/1,1/1,0/0
2024 Monte Carlo R64,W vs Berrettini,63% (5/8),100% (5/5),1/1,25% (2/8),50% (1/2),3/4,1/1,0/0,1/1,0/0
2024 Australian Open R16,L vs Alcaraz,0% (0/13),- (0/0),0/5,54% (7/13),29% (2/7),0/0,0/0,2/2,0/0,0/0
2024 Australian Open R32,W vs Paul,43% (10/23),60% (6/10),1/5,41% (9/22),44% (4/9),5/6,2/2,1/1,1/1,0/0
2023 US Open R128,L vs Varillas,33% (7/21),86% (6/7),0/6,45% (9/20),33% (3/9),4/5,0/0,3/3,0/0,1/1
2023 Canada R32,L vs Hurkacz,21% (3/14),33% (1/3),0/4,38% (5/13),20% (1/5),1/1,1/1,1/1,0/0,0/0
2023 Wimbledon R128,L vs Schwartzman,31% (4/13),50% (2/4),0/6,67% (8/12),13% (1/8),1/2,0/0,0/1,0/0,0/0
2026 (1 matches),,17.4%,50.0%,0.0%,39.1%,55.6%,100.0%,100.0%,100.0%,-,-
2025 (7 matches),,25.5%,64.3%,16.7%,29.9%,21.9%,93.8%,100.0%,90.9%,100.0%,83.3%
2024 (9 matches),,37.5%,68.5%,20.0%,38.0%,33.3%,75.8%,91.7%,87.5%,85.7%,100.0%
2023 (11 matches),,21.4%,64.3%,5.1%,44.4%,21.8%,76.5%,80.0%,76.5%,100.0%,80.0%
2022 (17 matches),,32.8%,64.9%,10.5%,32.5%,36.0%,87.8%,92.3%,58.3%,100.0%,20.0%
Career (222 matches),,35.8%,70.6%,22.9%,34.6%,33.5%,79.5%,82.2%,73.3%,82.1%,72.4%
