Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2026,1,0,1,0.0%,0-2,0.0%,7-12,36.8%,0-0,-,1,77.8%,0.0%,10.9%,0.0%,63.0%,79.3%,58.8%,71.7%,14.9%,43.0%,0.53,R32 (Brisbane)
2025,4,1,3,25.0%,2-7,22.2%,42-53,44.2%,0-4,0.0%,4,78.3%,12.5%,12.6%,4.7%,69.1%,69.9%,40.8%,60.9%,30.1%,45.7%,0.77,R64 (Miami Masters)
2024,1,0,1,0.0%,1-2,33.3%,19-20,48.7%,1-2,33.3%,1,100.0%,0.0%,14.0%,0.0%,75.7%,82.7%,69.2%,79.4%,19.8%,49.1%,0.96,R32 (Brisbane)
2023,1,0,1,0.0%,0-2,0.0%,8-13,38.1%,0-0,-,1,80.0%,0.0%,25.9%,8.6%,69.0%,75.0%,38.9%,63.8%,27.9%,44.4%,0.77,R32 (Stuttgart)
2022,52,40,12,76.9%,90-37,70.9%,723-567,56.0%,16-13,55.2%,47,92.9%,19.3%,19.6%,4.2%,68.0%,78.8%,55.9%,71.4%,34.8%,52.9%,1.22,W (Washington)
2021,15,7,8,46.7%,22-22,50.0%,214-227,48.5%,5-1,83.3%,14,86.0%,12.4%,18.9%,3.0%,67.6%,77.5%,51.9%,69.2%,31.2%,49.6%,1.01,R16 (2x)
2020,9,6,3,66.7%,16-10,61.5%,149-133,52.8%,7-5,58.3%,9,92.5%,13.2%,20.8%,3.0%,71.5%,78.1%,53.1%,71.0%,29.8%,50.5%,1.03,SF (Atp Cup)
2019,36,22,14,61.1%,54-37,59.3%,497-469,51.4%,17-11,60.7%,35,88.7%,14.4%,20.2%,3.9%,66.1%,79.6%,50.3%,69.7%,30.4%,50.2%,1.00,W (2x)
2018,42,26,16,61.9%,67-49,57.8%,625-587,51.6%,20-16,55.6%,40,89.7%,13.2%,22.5%,5.2%,65.1%,79.0%,54.0%,70.3%,30.6%,50.6%,1.03,W (Brisbane)
2017,51,32,19,62.7%,79-44,64.2%,663-560,54.2%,18-9,66.7%,48,89.0%,18.6%,18.1%,4.8%,63.9%,79.3%,54.5%,70.4%,35.0%,52.4%,1.18,F (2x)
2016,55,40,15,72.7%,95-41,69.9%,757-617,55.1%,18-11,62.1%,54,88.6%,20.1%,17.4%,3.7%,66.5%,75.9%,55.2%,69.0%,35.7%,52.2%,1.15,W (3x)
2015,44,25,19,56.8%,64-53,54.7%,630-588,51.7%,18-17,51.4%,42,86.9%,16.9%,13.8%,3.9%,64.1%,75.5%,52.7%,67.3%,33.1%,50.6%,1.01,F (Estoril)
2014,19,10,9,52.6%,33-30,52.4%,338-342,49.7%,13-10,56.5%,15,84.2%,13.9%,15.5%,4.0%,65.3%,75.1%,49.8%,66.3%,32.2%,49.4%,0.96,QF (Wimbledon)
2013,4,2,2,50.0%,3-6,33.3%,39-55,41.5%,3-0,100.0%,3,75.6%,4.3%,6.7%,4.4%,61.9%,72.3%,45.0%,61.9%,24.5%,44.5%,0.64,
Career,334,211,123,63.2%,526-342,60.6%,4711-4243,52.6%,136-99,57.9%,314,88.7%,16.4%,18.1%,4.2%,65.9%,77.6%,53.3%,69.3%,32.9%,51.1%,1.07,
