Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2010,4,1,3,25.0%,3-8,27.3%,47-59,44.3%,0-1,0.0%,4,77.4%,11.5%,14.1%,8.1%,51.2%,79.3%,46.8%,63.4%,29.1%,46.8%,0.80,R16 (Halle)
2009,29,13,16,44.8%,36-36,50.0%,342-347,49.6%,6-4,60.0%,28,78.2%,18.2%,10.0%,5.1%,51.6%,75.4%,48.8%,62.5%,35.7%,49.7%,0.95,SF (Stuttgart)
2008,41,22,19,53.7%,51-46,52.6%,490-478,50.6%,8-7,53.3%,38,80.1%,21.9%,9.8%,3.3%,52.3%,76.1%,50.3%,63.8%,37.4%,50.5%,1.03,F (Canada Masters)
2007,33,20,13,60.6%,45-23,66.2%,368-301,55.0%,8-5,61.5%,31,85.6%,22.9%,9.9%,3.6%,56.7%,79.4%,52.0%,67.5%,38.0%,52.6%,1.17,SF (3x)
2006,27,16,11,59.3%,44-34,56.4%,398-371,51.8%,9-5,64.3%,21,74.9%,29.9%,7.7%,4.2%,51.3%,71.5%,51.4%,61.7%,41.8%,51.6%,1.09,F (Dusseldorf)
2005,58,34,24,58.6%,91-62,59.5%,783-676,53.7%,10-6,62.5%,52,78.5%,28.3%,9.9%,4.9%,53.4%,74.4%,50.2%,63.2%,40.6%,51.7%,1.10,F (2x)
2004,57,37,20,64.9%,89-56,61.4%,750-670,52.8%,18-8,69.2%,52,79.4%,24.1%,9.3%,4.8%,54.6%,77.2%,47.9%,63.9%,39.0%,51.3%,1.08,F (4x)
2003,36,19,17,52.8%,41-43,48.8%,388-401,49.2%,3-3,50.0%,36,75.9%,23.2%,9.1%,5.3%,50.9%,73.0%,49.3%,61.4%,37.6%,49.7%,0.97,F (Halle)
2002,49,21,28,42.9%,50-64,43.9%,545-566,49.1%,5-11,31.3%,45,73.0%,24.7%,8.5%,6.1%,52.2%,73.1%,46.5%,60.4%,38.2%,49.5%,0.96,F (Halle)
2001,58,29,29,50.0%,78-72,52.0%,722-699,50.8%,7-7,50.0%,54,73.6%,27.6%,8.3%,5.2%,51.0%,71.6%,48.6%,60.3%,39.5%,50.0%,0.99,F (Moscow)
2000,46,30,16,65.2%,74-46,61.7%,623-521,54.5%,8-6,57.1%,45,79.9%,28.3%,8.0%,5.4%,51.9%,75.2%,51.1%,63.6%,39.6%,51.8%,1.09,W (2x)
1999,79,54,25,68.4%,122-73,62.6%,1027-859,54.5%,16-10,61.5%,73,80.2%,28.4%,8.3%,5.4%,51.3%,74.8%,51.4%,63.4%,40.2%,52.0%,1.10,W (3x)
1998,63,34,29,54.0%,90-76,54.2%,812-758,51.7%,12-9,57.1%,60,77.3%,26.2%,7.6%,5.6%,53.8%,74.7%,47.9%,62.3%,38.6%,50.7%,1.02,W (Dusseldorf)
1997,42,26,16,61.9%,60-48,55.6%,541-509,51.5%,8-7,53.3%,42,79.7%,22.9%,10.0%,4.5%,53.8%,77.0%,48.6%,63.9%,37.3%,50.7%,1.03,W (Toulouse)
1996,16,7,9,43.8%,15-19,44.1%,163-160,50.5%,2-3,40.0%,13,74.4%,22.1%,8.9%,3.5%,52.5%,73.8%,44.0%,59.6%,38.8%,49.2%,0.96,QF (Kitzbuhel)
1995,6,3,3,50.0%,7-7,50.0%,64-64,50.0%,0-0,-,6,77.3%,21.0%,6.7%,3.4%,60.7%,72.3%,50.0%,63.5%,36.0%,50.5%,0.99,QF (St. Petersburg)
1994,1,0,1,0.0%,0-2,0.0%,4-12,25.0%,0-0,-,0,,,,,,,,,,,,R32 (Ostrava)
Career,645,366,279,56.7%,896-715,55.6%,8067-7451,52.0%,120-92,56.6%,600,78.1%,25.4%,8.9%,5.0%,52.7%,74.8%,49.3%,62.8%,38.8%,50.9%,1.04,
