Match,Result,Avg Speed,1st Avg,1st StDev,1st T Avg,1st Wide Avg,Max 1st,Min 1st,2nd Avg,2nd StDev,2nd T Avg,2nd Wide Avg,Max 2nd,Min 2nd
2019 Roland Garros R32,L vs Mayer,106.2,117.1,5.3,,,126,93,89.8,7.7,,,105,65
2019 Roland Garros R64,W vs Kohlschreiber,103.8,116.4,7.2,,,124,93,89.0,6.1,,,101,73
2019 Roland Garros R128,W vs Cecchinato,105.5,116.3,4.9,,,127,98,90.3,7.4,,,103,70
2018 US Open R64,L vs Zverev,106.2,115.2,8.5,117.3,108.4,125,91,92.0,6.7,94.2,87.3,107,78
2017 US Open Q3,W vs Tsitsipas,102.9,109.0,9.3,112.8,103.8,122,79,92.2,5.7,94.7,92.5,103,83
2017 Roland Garros R128,L vs Bolelli,104.9,112.8,11.7,,,125,79,94.4,8.8,,,110,78
2016 US Open R32,L vs Nishikori,103.3,110.8,7.6,115.6,104.1,124,95,93.8,6.0,98.0,86.0,105,80
2016 US Open R64,W vs Mathieu,105.7,119.0,7.6,,,129,96,92.7,4.6,,,101,84
2016 US Open R128,W vs Kohlschreiber,106.3,117.2,10.6,,,127,86,92.4,7.1,,,105,79
2016 Wimbledon R16,L vs Querrey,110.0,116.8,7.3,116.7,113.2,127,99,94.5,6.7,100.6,87.6,106,79
2016 Roland Garros R64,L vs Granollers,106.4,111.9,9.9,,,127,88,96.4,9.0,,,128,75
2016 Roland Garros R128,W vs Berankis,100.8,112.7,9.5,,,123,85,86.5,9.3,,,100,68
2016 Australian Open R64,L vs Monfils,111.4,116.8,8.4,,,128,98,94.9,6.2,,,107,81
2015 US Open R64,L vs Garcia Lopez,107.3,115.8,8.1,,,127,90,94.2,4.9,,,103,85
2015 US Open R128,W vs Querrey,108.2,115.2,8.8,,,127,91,95.5,5.5,,,105,81
2015 Wimbledon R64,L vs Berdych,112.0,116.9,7.1,,,129,98,100.8,6.5,,,112,88
2015 Roland Garros R32,L vs Simon,108.4,116.6,8.9,,,127,85,94.0,6.9,,,106,73
2015 Roland Garros R64,W vs Gulbis,108.3,117.8,8.5,,,128,87,91.5,6.9,,,105,79
2015 Roland Garros R128,W vs Coppejans,109.1,117.8,9.8,,,129,86,90.5,6.5,,,106,80
2014 Roland Garros R128,L vs Kukushkin,104.4,115.6,6.9,,,125,92,89.7,9.1,,,103,64
Career (32 matches),,106.6,115.0,7.8,115.8,108.0,129,77,92.7,6.8,96.8,88.2,128,60
