Date,Tournament,Surface,Rd,Rk,vRk,,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
04-Nov-2024,Matsuyama CH,Hard,F,119,179,(5) Moreno De Alboran d. Alex Bolt [AUS],7-6(4) 6-2,1.53,19.0%,0.0%,76.2%,77.1%,66.7%,2/3,1:26
30-Sep-2024,Villena CH,Hard,F,144,146,(6) Kamil Majchrzak [POL] d. (5) Moreno De Alboran,6-4 6-2,0.60,9.3%,3.7%,75.9%,61.0%,30.8%,1/4,1:16
07-Aug-2023,Cary CH,Hard,F,149,256,Adam Walton [AUS] d. (4) Moreno De Alboran,6-4 3-6 7-5,1.07,17.0%,8.0%,59.0%,78.0%,41.5%,3/7,2:59
05-Jun-2023,Tyler CH,Hard,F,187,296,(3) Moreno De Alboran d. Mikhail Kukushkin [KAZ],6-7(8) 7-6(0) 6-4,1.09,15.3%,6.5%,72.6%,76.7%,55.9%,6/7,3:09
13-Feb-2023,Chennai CH,Hard,F,219,203,Max Purcell [AUS] d. Moreno De Alboran,5-7 7-6(2) 6-4,0.92,7.4%,5.7%,63.9%,65.4%,56.8%,9/12,3:07
19-Sep-2022,Braga CH,Clay,F,308,216,(Q) Moreno De Alboran d. Matheus Pucinelli De Almeida [BRA],6-2 6-4,1.43,0.0%,3.8%,67.3%,65.7%,64.7%,3/5,1:46
12-Sep-2022,M25 Madrid,Hard,F,306,333,(2) Lukas Neumayer [AUT] d. (1) Moreno De Alboran,6-4 6-1,,,,,,,,
04-Apr-2022,Salinas CH,Hard,F,288,148,(1) Emilio Gomez [ECU] d. Moreno De Alboran,6-7(2) 7-6(4) 7-5,1.04,5.6%,2.4%,72.8%,61.5%,41.2%,8/16,3:16
12-Jul-2021,M25 Idanha-a-Nova,Hard,F,460,497,(7) Moreno De Alboran d. (5) Zane Khan [USA],1-0 RET,,,,,,,,
21-Jun-2021,M25 Klosters,Clay,F,516,380,Moreno De Alboran d. (7) Francesco Forti [ITA],6-4 6-3,,,,,,,,
