Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2026 Australian Open R32,L vs Tien,77% (10/13),33% (2/6),0/2,0/0,38% (3/8),3/6,0/1,60% (6/10),30% (3/10)
2025 Athens R32,W vs Sakellaridis,69% (11/16),50% (1/2),2/3,1/2,- (0/0),0/0,0/0,100% (6/6),20% (1/5)
2025 Wimbledon R128,W vs Cerundolo,80% (16/20),43% (6/14),3/6,1/2,70% (7/10),1/2,0/0,83% (5/6),33% (2/6)
2025 Eastbourne R32,W vs Pinnington Jones,61% (11/18),38% (5/13),2/3,1/1,63% (5/8),0/1,0/0,- (0/0),- (0/0)
2025 Roland Garros R128,W vs Jacquet,59% (20/34),32% (7/22),3/8,1/5,64% (7/11),0/2,0/0,40% (2/5),20% (1/5)
2025 Doha R16,L vs Rublev,88% (7/8),- (0/0),0/0,0/0,67% (4/6),2/4,2/3,- (0/0),- (0/0)
2025 Australian Open R32,L vs Alcaraz,56% (14/25),0% (0/3),1/3,0/0,62% (8/13),1/4,0/1,60% (3/5),80% (4/5)
2024 Basel R32,L vs Rublev,57% (4/7),100% (1/1),0/0,0/0,60% (6/10),1/3,1/2,- (0/0),- (0/0)
2024 US Open R16,L vs Medvedev,23% (3/13),20% (1/5),0/0,0/0,50% (8/16),0/3,0/1,- (0/0),- (0/0)
2024 US Open R32,W vs Mensik,68% (19/28),44% (8/18),3/5,1/1,67% (8/12),4/6,3/3,62% (8/13),38% (5/13)
2024 US Open R64,W vs Kokkinakis,70% (16/23),33% (4/12),3/4,1/2,83% (5/6),0/0,0/0,- (0/0),- (0/0)
2024 US Open R128,W vs Coria,85% (11/13),47% (7/15),3/4,1/2,33% (1/3),0/0,0/0,- (0/0),- (0/0)
2024 Bastad F,W vs Nadal,58% (7/12),42% (5/12),2/2,1/1,60% (3/5),0/0,0/0,- (0/0),- (0/0)
2024 Wimbledon R128,L vs Nishioka,82% (14/17),33% (3/9),1/7,0/0,64% (7/11),2/5,0/1,71% (5/7),14% (1/7)
2024 Rome R16,L vs Zverev,60% (6/10),50% (1/2),0/0,0/0,20% (1/5),1/3,0/1,- (0/0),- (0/0)
2024 Los Cabos QF,L vs Ruud,100% (5/5),0% (0/2),0/0,0/0,0% (0/3),0/2,0/1,- (0/0),- (0/0)
2024 Australian Open R16,L vs Medvedev,50% (13/26),36% (4/11),1/1,0/0,54% (7/13),5/8,2/3,40% (2/5),33% (2/6)
2024 Australian Open R32,W vs Dimitrov,67% (20/30),57% (4/7),3/3,1/1,92% (11/12),1/2,0/0,50% (6/12),42% (5/12)
2023 US Open R128,L vs Ofner,68% (17/25),50% (5/10),1/4,0/0,44% (4/9),2/5,1/2,57% (8/14),29% (4/14)
2023 Wimbledon R128,L vs Cerundolo,52% (15/29),25% (2/8),1/1,0/0,77% (17/22),1/4,0/1,- (0/0),- (0/0)
2026 (1 matches),,76.9%,33.3%,0.0%,-,37.5%,50.0%,0.0%,60.0%,30.0%
2025 (6 matches),,65.3%,35.2%,47.8%,40.0%,64.6%,30.8%,50.0%,72.7%,38.1%
2024 (11 matches),,64.1%,40.4%,61.5%,71.4%,59.4%,43.8%,50.0%,56.8%,34.2%
2023 (3 matches),,58.5%,38.9%,40.0%,-,64.9%,27.3%,25.0%,57.1%,28.6%
2022 (7 matches),,66.7%,38.8%,56.5%,45.5%,62.7%,60.9%,50.0%,68.4%,38.2%
Career (36 matches),,63.4%,39.7%,55.2%,57.6%,62.9%,43.0%,43.3%,63.0%,35.0%
