Date,Tournament,Surface,Rd,Rk,vRk,,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
17-Jul-2023,Gstaad,Clay,F,90,79,Cachin d. Albert Ramos [ESP],3-6 6-0 7-5,1.21,8.0%,5.7%,65.9%,69.0%,53.3%,3/6,2:25
10-Apr-2023,Madrid CH,Clay,F,65,107,(2) Alexander Shevchenko [KAZ] d. (1) Cachin,6-4 6-3,0.63,1.3%,1.3%,56.0%,52.4%,54.5%,10/14,1:22
15-Aug-2022,Santo Domingo CH,Clay,F,88,226,(2) Cachin d. Marco Trungelliti [ARG],6-4 2-6 6-3,1.11,3.4%,1.1%,58.0%,76.5%,43.2%,5/8,2:01
11-Jul-2022,Verona CH,Clay,F,98,337,Francesco Maestrelli [ITA] d. (1) Cachin,3-6 6-3 6-0,0.78,3.8%,2.6%,62.8%,65.3%,44.8%,4/8,2:02
04-Jul-2022,Todi CH,Clay,F,120,237,(1) Cachin d. Nicolas Kicker [ARG],6-4 6-4,1.16,9.0%,1.5%,62.7%,52.4%,68.0%,4/7,1:52
06-Jun-2022,Lyon CH,Clay,F,142,128,(7) Corentin Moutet [FRA] d. Cachin,6-4 6-4,0.51,6.1%,1.5%,50.0%,81.8%,39.4%,4/6,1:30
02-May-2022,Prague CH,Clay,F,176,223,(5) Cachin d. Lorenzo Giustino [ITA],6-3 7-6(4),1.26,1.5%,1.5%,61.2%,70.7%,57.7%,2/4,1:43
11-Apr-2022,Madrid CH,Clay,F,212,194,Cachin d. Marco Trungelliti [ARG],6-3 6-7(3) 6-3,1.19,12.0%,1.0%,53.0%,84.9%,55.3%,5/6,2:17
28-Mar-2022,Marbella CH,Clay,F,228,89,(6) Jaume Munar [ESP] d. (Alt) Cachin,6-2 6-2,0.72,0.0%,2.1%,61.7%,51.7%,55.6%,1/5,1:21
17-May-2021,M25 Vic,Clay,F,292,286,(1) Carlos Gimeno Valero [ESP] d. (2) Cachin,1-6 6-3 6-4,,,,,,,,
