Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2019 Umag R32,L vs Sinner,0.81,0.88,69.7,13.7,-,59.0%,-,66.7%,33.3%,47.6%
2019 Lyon  CH R16,L vs Coppejans,1.05,0.62,43.9,3.0,-,48.0%,-,43.5%,26.9%,37.5%
2019 Estoril R32,L vs Opelka,0.91,0.63,52.9,2.3,0.0%,57.9%,2.9%,65.7%,21.9%,32.1%
2019 Barcelona R64,L vs Munar,1.05,0.78,49.3,4.6,0.0%,42.5%,0.0%,54.1%,34.3%,43.3%
2019 Barcelona Q2,W vs Andreozzi,1.17,1.43,47.3,2.6,0.0%,58.6%,3.6%,53.6%,44.4%,63.6%
2019 Barcelona Q1,W vs Alcaraz,1.09,1.27,65.1,9.4,3.7%,63.0%,0.0%,57.4%,42.0%,51.1%
2019 Tunis CH R16,L vs Balazs,0.97,0.76,51.6,11.2,2.5%,55.0%,0.0%,47.1%,48.9%,26.8%
2019 Tunis CH R32,W vs Vavassori,1.02,1.46,46.6,2.2,2.6%,71.1%,2.9%,55.9%,64.7%,37.5%
2019 Murcia CH R16,L vs Griekspoor,0.76,0.82,63.2,2.4,7.5%,62.5%,2.9%,65.7%,29.6%,49.1%
2019 Murcia CH R32,W vs Granollers,1.00,1.67,34.2,2.1,11.1%,77.8%,0.0%,56.5%,54.5%,51.6%
2019 Villena CH QF,L vs Hernandez,0.93,0.93,80.8,17.2,1.7%,63.8%,1.8%,49.1%,50.0%,36.0%
2019 Villena CH R16,W vs Davidovich Fokina,0.84,1.32,47.3,2.9,11.4%,71.4%,6.9%,58.6%,52.5%,55.9%
2019 Villena CH R32,W vs Robredo,1.66,3.71,23.5,2.1,0.0%,80.0%,5.3%,68.4%,60.9%,52.6%
2019 Marbella CH R32,L vs Taberner,0.93,0.89,68.6,4.2,0.0%,52.4%,0.0%,56.8%,37.0%,50.0%
2019 Sao Paulo R32,L vs Garin,1.01,0.72,55.0,3.1,22.5%,70.0%,2.8%,38.9%,33.3%,30.3%
2019 Rio de Janeiro R32,L vs Monteiro,1.21,0.87,54.1,2.0,7.4%,33.3%,0.0%,41.7%,40.0%,50.0%
2019 Davis Cup RR,L vs Kukushkin,0.91,0.37,32.7,2.1,6.7%,53.3%,3.6%,35.7%,20.0%,25.0%
2019 Australian Open R128,L vs De Minaur,0.75,0.62,28.3,2.2,0.0%,64.0%,0.0%,62.2%,34.0%,26.2%
2019 Sydney Q1,L vs Garin,0.82,0.53,36.0,2.2,10.0%,56.7%,0.0%,44.8%,28.0%,36.4%
2018 Montevideo CH SF,L vs Pella,0.85,0.83,61.7,5.9,2.3%,65.1%,0.0%,59.0%,42.9%,30.4%
2019 (19 matches),,0.97,0.94,52.7,3.0,4.9%,60.1%,1.7%,54.1%,40.3%,42.6%
2018 (63 matches),,1.04,1.16,54.7,2.7,2.6%,59.7%,2.1%,61.7%,43.5%,44.2%
2017 (46 matches),,1.06,1.20,55.8,2.7,2.8%,61.3%,1.1%,59.0%,43.9%,45.9%
2016 (75 matches),,1.09,1.27,52.6,2.7,1.8%,60.0%,1.0%,61.2%,45.3%,47.1%
2015 (6 matches),,1.01,0.82,61.9,3.0,2.6%,54.3%,4.2%,52.8%,33.8%,41.6%
Career (278 matches),,1.06,1.14,54.0,2.7,2.7%,59.4%,1.6%,59.2%,43.6%,44.3%
