Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,4,Hard,4,0,4,0.0%,1,0,1,0.0%,2017,2021,R128,3,0.70,2.9%,3.7%,58.0%,68.3%,49.5%,60.4%,27.8%,61.5%,25.0%
Roland Garros,8,Clay,15,7,8,46.7%,7,3,4,42.9%,2012,2022,Q3,10,0.95,3.3%,3.8%,66.9%,64.2%,53.1%,60.5%,37.6%,52.7%,44.3%
Wimbledon,5,Grass,7,2,5,28.6%,1,0,1,0.0%,2012,2022,R128,2,0.57,1.9%,7.5%,55.3%,60.2%,33.8%,48.4%,29.2%,47.8%,40.0%
US Open,9,Hard,10,1,9,10.0%,0,0,0,-,2012,2022,R128,7,0.83,5.1%,6.5%,58.7%,67.8%,47.6%,59.5%,33.8%,55.6%,31.6%
Olympics,1,,1,0,1,0.0%,0,0,0,-,2021,2021,R64,0,,,,,,,,,,
Davis Cup,8,,12,8,4,66.7%,5,2,3,40.0%,2006,2020,,6,1.16,6.2%,5.1%,72.0%,68.2%,48.6%,62.7%,43.4%,65.9%,42.2%
Estoril,14,Clay,23,10,13,43.5%,11,5,6,45.5%,2007,2023,R16,22,0.94,2.2%,4.1%,71.9%,60.0%,44.2%,55.6%,41.6%,52.5%,46.2%
Bastad,3,Clay,6,3,3,50.0%,1,1,0,100.0%,2018,2022,R16,6,0.92,1.1%,3.3%,70.7%,60.9%,40.7%,55.0%,41.4%,55.1%,39.5%
Barcelona,2,Clay,5,3,2,60.0%,2,1,1,50.0%,2019,2022,R64,5,0.97,2.3%,4.2%,66.6%,61.8%,50.3%,57.9%,40.9%,65.3%,48.7%
Santiago,2,Clay,3,1,2,33.3%,0,0,0,-,2020,2021,R16,3,1.04,2.5%,5.1%,57.6%,73.5%,53.0%,64.8%,36.5%,57.9%,47.4%
Cordoba,2,Clay,2,0,2,0.0%,0,0,0,-,2020,2021,R32,2,0.77,2.4%,1.6%,56.8%,59.2%,48.1%,54.4%,35.2%,40.0%,28.6%
Rio de Janeiro,2,Clay,2,0,2,0.0%,0,0,0,-,2018,2019,R32,2,0.77,2.8%,3.7%,63.0%,60.3%,32.5%,50.0%,38.4%,47.4%,40.0%
