Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
1999,18,6,12,33.3%,20-29,40.8%,233-248,48.4%,2-7,22.2%,18,78.1%,19.6%,5.2%,6.0%,57.3%,70.9%,46.7%,60.6%,35.9%,48.4%,0.91,R16 (3x)
1998,55,34,21,61.8%,87-60,59.2%,737-652,53.1%,9-6,60.0%,54,77.3%,29.1%,6.4%,6.3%,51.5%,74.8%,48.6%,62.1%,40.7%,51.4%,1.07,W (2x)
1997,78,54,24,69.2%,129-67,65.8%,1080-916,54.1%,23-18,56.1%,70,82.8%,23.5%,7.3%,6.0%,55.6%,75.4%,51.1%,64.6%,38.3%,51.4%,1.08,W (Stuttgart Masters)
1996,65,44,21,67.7%,101-62,62.0%,838-719,53.8%,11-7,61.1%,58,77.8%,29.8%,5.1%,5.2%,57.6%,72.4%,49.2%,62.5%,41.2%,51.8%,1.10,W (2x)
1995,50,27,23,54.0%,74-64,53.6%,704-677,51.0%,14-14,50.0%,47,76.5%,25.8%,5.4%,7.1%,58.7%,71.9%,45.3%,60.9%,40.1%,50.4%,1.02,SF (2x)
1994,60,38,22,63.3%,93-66,58.5%,801-702,53.3%,7-12,36.8%,51,76.4%,28.1%,5.7%,5.6%,58.8%,71.0%,47.9%,61.5%,39.7%,50.6%,1.03,F (3x)
1993,79,55,24,69.6%,125-69,64.4%,1030-849,54.8%,22-14,61.1%,66,77.6%,32.3%,4.9%,6.4%,60.7%,72.6%,45.9%,62.1%,42.4%,52.2%,1.12,W (Grand Slam Cup)
1992,93,63,30,67.7%,152-87,63.6%,1245-1072,53.7%,13-15,46.4%,82,76.3%,31.4%,4.2%,5.3%,60.5%,69.7%,48.0%,61.2%,41.9%,51.4%,1.08,W (3x)
1991,69,45,24,65.2%,107-73,59.4%,904-812,52.7%,18-9,66.7%,65,75.3%,29.6%,3.4%,4.6%,66.1%,67.3%,51.0%,61.8%,41.4%,51.4%,1.08,W (2x)
1990,51,24,27,47.1%,61-60,50.4%,537-548,49.5%,8-9,47.1%,0,,,,,,,,,,,,SF (3x)
1989,21,13,8,61.9%,22-20,52.4%,191-179,51.6%,7-3,70.0%,0,,,,,,,,,,,,F (Frankfurt)
1988,21,8,13,38.1%,22-29,43.1%,224-239,48.4%,4-4,50.0%,0,,,,,,,,,,,,R16 (2x)
1987,3,2,1,66.7%,3-4,42.9%,31-31,50.0%,1-0,100.0%,0,,,,,,,,,,,,QF (Prague)
1985,1,0,1,0.0%,0-2,0.0%,7-12,36.8%,0-0,-,0,,,,,,,,,,,,R32 (Cologne)
Career,664,413,251,62.2%,996-692,59.0%,8562-7656,52.8%,139-118,54.1%,511,77.6%,28.4%,5.3%,5.8%,58.7%,71.7%,48.4%,62.1%,40.6%,51.2%,1.07,
