Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,10,Hard,12,2,10,16.7%,8,2,6,25.0%,2004,2014,R128,11,0.89,4.9%,2.7%,68.9%,66.6%,49.1%,61.2%,34.5%,62.3%,39.0%
Roland Garros,11,Clay,23,12,11,52.2%,10,5,5,50.0%,2003,2015,R32,19,0.98,2.3%,1.5%,75.2%,65.4%,53.1%,62.3%,36.8%,58.2%,37.6%
Wimbledon,10,Grass,15,4,11,26.7%,4,3,1,75.0%,2003,2012,R64,10,0.65,3.8%,1.9%,66.3%,64.5%,44.2%,57.7%,27.5%,57.5%,43.3%
US Open,9,Hard,16,7,9,43.8%,10,2,8,20.0%,2003,2011,R64,10,0.80,5.1%,3.3%,63.9%,65.3%,49.6%,59.6%,32.3%,56.2%,32.9%
Olympics,1,,1,0,1,0.0%,0,0,0,-,2008,2008,R64,1,0.62,1.0%,1.0%,74.7%,59.5%,48.0%,56.6%,27.0%,69.2%,33.3%
Davis Cup,7,,16,15,1,93.8%,3,3,0,100.0%,2004,2011,,0,,,,,,,,,,
Buenos Aires,10,Clay,18,7,11,38.9%,6,3,3,50.0%,2005,2014,QF,18,0.96,2.5%,1.7%,75.6%,66.2%,48.7%,61.9%,36.4%,63.6%,46.2%
Bucharest,10,Clay,15,5,10,33.3%,3,1,2,33.3%,2004,2013,QF,15,0.91,3.7%,1.3%,75.7%,64.5%,48.2%,60.6%,35.8%,59.8%,33.0%
Rome Masters,9,Clay,18,9,9,50.0%,5,2,3,40.0%,2005,2013,R16,18,0.95,1.9%,1.5%,74.5%,64.9%,49.0%,60.8%,37.4%,68.7%,42.1%
Acapulco,8,Clay,12,4,8,33.3%,3,1,2,33.3%,2006,2013,QF,12,0.98,3.9%,1.9%,70.4%,65.6%,51.2%,61.3%,37.9%,61.5%,31.5%
Barcelona,7,Clay,15,8,7,53.3%,3,3,0,100.0%,2005,2011,QF,15,0.99,2.8%,0.8%,76.2%,64.3%,56.1%,62.4%,37.3%,62.6%,42.2%
Costa Do Sauipe,7,Clay,12,5,7,41.7%,1,1,0,100.0%,2005,2011,QF,12,0.89,2.1%,1.9%,72.3%,65.2%,46.8%,60.1%,35.6%,48.1%,36.8%
