Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2016,1,0,1,0.0%,1-2,33.3%,12-14,46.2%,0-0,-,1,69.2%,23.1%,12.0%,0.0%,61.3%,78.3%,37.9%,62.7%,38.6%,50.0%,1.03,R32 (Bergamo)
2015,8,2,6,25.0%,7-12,36.8%,87-106,45.1%,2-2,50.0%,8,73.9%,17.5%,5.5%,2.7%,63.1%,68.1%,48.9%,61.0%,35.9%,48.2%,0.92,QF (Bratislava)
2014,7,5,2,71.4%,11-5,68.8%,91-60,60.3%,1-2,33.3%,7,75.7%,45.9%,4.7%,3.4%,58.2%,67.8%,56.8%,63.2%,48.9%,55.6%,1.33,SF (Prostejov)
2013,15,15,0,100.0%,29-3,90.6%,195-111,63.7%,2-2,50.0%,15,91.0%,36.0%,5.9%,3.2%,63.2%,77.5%,57.3%,70.1%,44.6%,56.7%,1.49,W (3x)
2012,4,3,1,75.0%,6-3,66.7%,41-29,58.6%,0-0,-,4,62.9%,54.3%,3.3%,5.1%,62.8%,65.2%,43.8%,57.2%,51.1%,54.1%,1.19,SF (Prostejov)
2011,4,3,1,75.0%,7-2,77.8%,52-38,57.8%,0-0,-,4,82.2%,33.3%,6.9%,5.7%,55.7%,78.1%,53.4%,67.2%,42.1%,53.8%,1.28,SF (Prostejov)
2010,7,5,2,71.4%,11-3,78.6%,75-55,57.7%,1-0,100.0%,7,83.3%,30.2%,2.9%,4.9%,63.8%,70.7%,49.7%,63.1%,44.0%,53.5%,1.19,F (Prostejov)
2009,1,0,1,0.0%,1-0,100.0%,6-2,75.0%,0-0,-,0,,,,,,,,,,,,R32 (Prostejov)
2008,3,2,1,66.7%,4-2,66.7%,32-27,54.2%,1-0,100.0%,0,,,,,,,,,,,,QF (Wroclaw)
2004,5,5,0,100.0%,10-2,83.3%,75-54,58.1%,4-1,80.0%,0,,,,,,,,,,,,W (Prostejov)
2003,5,5,0,100.0%,10-0,100.0%,61-33,64.9%,0-0,-,0,,,,,,,,,,,,W (Prostejov)
2002,3,2,1,66.7%,4-3,57.1%,35-30,53.8%,0-1,0.0%,0,,,,,,,,,,,,QF (Prostejov)
2001,8,3,5,37.5%,7-10,41.2%,79-88,47.3%,1-0,100.0%,0,,,,,,,,,,,,R16 (3x)
2000,26,12,14,46.2%,29-29,50.0%,268-272,49.6%,3-2,60.0%,0,,,,,,,,,,,,F (Seoul)
1998,33,19,14,57.6%,31-31,50.0%,269-278,49.2%,9-2,81.8%,0,,,,,,,,,,,,W (Segovia)
1997,3,1,2,33.3%,2-4,33.3%,25-27,48.1%,0-1,0.0%,0,,,,,,,,,,,,R16 (Prague)
1995,2,0,2,0.0%,0-4,0.0%,11-25,30.6%,0-0,-,0,,,,,,,,,,,,R32 (2x)
Career,135,82,53,60.7%,170-115,59.6%,1414-1249,53.1%,24-13,64.9%,46,80.8%,33.8%,5.2%,3.7%,61.8%,72.3%,52.6%,64.8%,43.5%,53.7%,1.24,
