Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,31,15,16,48.4%,38-39,49.4%,423-427,49.8%,16-13,55.2%,31,91.5%,7.1%,23.7%,5.2%,66.0%,81.2%,53.4%,71.7%,26.9%,49.7%,0.95
Clay,6,2,4,33.3%,5-10,33.3%,71-88,44.7%,1-4,20.0%,6,80.3%,11.5%,12.2%,5.4%,61.2%,71.4%,47.5%,62.1%,31.1%,46.8%,0.82
Grass,10,6,4,60.0%,14-11,56.0%,137-142,49.1%,9-2,81.8%,10,88.0%,8.1%,18.9%,4.0%,61.8%,78.5%,52.9%,68.7%,29.3%,49.4%,0.94
Grand Slams,7,3,4,42.9%,12-13,48.0%,125-136,47.9%,3-2,60.0%,7,85.0%,10.9%,18.6%,6.8%,62.3%,76.5%,51.4%,67.0%,29.8%,48.7%,0.90
Masters,19,10,9,52.6%,23-21,52.3%,252-252,50.0%,12-9,57.1%,19,91.7%,7.9%,20.6%,5.3%,62.8%,80.8%,53.2%,70.5%,28.1%,49.8%,0.95
Other Tours,21,10,11,47.6%,22-26,45.8%,254-269,48.6%,11-8,57.9%,21,89.4%,6.4%,22.9%,3.7%,67.2%,79.5%,52.1%,70.5%,26.9%,49.0%,0.91
Best of 5,7,3,4,42.9%,12-13,48.0%,125-136,47.9%,3-2,60.0%,7,85.0%,10.9%,18.6%,6.8%,62.3%,76.5%,51.4%,67.0%,29.8%,48.7%,0.90
Best of 3,40,20,20,50.0%,45-47,48.9%,506-521,49.3%,23-17,57.5%,40,90.5%,7.1%,21.8%,4.5%,65.0%,80.1%,52.7%,70.5%,27.5%,49.4%,0.93
Semi-finals,1,0,1,0.0%,0-2,0.0%,5-12,29.4%,0-0,-,1,62.5%,0.0%,5.8%,1.9%,65.4%,64.7%,33.3%,53.8%,23.4%,39.4%,0.51
Quarter-finals,2,1,1,50.0%,2-2,50.0%,24-25,49.0%,2-1,66.7%,2,95.7%,0.0%,28.6%,1.4%,74.3%,82.7%,50.0%,74.3%,22.2%,48.7%,0.86
vs Righties,41,22,19,53.7%,53-50,51.5%,560-571,49.5%,23-15,60.5%,41,89.6%,8.4%,21.4%,4.8%,64.1%,79.3%,52.8%,69.8%,28.4%,49.5%,0.94
vs Lefties,6,1,5,16.7%,4-10,28.6%,71-86,45.2%,3-4,42.9%,6,87.8%,3.9%,19.4%,5.8%,66.8%,80.0%,49.4%,69.8%,24.8%,47.7%,0.82
vs Top 10,4,1,3,25.0%,3-7,30.0%,49-60,45.0%,2-1,66.7%,4,88.5%,1.9%,17.7%,5.5%,63.4%,74.8%,54.0%,67.2%,21.2%,45.9%,0.65
