Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,8,Hard,24,16,8,66.7%,12,8,4,66.7%,1991,2003,SF,22,1.32,12.8%,3.4%,60.4%,80.8%,50.5%,68.8%,41.1%,58.1%,40.3%
Roland Garros,10,Clay,32,22,10,68.8%,15,10,5,66.7%,1991,2000,SF,31,1.16,10.5%,3.4%,60.1%,81.0%,45.0%,66.6%,38.8%,59.9%,42.6%
Wimbledon,11,Grass,39,29,10,74.4%,31,15,16,48.4%,1991,2002,W,39,1.38,16.0%,4.1%,63.6%,85.3%,51.8%,73.1%,37.0%,68.9%,37.9%
US Open,11,Hard,34,23,11,67.6%,28,11,17,39.3%,1991,2002,QF,31,1.30,15.1%,4.7%,57.7%,84.1%,50.3%,69.8%,39.3%,67.8%,36.9%
Davis Cup,7,,14,6,8,42.9%,6,4,2,66.7%,1992,2000,,0,,,,,,,,,,
Cincinnati Masters,10,Hard,19,9,10,47.4%,7,2,5,28.6%,1992,2002,QF,19,1.06,16.3%,5.3%,57.2%,79.6%,48.7%,66.4%,35.6%,66.7%,44.7%
Rome Masters,9,Clay,21,12,9,57.1%,6,2,4,33.3%,1991,2000,F,21,1.04,13.2%,4.2%,55.1%,77.9%,48.2%,64.6%,37.0%,64.5%,35.8%
Paris Masters,9,Carpet,15,6,9,40.0%,4,0,4,0.0%,1991,1999,QF,14,0.99,18.9%,4.3%,60.2%,78.3%,48.6%,66.5%,33.2%,72.7%,32.4%
Monte Carlo Masters,8,Clay,23,15,8,65.2%,5,3,2,60.0%,1992,2000,SF,23,1.12,11.0%,3.9%,52.8%,76.5%,47.8%,63.0%,41.4%,56.8%,50.6%
Miami Masters,8,Hard,23,16,7,69.6%,8,5,3,62.5%,1991,2003,W,23,1.23,15.5%,5.4%,54.1%,82.7%,52.2%,68.7%,38.4%,59.5%,38.6%
Rotterdam,8,Hard,22,16,6,72.7%,19,13,6,68.4%,1991,2003,W,22,1.20,23.4%,5.3%,58.1%,87.2%,51.8%,72.3%,33.2%,69.1%,37.4%
