Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2024 Braunschweig CH F,W vs Van De Zandschulp,85.1%,52.5%,4.3%,2/0,2.43,1.9%,78.6%,40.9%,3.6%,2.35,2.9%,100.0%,66.7%,5.6%,2.55,0.0%
2024 Roland Garros R64,L vs Djokovic,75.3%,41.8%,9.6%,4/3,2.14,1.6%,73.9%,38.2%,8.7%,2.17,2.6%,80.8%,47.6%,11.5%,2.09,0.0%
2024 Bordeaux CH R16,L vs Shang,83.1%,50.0%,1.3%,1/0,2.01,4.4%,86.0%,39.5%,2.0%,1.79,8.3%,84.0%,71.4%,0.0%,2.25,0.0%
2024 Barcelona R32,W vs Musetti,77.0%,46.3%,0.0%,0/0,2.44,8.3%,75.9%,45.5%,0.0%,2.54,11.1%,85.2%,47.8%,0.0%,2.17,0.0%
2024 Marrakech F,L vs Berrettini,63.6%,50.0%,0.0%,0/0,2.03,14.0%,55.3%,46.2%,0.0%,1.97,16.7%,88.9%,56.3%,0.0%,2.18,7.1%
2024 Indian Wells R64,L vs Medvedev,79.2%,31.6%,8.3%,4/0,-,5.3%,75.0%,23.8%,10.7%,-,7.1%,89.5%,41.2%,5.3%,-,0.0%
2024 Miami R64,L vs Alcaraz,72.9%,42.9%,2.1%,0/1,2.09,4.9%,70.6%,29.2%,0.0%,2.14,7.7%,84.6%,72.7%,7.7%,2.00,0.0%
2023 US Open R128,W vs Rune,84.3%,48.4%,2.8%,3/0,2.26,0.0%,83.3%,47.3%,1.5%,2.13,0.0%,94.7%,50.0%,5.3%,2.40,0.0%
2023 Rome R64,W vs Evans,70.4%,45.7%,2.6%,2/1,2.37,69.4%,67.6%,45.7%,2.9%,2.36,72.5%,85.4%,45.7%,2.4%,2.44,52.9%
2023 Marrakech F,W vs Muller,68.8%,46.8%,2.7%,0/3,2.11,0.0%,62.3%,31.6%,3.3%,2.07,0.0%,84.8%,61.5%,2.2%,2.23,0.0%
2023 Miami R64,L vs Medvedev,61.7%,34.5%,4.3%,2/0,2.26,4.8%,66.7%,33.3%,3.7%,2.17,10.0%,73.3%,36.4%,6.7%,2.36,0.0%
2023 Australian Open R128,L vs Djokovic,61.4%,32.6%,4.3%,3/0,2.11,7.0%,53.3%,25.0%,2.2%,2.11,17.4%,79.2%,42.1%,8.3%,2.12,0.0%
2022 Naples R32,W vs Jarry,73.9%,45.1%,1.4%,0/1,-,10.5%,68.9%,38.7%,0.0%,-,20.0%,90.9%,55.0%,4.5%,-,0.0%
2022 Florence R16,W vs Berrettini,73.5%,49.3%,1.0%,1/0,2.14,21.1%,66.2%,34.9%,0.0%,2.02,27.1%,88.9%,68.8%,2.8%,2.48,4.0%
2022 Umag QF,L vs Sinner,70.6%,35.4%,1.5%,0/1,2.33,0.0%,60.0%,28.6%,2.9%,2.35,0.0%,87.1%,40.7%,0.0%,2.29,0.0%
2022 Amersfoort CH F,L vs Griekspoor,66.7%,32.1%,7.1%,2/1,2.46,2.9%,60.9%,28.6%,8.7%,2.31,4.0%,77.8%,35.7%,5.6%,2.95,0.0%
2022 Buenos Aires R16,L vs Ruud,70.5%,39.5%,1.6%,0/1,2.09,3.1%,67.4%,34.5%,2.3%,2.00,4.2%,87.5%,50.0%,0.0%,2.35,0.0%
2021 Murcia CH F,L vs Griekspoor,75.5%,51.4%,6.1%,5/1,2.04,12.7%,70.3%,48.9%,3.1%,2.24,20.6%,93.5%,55.2%,12.9%,1.71,0.0%
2021 Australian Open R64,L vs Medvedev,64.5%,36.7%,3.9%,2/1,-,1.6%,59.2%,24.1%,2.0%,-,2.8%,83.3%,55.0%,8.3%,-,0.0%
2020 Campinas CH F,L vs Cerundolo,83.0%,42.5%,8.0%,5/2,2.09,2.9%,80.4%,41.5%,2.0%,2.10,4.8%,86.5%,43.8%,16.2%,2.08,0.0%
Career (30 matches),,74.3%,44.8%,3.4%,67.1%,2.24,10.4%,71.1%,39.6%,2.5%,2.21,14.9%,85.9%,52.2%,5.1%,2.29,2.1%
