Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2024 US Open R64,L vs Shang,0.95,0.62,29.3,2.0,5.0%,56.7%,0.0%,52.7%,36.2%,22.0%
2024 US Open R128,W vs Choinski,1.01,1.17,52.3,3.1,11.2%,69.7%,10.1%,63.3%,42.4%,35.0%
2024 Braunschweig CH F,W vs Van De Zandschulp,1.52,2.09,34.6,2.1,0.0%,68.8%,3.3%,63.3%,28.0%,68.2%
2024 Wimbledon R128,L vs Zverev,0.90,0.41,24.2,2.1,12.2%,57.1%,2.2%,52.2%,18.9%,21.9%
2024 Roland Garros R64,L vs Djokovic,0.97,0.58,27.0,2.4,5.0%,45.0%,0.0%,44.7%,33.3%,32.4%
2024 Bordeaux CH R16,L vs Shang,0.92,0.84,48.4,4.2,13.3%,57.8%,7.1%,45.2%,46.3%,41.7%
2024 Barcelona R32,W vs Musetti,1.15,1.35,61.1,2.8,4.9%,73.2%,0.0%,61.5%,40.0%,35.7%
2024 Marrakech F,L vs Berrettini,0.81,0.64,43.2,3.0,0.0%,56.3%,0.0%,58.6%,45.5%,21.2%
2024 Miami R64,L vs Alcaraz,0.74,0.47,29.7,2.0,0.0%,39.3%,0.0%,56.0%,32.0%,34.8%
2024 Indian Wells R64,L vs Medvedev,0.98,0.55,44.6,2.2,0.0%,75.0%,0.0%,27.3%,26.9%,27.3%
2023 US Open R64,L vs Karatsev,0.94,0.83,47.9,2.2,1.6%,64.5%,0.0%,59.6%,32.4%,34.9%
2023 US Open R128,W vs Rune,0.95,1.43,36.9,2.1,7.7%,69.2%,6.1%,71.4%,46.4%,42.3%
2023 Wimbledon R64,L vs Rune,0.85,0.74,38.8,2.8,0.0%,60.0%,4.3%,55.3%,26.3%,48.1%
2023 Wimbledon R128,W vs Arnaldi,1.16,1.30,38.0,4.6,1.5%,67.2%,1.6%,68.9%,33.3%,38.2%
2023 Rome R64,W vs Evans,1.11,1.14,72.8,3.6,0.0%,60.9%,0.0%,66.2%,44.3%,29.6%
2023 Marrakech F,W vs Muller,1.09,1.24,58.8,6.3,4.0%,66.0%,0.0%,69.6%,29.8%,43.6%
2023 Australian Open R128,L vs Djokovic,1.03,0.45,28.1,2.4,4.9%,56.1%,5.4%,45.9%,16.2%,27.3%
2022 Naples R32,W vs Jarry,1.36,1.74,36.9,2.1,3.1%,75.0%,3.6%,67.9%,33.3%,39.4%
2022 Florence R16,W vs Berrettini,1.23,1.15,69.1,48.9,4.6%,61.5%,1.7%,58.3%,37.7%,36.7%
2022 US Open R64,L vs Shapovalov,0.93,0.75,40.2,2.7,1.8%,62.5%,0.0%,63.5%,37.3%,21.2%
2024 (10 matches),,0.99,0.82,40.9,2.5,6.6%,60.7%,3.2%,54.1%,36.5%,33.2%
2023 (7 matches),,1.02,1.00,47.2,3.0,2.6%,63.7%,2.2%,63.3%,33.6%,38.3%
2022 (8 matches),,1.07,0.91,43.8,2.6,3.0%,60.1%,2.0%,59.0%,32.8%,36.4%
2021 (7 matches),,0.96,0.87,42.1,3.0,5.6%,58.7%,4.5%,57.1%,37.0%,38.9%
2020 (7 matches),,1.00,0.95,46.7,3.1,3.1%,57.0%,1.9%,63.2%,39.3%,36.5%
Career (213 matches),,1.00,0.98,52.7,2.9,3.8%,60.9%,2.5%,59.4%,38.5%,39.4%
