Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,28,8,20,28.6%,23-58,28.4%,319-439,42.1%,5-3,62.5%,26,68.1%,15.9%,5.6%,4.1%,58.8%,66.0%,47.9%,58.5%,34.6%,46.7%,0.83
Clay,62,22,40,35.5%,60-92,39.5%,672-763,46.8%,11-8,57.9%,55,70.4%,20.3%,3.5%,4.0%,61.8%,66.3%,48.8%,59.6%,36.8%,48.2%,0.91
Grass,5,0,5,0.0%,4-13,23.5%,73-97,42.9%,1-2,33.3%,5,75.6%,9.4%,4.2%,3.1%,62.9%,69.4%,52.3%,63.1%,30.9%,46.9%,0.84
Grand Slams,20,5,15,25.0%,19-54,26.0%,291-400,42.1%,4-5,44.4%,20,68.5%,15.6%,4.5%,3.6%,60.1%,65.8%,48.4%,58.8%,34.6%,46.6%,0.84
Masters,3,0,3,0.0%,1-6,14.3%,30-42,41.7%,0-2,0.0%,3,77.1%,8.6%,3.6%,8.4%,56.2%,72.3%,46.4%,61.0%,27.9%,45.7%,0.71
Other Tours,61,19,42,31.1%,51-88,36.7%,597-719,45.4%,12-5,70.6%,61,70.6%,20.1%,4.1%,3.9%,61.4%,66.6%,49.1%,59.8%,36.6%,48.3%,0.91
Best of 5,28,10,18,35.7%,31-65,32.3%,396-501,44.1%,4-6,40.0%,22,68.3%,16.0%,4.6%,3.6%,60.5%,65.7%,48.3%,58.8%,34.9%,46.7%,0.85
Best of 3,67,20,47,29.9%,56-98,36.4%,668-798,45.6%,13-7,65.0%,64,71.0%,19.0%,4.1%,4.2%,61.1%,66.9%,48.9%,59.9%,36.0%,48.0%,0.90
Quarter-finals,4,0,4,0.0%,3-8,27.3%,46-62,42.6%,2-0,100.0%,4,60.4%,22.6%,2.9%,5.0%,60.9%,64.1%,45.5%,56.9%,38.6%,48.0%,0.89
vs Righties,78,30,48,38.5%,79-128,38.2%,899-1053,46.1%,15-9,62.5%,69,71.1%,18.5%,4.3%,3.8%,61.4%,66.7%,49.3%,60.0%,35.9%,47.9%,0.90
vs Lefties,17,0,17,0.0%,8-35,18.6%,165-246,40.1%,2-4,33.3%,17,65.5%,15.6%,4.3%,4.8%,58.9%,65.5%,46.4%,57.7%,34.3%,46.3%,0.81
vs Top 10,6,0,6,0.0%,1-14,6.7%,36-89,28.8%,0-0,-,6,51.6%,7.4%,2.1%,6.6%,57.2%,59.0%,41.5%,51.5%,26.8%,40.2%,0.55
