Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2022 US Open R128,L vs Ivashka,1.05,0.82,51.9,5.6,13.3%,52.0%,12.9%,65.7%,33.3%,30.6%
2022 Newport R32,L vs Murray,0.92,0.42,36.3,2.6,0.0%,28.6%,11.8%,35.3%,27.3%,36.8%
2022 Wimbledon R128,L vs Berankis,0.86,0.53,31.9,2.1,17.4%,67.4%,29.3%,61.0%,31.8%,11.9%
2022 Queen's Club R32,W vs Schwartzman,1.45,2.33,32.7,2.0,19.2%,76.9%,20.0%,68.0%,52.2%,35.0%
2022 Indian Wells R64,L vs Isner,0.83,0.70,57.3,3.6,25.0%,80.0%,14.7%,64.7%,32.4%,12.1%
2021 US Open R128,L vs Zverev,0.90,0.41,28.1,2.2,22.0%,66.0%,13.0%,50.0%,20.0%,17.6%
2021 Wimbledon R64,L vs Duckworth,1.08,0.74,39.4,2.2,16.9%,61.5%,10.7%,67.9%,27.4%,21.1%
2021 Wimbledon R128,W vs Carreno Busta,1.18,1.52,34.8,3.0,25.5%,72.7%,18.6%,76.7%,37.0%,28.3%
2021 Mallorca F,L vs Medvedev,0.72,0.36,34.3,2.2,13.3%,63.3%,22.2%,55.6%,25.0%,14.3%
2021 Roland Garros R128,L vs Isner,0.82,0.57,27.7,2.3,8.7%,69.6%,12.8%,64.1%,25.0%,20.9%
2021 Australian Open R128,L vs Sonego,0.85,0.67,34.4,2.4,11.8%,70.6%,8.7%,56.5%,25.0%,32.7%
2020 Roland Garros R128,L vs Rublev,0.97,0.79,42.5,61.7,18.0%,61.8%,15.1%,65.1%,27.7%,32.0%
2020 US Open R128,L vs Kuznetsov,0.83,0.65,40.2,2.3,13.0%,71.7%,13.2%,68.4%,20.0%,27.3%
2020 Australian Open R32,L vs Sandgren,0.88,0.69,35.7,2.1,17.4%,58.7%,15.9%,54.5%,30.2%,38.8%
2020 Australian Open R64,W vs Berankis,0.99,1.36,46.1,2.5,27.1%,76.3%,18.9%,69.8%,43.1%,29.7%
2020 Australian Open R128,W vs Coric,1.23,1.92,28.3,2.1,27.5%,67.5%,19.4%,86.1%,40.9%,32.5%
2019 Beijing QF,L vs Zverev,0.75,0.53,44.9,2.5,28.1%,71.9%,22.2%,63.0%,18.2%,28.6%
2019 US Open R128,L vs Londero,1.00,0.75,38.4,3.2,19.0%,65.1%,21.1%,57.9%,25.0%,33.3%
2019 Cincinnati R32,L vs Djokovic,1.12,0.79,51.1,3.0,-,62.5%,-,43.8%,31.4%,35.7%
2019 Wimbledon QF,L vs Nadal,0.99,0.65,33.6,2.1,26.5%,57.1%,20.9%,53.5%,22.9%,36.4%
2022 (5 matches),,1.00,0.77,44.4,2.8,15.9%,61.5%,17.6%,62.0%,34.4%,23.9%
2021 (6 matches),,0.95,0.69,33.5,2.4,16.8%,67.3%,13.6%,62.3%,27.1%,23.6%
2020 (5 matches),,0.97,0.96,39.7,2.8,20.4%,66.8%,16.3%,67.7%,32.5%,32.0%
2019 (28 matches),,1.04,1.10,46.8,2.5,18.5%,70.5%,16.5%,66.3%,31.3%,35.7%
2018 (45 matches),,1.00,1.11,55.3,2.8,17.3%,68.6%,14.5%,69.2%,34.6%,33.9%
Career (373 matches),,1.01,1.06,51.4,2.7,14.1%,68.4%,12.0%,67.1%,33.2%,34.5%
