Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2026 Indian Wells R32,L vs Medvedev,9.7%,16.1%,44.6%,14.8%,12.5%,20.8%,47.6%,19.2%,50.0%,17.9%,0.0%,0.0%,0.0%,35.7%,-118
2026 Auckland F,L vs Mensik,16.9%,24.6%,58.8%,25.4%,17.3%,26.9%,60.5%,27.9%,40.9%,6.7%,0.0%,20.0%,20.0%,50.0%,51
2026 United Cup RR,W vs Munar,8.5%,22.5%,57.1%,18.9%,8.7%,30.4%,54.8%,24.8%,40.0%,50.0%,50.0%,8.7%,8.7%,61.9%,-30
2025 Tokyo R32,L vs Alcaraz,22.2%,31.5%,45.0%,27.0%,27.5%,37.5%,48.3%,34.0%,40.0%,40.0%,0.0%,8.3%,16.7%,36.4%,-39
2025 Bucharest F,L vs Cobolli,13.5%,14.9%,50.0%,18.2%,12.9%,14.5%,46.3%,18.5%,25.0%,61.8%,66.7%,16.7%,16.7%,70.0%,-79
2025 Miami R128,L vs Bublik,21.6%,35.3%,51.3%,26.5%,17.5%,30.0%,54.5%,23.8%,31.6%,9.5%,0.0%,40.0%,60.0%,33.3%,59
2025 Santiago F,L vs Djere,19.8%,25.0%,52.7%,21.4%,19.7%,24.2%,54.7%,22.0%,23.3%,50.0%,80.0%,22.2%,29.6%,47.6%,72
2025 Rio de Janeiro F,W vs Muller,14.9%,23.4%,60.0%,21.7%,21.2%,33.3%,65.4%,30.9%,58.8%,25.0%,0.0%,0.0%,0.0%,50.0%,-118
2024 Davis Cup Finals QF,L vs Sinner,18.4%,24.5%,30.0%,21.4%,22.9%,31.4%,29.6%,27.1%,47.1%,11.1%,0.0%,7.1%,7.1%,30.8%,-79
2024 Cincinnati R32,L vs Thompson,15.1%,17.0%,30.0%,17.2%,18.4%,21.1%,38.7%,21.3%,37.5%,31.8%,25.0%,10.0%,10.0%,0.0%,-45
2024 Paris Olympics R16,L vs Tsitsipas,17.9%,25.0%,37.0%,23.6%,17.8%,26.7%,40.5%,24.9%,40.0%,65.0%,50.0%,18.2%,18.2%,22.2%,-79
2024 Hamburg SF,L vs Fils,25.0%,37.5%,36.1%,30.2%,32.4%,47.1%,39.1%,39.7%,50.0%,50.0%,40.0%,7.1%,14.3%,30.8%,-79
2024 Eastbourne R16,L vs Kecmanovic,14.6%,18.8%,48.7%,19.4%,14.7%,17.6%,48.3%,21.5%,46.7%,31.6%,25.0%,16.7%,25.0%,50.0%,39
2024 Rome R16,L vs Hurkacz,9.2%,16.5%,60.4%,17.2%,7.7%,17.9%,59.7%,19.0%,63.3%,29.2%,0.0%,14.3%,14.3%,62.5%,24
2024 Madrid R32,L vs Fritz,20.8%,30.2%,46.3%,26.8%,21.4%,31.0%,42.4%,29.0%,61.9%,47.6%,100.0%,20.0%,30.0%,62.5%,59
2024 Monte Carlo R64,L vs Struff,16.2%,24.8%,48.4%,22.2%,18.3%,29.6%,53.4%,28.2%,30.3%,34.2%,26.7%,14.6%,19.5%,40.0%,25
2024 Indian Wells R32,L vs Fritz,12.5%,23.2%,45.8%,17.1%,10.5%,21.1%,41.2%,17.4%,45.0%,27.8%,0.0%,17.6%,29.4%,57.1%,5
2024 Santiago F,W vs Tabilo,20.5%,32.5%,57.8%,24.7%,27.8%,40.7%,59.0%,34.3%,51.9%,11.1%,0.0%,7.4%,18.5%,56.0%,-42
2024 Rio de Janeiro F,W vs Navone,20.9%,30.2%,58.8%,28.6%,26.5%,35.3%,56.0%,36.2%,50.0%,30.0%,50.0%,0.0%,11.1%,66.7%,-118
2024 Rio de Janeiro SF,W vs Cerundolo,16.7%,25.9%,62.2%,23.5%,19.0%,31.0%,61.8%,27.9%,47.4%,39.1%,25.0%,8.3%,8.3%,63.6%,-79
Career (64 matches),,17.7%,26.4%,51.3%,24.4%,19.3%,29.9%,53.7%,28.6%,46.7%,32.5%,26.6%,15.0%,19.3%,44.6%,33
