Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2025 Geneva SF,L vs Hurkacz,54% (7/13),0% (0/2),0/0,0/0,60% (3/5),2/4,2/3,- (0/0),- (0/0)
2024 US Open R128,L vs Cerundolo,64% (14/22),50% (3/6),1/1,0/0,45% (5/11),1/4,0/1,- (0/0),- (0/0)
2024 Paris Olympics R32,L vs Medvedev,44% (4/9),0% (0/2),0/0,0/0,43% (3/7),1/3,0/1,- (0/0),- (0/0)
2024 Paris Olympics R64,W vs Haase,82% (9/11),40% (4/10),2/2,1/1,86% (6/7),0/0,0/0,- (0/0),- (0/0)
2024 Mallorca F,L vs Tabilo,78% (7/9),0% (0/3),0/0,0/0,60% (3/5),2/4,2/3,- (0/0),- (0/0)
2024 Barcelona R32,L vs Tsitsipas,75% (6/8),38% (3/8),0/0,0/0,38% (3/8),2/4,2/3,- (0/0),- (0/0)
2023 Sofia QF,L vs Mannarino,67% (10/15),43% (3/7),1/5,0/0,69% (11/16),0/2,0/1,75% (6/8),38% (3/8)
2023 Shanghai R64,L vs Paul,30% (3/10),- (0/0),0/0,0/0,17% (1/6),1/3,1/2,- (0/0),- (0/0)
2023 Astana QF,W vs Thiem,70% (14/20),20% (3/15),2/5,1/1,67% (2/3),0/1,0/0,- (0/0),- (0/0)
2023 US Open R64,L vs Tiafoe,57% (8/14),0% (0/1),0/0,0/0,17% (1/6),2/5,0/1,- (0/0),- (0/0)
2023 US Open R128,W vs Borges,53% (16/30),56% (5/9),3/5,1/2,50% (5/10),3/4,0/0,71% (10/14),43% (6/14)
2023 Bastad QF,L vs Ruud,54% (7/13),0% (0/4),0/0,0/0,75% (6/8),0/2,0/1,- (0/0),- (0/0)
2023 Salzburg CH F,W vs Neumayer,64% (9/14),43% (3/7),2/6,1/3,100% (1/1),0/0,0/0,- (0/0),- (0/0)
2023 Wimbledon R128,L vs Lehecka,60% (12/20),0% (0/2),0/0,0/0,70% (7/10),0/3,0/1,- (0/0),- (0/0)
2023 Roland Garros Q2,W vs Choinski,71% (10/14),63% (5/8),2/5,1/3,33% (1/3),0/1,0/0,- (0/0),- (0/0)
2023 Estoril R32,L vs Thiem,90% (9/10),50% (4/8),1/1,0/0,69% (11/16),2/4,0/1,- (0/0),- (0/0)
2022 Kitzbuhel R16,L vs Thiem,67% (8/12),38% (3/8),1/1,0/0,44% (4/9),2/4,1/2,- (0/0),- (0/0)
2019 Ortisei CH F,L vs Sinner,42% (5/12),50% (1/2),0/0,0/0,67% (8/12),0/2,0/1,- (0/0),- (0/0)
2019 Augsburg CH R32,W vs Zopp,64% (9/14),75% (3/4),2/3,1/2,100% (1/1),0/0,0/0,- (0/0),- (0/0)
2019 Kitzbuhel R32,W vs Miedler,73% (11/15),20% (1/5),2/2,1/1,67% (2/3),0/0,0/0,80% (8/10),60% (6/10)
2025 (1 matches),,53.8%,0.0%,-,-,60.0%,50.0%,66.7%,-,-
2024 (5 matches),,67.8%,34.5%,100.0%,100.0%,52.6%,40.0%,50.0%,-,-
2023 (10 matches),,61.3%,37.7%,40.7%,44.4%,58.2%,32.0%,14.3%,72.7%,40.9%
2022 (1 matches),,66.7%,37.5%,100.0%,-,44.4%,50.0%,50.0%,-,-
2019 (28 matches),,68.5%,36.1%,55.4%,45.9%,58.8%,40.8%,35.3%,60.4%,41.4%
Career (89 matches),,64.2%,35.4%,54.0%,46.4%,58.2%,44.8%,40.5%,56.7%,44.5%
