Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2006,678,27,,,,,,,,,,,,
2005,230,157,64,1769,55,1721,58,1725,17,1763,,,,
2004,57,705,50,1813,42,1763,51,1750,9,1803,1441,5,,
2003,18,1445,22,1891,25,1834,32,1812,6,1863,122,440,87,1543
2002,20,1525,27,1894,38,1799,38,1796,7,1845,44,1200,65,1597
2001,26,1140,23,1914,22,1856,36,1826,24,1756,27,2040,,
2000,22,1163,27,1894,21,1856,50,1774,35,1727,186,290,,
1999,44,950,47,1831,48,1767,67,1746,40,1696,143,463,,
1998,66,712,100,1718,89,1671,106,1669,79,1604,181,359,,
1997,59,725,89,1751,67,1738,83,1716,69,1623,190,334,,
1996,65,718,76,1801,76,1722,58,1783,85,1615,57,1054,,
1995,69,,73,1796,129,1633,45,1809,87,1606,172,344,,
1994,148,,113,1727,154,1599,75,1738,82,1626,284,171,,
1993,442,,,,,,,,,,484,63,,
1992,947,,,,,,,,,,,,,
