Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2026 Dubai R16,L vs Medvedev,55.8%,62.5%,4.7%,2/0,2.41,8.0%,46.9%,53.3%,6.3%,2.30,18.2%,90.0%,77.8%,0.0%,2.50,0.0%
2026 Rotterdam R32,W vs Boogaard,62.5%,48.6%,0.0%,0/0,2.21,0.0%,57.1%,50.0%,0.0%,1.89,0.0%,83.3%,46.7%,0.0%,2.37,0.0%
2026 Australian Open R128,W vs Djere,70.7%,48.1%,2.0%,1/2,2.09,21.7%,64.1%,42.4%,1.1%,1.94,53.8%,88.7%,55.3%,3.8%,2.17,2.3%
2026 United Cup F,L vs Hurkacz,61.1%,52.7%,4.4%,1/3,2.24,19.2%,46.0%,37.9%,3.2%,2.10,37.0%,96.3%,69.2%,7.4%,2.38,0.0%
2025 Aix En Provence CH F,L vs Coric,74.3%,41.0%,2.9%,2/1,2.30,8.1%,64.3%,37.8%,2.9%,2.44,13.3%,94.3%,45.5%,2.9%,2.18,3.1%
2025 Monte Carlo R64,L vs Tabilo,76.2%,50.6%,2.0%,1/1,2.60,12.4%,74.1%,46.5%,0.0%,2.68,19.2%,89.5%,55.9%,5.3%,2.50,2.7%
2025 Rotterdam R32,L vs Medvedev,62.5%,45.5%,1.1%,0/1,2.39,19.0%,59.6%,44.1%,1.8%,2.25,40.5%,84.0%,47.6%,0.0%,2.48,0.0%
2025 Australian Open R128,L vs Sonego,58.3%,39.0%,2.3%,2/1,2.27,0.0%,51.2%,31.0%,2.4%,2.18,0.0%,79.5%,48.6%,2.3%,2.35,0.0%
2024 Stockholm SF,L vs Paul,85.0%,35.3%,8.3%,2/3,2.32,11.6%,82.5%,30.3%,7.5%,2.18,21.7%,90.0%,44.4%,10.0%,2.48,0.0%
2024 Stockholm QF,W vs Rublev,60.3%,51.1%,7.7%,2/4,2.27,12.1%,48.9%,54.5%,4.4%,2.15,24.0%,80.6%,48.0%,12.9%,2.35,3.0%
2024 Shanghai R128,W vs Mpetshi Perricard,48.8%,47.6%,3.5%,0/3,2.34,33.3%,42.3%,31.8%,0.0%,1.94,70.6%,66.7%,65.0%,10.0%,2.60,8.0%
2024 US Open R128,L vs Bellucci,46.7%,42.9%,1.1%,1/0,2.37,12.9%,33.9%,35.0%,1.7%,2.81,26.3%,73.3%,50.0%,0.0%,2.20,7.0%
2024 Wimbledon R128,W vs Broom,66.7%,56.5%,5.4%,2/3,2.33,21.2%,66.1%,56.1%,4.8%,1.98,42.9%,72.4%,57.1%,6.9%,2.54,5.3%
2024 Roland Garros R128,W vs Murray,79.0%,46.9%,3.7%,1/2,2.22,15.7%,73.3%,39.4%,0.0%,2.15,30.6%,88.6%,54.8%,8.6%,2.29,0.0%
2024 Monte Carlo R64,L vs De Minaur,79.5%,37.1%,2.3%,1/0,-,9.1%,78.9%,46.7%,5.3%,-,13.8%,90.9%,30.0%,0.0%,-,0.0%
2024 Australian Open R128,L vs Mannarino,60.3%,45.6%,4.6%,5/1,2.59,0.0%,58.7%,31.8%,2.7%,2.50,0.0%,70.0%,62.9%,8.0%,2.65,0.0%
2023 Paris R64,L vs Thiem,73.0%,47.9%,3.0%,1/2,2.58,5.9%,63.8%,45.9%,1.7%,2.09,8.3%,90.0%,50.0%,5.0%,2.89,3.7%
2023 US Open R32,L vs Sinner,77.4%,44.8%,1.6%,0/2,2.26,1.3%,71.6%,39.6%,1.4%,2.17,3.0%,95.6%,51.2%,2.2%,2.33,0.0%
2023 Umag F,L vs Popyrin,76.8%,35.5%,7.1%,4/3,2.11,14.5%,71.7%,32.6%,5.0%,2.03,21.1%,91.7%,39.4%,11.1%,2.24,4.2%
2023 Wimbledon R128,W vs Ruusuvuori,67.9%,52.8%,3.8%,0/4,2.19,1.6%,59.0%,50.0%,3.3%,1.97,3.2%,87.8%,55.6%,4.9%,2.42,0.0%
Career (181 matches),,68.9%,46.4%,3.2%,48.7%,2.26,19.2%,65.3%,42.3%,2.5%,2.19,28.0%,82.2%,52.1%,4.8%,2.32,9.6%
