Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2026 Dubai R16,L vs Medvedev,22.4%,26.9%,30.0%,26.6%,35.3%,41.2%,36.4%,43.5%,66.7%,37.5%,16.7%,9.7%,12.9%,25.0%,-18
2026 Rotterdam R32,W vs Boogaard,33.8%,47.7%,61.0%,41.2%,54.8%,74.2%,78.6%,70.3%,50.0%,23.5%,0.0%,15.6%,25.0%,51.9%,10
2026 Australian Open R128,W vs Djere,38.8%,46.6%,60.9%,44.0%,54.4%,64.9%,69.2%,64.9%,45.2%,38.5%,0.0%,24.6%,29.8%,55.8%,-28
2026 United Cup F,L vs Hurkacz,32.1%,39.7%,53.8%,38.5%,44.9%,53.1%,59.3%,55.1%,37.5%,64.0%,66.7%,10.7%,17.9%,48.0%,-27
2025 Aix En Provence CH F,L vs Coric,28.2%,38.2%,51.3%,35.5%,39.1%,53.1%,56.4%,51.7%,67.6%,60.0%,-,13.3%,17.8%,46.2%,-46
2025 Monte Carlo R64,L vs Tabilo,19.1%,34.8%,49.4%,25.3%,23.5%,42.6%,50.0%,34.0%,46.7%,52.6%,62.5%,14.0%,25.6%,48.6%,22
2025 Rotterdam R32,L vs Medvedev,21.7%,31.1%,41.8%,26.6%,33.9%,48.2%,54.1%,43.2%,55.6%,41.4%,100.0%,8.7%,13.0%,31.0%,-30
2025 Australian Open R128,L vs Sonego,36.6%,50.0%,58.8%,43.1%,38.6%,57.9%,57.1%,51.4%,32.0%,62.5%,66.7%,36.5%,44.2%,60.6%,3
2024 Stockholm SF,L vs Paul,23.7%,27.1%,39.5%,27.6%,36.1%,38.9%,47.8%,42.5%,44.4%,27.8%,0.0%,4.8%,9.5%,30.0%,-70
2024 Stockholm QF,W vs Rublev,34.1%,45.1%,50.0%,38.1%,52.8%,62.3%,52.0%,59.8%,47.6%,56.3%,50.0%,8.3%,22.2%,48.5%,-31
2024 Shanghai R128,W vs Mpetshi Perricard,43.2%,55.6%,64.3%,47.5%,58.5%,75.6%,76.5%,67.1%,52.6%,50.0%,0.0%,30.6%,38.9%,56.0%,72
2024 US Open R128,L vs Bellucci,31.7%,40.6%,54.8%,33.8%,58.7%,65.2%,57.9%,63.3%,56.5%,34.8%,50.0%,10.4%,22.9%,53.5%,-18
2024 Wimbledon R128,W vs Broom,31.6%,49.0%,51.5%,38.0%,50.0%,67.9%,53.6%,61.1%,51.7%,51.9%,100.0%,7.3%,24.4%,50.0%,-43
2024 Roland Garros R128,W vs Murray,18.0%,36.0%,63.4%,31.0%,22.9%,56.3%,73.0%,47.1%,61.9%,66.7%,-,12.8%,12.8%,52.9%,-5
2024 Monte Carlo R64,L vs De Minaur,13.0%,18.5%,36.4%,16.9%,14.7%,23.5%,37.9%,20.9%,66.7%,68.4%,100.0%,11.8%,11.8%,33.3%,-8
2024 Australian Open R128,L vs Mannarino,34.1%,40.6%,38.5%,36.7%,51.4%,58.6%,47.1%,56.7%,43.8%,52.6%,66.7%,16.2%,22.1%,33.3%,-79
2023 Paris R64,L vs Thiem,32.1%,47.6%,51.0%,39.6%,47.8%,67.4%,58.3%,61.5%,63.2%,77.8%,0.0%,15.6%,28.1%,44.4%,27
2023 US Open R32,L vs Sinner,25.2%,34.6%,44.7%,27.7%,36.5%,44.2%,36.4%,41.5%,53.6%,45.8%,40.0%,15.7%,27.5%,51.2%,31
2023 Umag F,L vs Popyrin,25.6%,38.9%,53.8%,35.7%,25.9%,46.3%,62.5%,42.8%,33.3%,56.7%,100.0%,26.5%,29.4%,40.0%,5
2023 Wimbledon R128,W vs Ruusuvuori,41.3%,50.5%,44.3%,45.1%,56.3%,64.8%,41.9%,62.3%,42.9%,47.2%,28.6%,14.3%,25.7%,46.7%,27
Career (181 matches),,29.6%,41.1%,51.4%,35.8%,39.0%,53.0%,55.5%,49.7%,47.9%,49.9%,47.5%,18.1%,27.0%,47.0%,19
