Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,9,Hard,19,10,9,52.6%,13,5,8,38.5%,2013,2021,QF,16,1.04,12.3%,2.7%,65.1%,75.0%,51.2%,66.7%,34.8%,68.5%,38.0%
Roland Garros,7,Clay,12,5,7,41.7%,7,4,3,57.1%,2013,2022,R64,12,0.85,7.3%,3.2%,61.6%,69.4%,45.4%,60.2%,34.0%,53.1%,31.9%
Wimbledon,4,Grass,9,5,4,55.6%,6,2,4,33.3%,2017,2021,R16,7,0.96,9.5%,2.9%,61.7%,72.9%,52.1%,64.9%,33.6%,57.6%,46.3%
US Open,12,Hard,17,5,12,29.4%,9,4,5,44.4%,2009,2023,R32,15,0.88,7.3%,3.3%,59.3%,69.9%,48.4%,61.1%,34.1%,62.1%,27.7%
Olympics,1,,1,0,1,0.0%,0,0,0,-,2021,2021,R64,0,,,,,,,,,,
Indian Wells Masters,5,Hard,10,5,5,50.0%,5,3,2,60.0%,2018,2023,R64,10,0.90,6.8%,3.4%,59.1%,66.2%,51.1%,60.1%,36.1%,62.3%,34.8%
Houston,4,Clay,10,6,4,60.0%,5,3,2,60.0%,2015,2019,F,10,1.01,7.6%,3.5%,56.2%,71.6%,51.1%,62.7%,37.7%,68.5%,52.7%
Cincinnati Masters,4,Hard,7,3,4,42.9%,8,4,4,50.0%,2018,2021,R16,7,0.93,7.3%,4.5%,60.9%,73.2%,50.6%,64.4%,33.3%,59.5%,31.8%
Miami Masters,4,Hard,5,1,4,20.0%,4,1,3,25.0%,2018,2022,R64,5,0.89,10.0%,1.8%,64.9%,71.1%,43.6%,61.5%,34.5%,57.6%,40.0%
Auckland,3,Hard,10,7,3,70.0%,7,5,2,71.4%,2018,2020,W,10,1.15,13.6%,1.8%,64.4%,79.2%,55.9%,70.9%,33.6%,68.4%,33.3%
Newport,3,Grass,6,3,3,50.0%,2,2,0,100.0%,2017,2021,QF,6,0.94,9.0%,5.6%,57.2%,74.5%,43.2%,61.1%,36.6%,53.8%,36.8%
