Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,9,Hard,18,9,9,50.0%,11,3,8,27.3%,2013,2022,R32,13,0.98,3.1%,2.5%,65.2%,68.0%,55.7%,63.7%,35.4%,55.4%,33.6%
Roland Garros,8,Clay,14,5,9,35.7%,1,0,1,0.0%,2014,2022,R64,10,0.84,1.8%,3.2%,64.5%,57.1%,51.7%,55.2%,37.7%,54.9%,40.0%
Wimbledon,9,Grass,19,10,9,52.6%,11,4,7,36.4%,2012,2022,R32,9,0.95,2.8%,3.5%,64.4%,69.2%,52.8%,63.4%,35.0%,59.0%,35.7%
US Open,9,Hard,21,12,9,57.1%,7,3,4,42.9%,2011,2021,R32,15,0.93,2.4%,5.8%,65.3%,64.4%,50.3%,59.5%,37.5%,61.1%,47.1%
Olympics,1,,1,0,1,0.0%,1,0,1,0.0%,2016,2016,R64,1,0.64,3.3%,5.0%,66.7%,65.0%,40.0%,56.7%,27.6%,57.1%,50.0%
Queen's Club,2,Grass,4,2,2,50.0%,4,3,1,75.0%,2012,2022,Q2,4,0.92,1.9%,5.0%,63.2%,64.0%,52.5%,59.8%,36.9%,59.4%,32.0%
Miami Masters,4,Hard,6,2,4,33.3%,2,1,1,50.0%,2018,2022,R128,6,0.98,1.0%,2.2%,69.4%,64.3%,47.4%,59.1%,39.9%,58.5%,51.2%
Indian Wells Masters,4,Hard,5,1,4,20.0%,0,0,0,-,2018,2022,R64,5,0.85,1.9%,4.9%,60.2%,67.7%,51.2%,61.1%,32.9%,41.7%,44.4%
Doha,5,Hard,7,2,5,28.6%,5,2,3,40.0%,2013,2022,R32,7,0.92,1.3%,2.6%,72.7%,61.9%,53.5%,59.7%,37.0%,46.3%,52.9%
Metz,3,Hard,7,4,3,57.1%,0,0,0,-,2010,2021,R32,7,1.01,3.9%,3.9%,59.9%,70.3%,54.1%,63.8%,36.6%,64.1%,51.5%
Umag,4,Clay,8,4,4,50.0%,0,0,0,-,2015,2021,R16,5,0.87,1.8%,2.2%,69.3%,60.0%,44.0%,55.1%,39.0%,43.8%,30.6%
