Date,Tournament,Surface,Rd,Rk,vRk,,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
25-Jul-2022,Zug CH,Clay,R32,237,349,(Q) Ugo Blanchet [FRA] d. Fabbiano,4-6 6-3 6-2,0.89,3.8%,7.7%,65.4%,70.6%,48.1%,3/6,1:55
11-Jul-2022,M25+H Kassel,Clay,R16,231,483,Rudolf Molleker [GER] d. (1) Fabbiano,6-4 6-3,,,,,,,,
11-Jul-2022,M25+H Kassel,Clay,R32,231,1470,(1) Fabbiano d. (Q) Michael Agwi [IRL],6-3 6-3,,,,,,,,
27-Jun-2022,Wimbledon,Grass,Q1,205,691,Arthur Fery [GBR] d. Fabbiano,6-4 6-2,0.71,2.2%,6.7%,62.2%,53.6%,47.1%,0/5,1:04
13-Jun-2022,Queen's Club,Grass,Q2,177,121,Sam Querrey [USA] d. (Alt) Fabbiano,6-2 6-2,0.52,6.5%,6.5%,65.2%,60.0%,43.8%,2/6,0:46
13-Jun-2022,Queen's Club,Grass,Q1,177,284,(Alt) Fabbiano d. (WC) Alastair Gray [GBR],7-6(1) 2-6 7-6(5),0.85,1.6%,4.1%,56.9%,68.6%,52.8%,9/12,2:47
06-Jun-2022,Nottingham CH,Grass,R16,191,35,(1) Daniel Evans [GBR] d. Fabbiano,7-5 6-0,0.71,1.9%,1.9%,57.4%,67.7%,34.8%,6/10,1:25
06-Jun-2022,Nottingham CH,Grass,R32,191,234,Fabbiano d. (Alt) Duje Ajdukovic [CRO],4-6 7-6(3) 6-4,1.12,7.9%,5.0%,70.3%,78.9%,53.3%,3/4,1:58
30-May-2022,Forli 6 CH,Clay,R16,182,504,Matteo Gigante [ITA] d. Fabbiano,7-6(3) 6-4,1.03,0.0%,0.0%,63.9%,56.4%,68.2%,3/7,1:44
30-May-2022,Forli 6 CH,Clay,R32,182,282,Fabbiano d. (Q) Kimmer Coppejans [BEL],4-6 6-2 6-2,1.23,1.2%,3.5%,75.6%,66.2%,52.4%,5/7,2:10
23-May-2022,Troisdorf CH,Clay,R16,182,342,(WC) Henri Squire [GER] d. (7) Fabbiano,6-4 6-3,0.71,3.1%,1.5%,55.4%,63.9%,51.7%,4/7,1:26
23-May-2022,Troisdorf CH,Clay,R32,182,269,(7) Fabbiano d. Kacper Zuk [POL],6-3 6-2,2.05,2.1%,6.3%,43.8%,95.2%,59.3%,2/3,1:24
23-May-2022,Roland Garros,Clay,Q1,182,135,(20) Nuno Borges [POR] d. Fabbiano,6-3 1-6 6-2,0.91,0.0%,4.0%,61.3%,67.4%,41.4%,1/5,
02-May-2022,Prague CH,Clay,QF,191,176,(5) Pedro Cachin [ARG] d. Fabbiano,6-3 6-3,0.68,3.4%,5.1%,55.9%,57.6%,34.6%,7/12,1:21
02-May-2022,Prague CH,Clay,R16,191,200,Fabbiano d. Ryan Peniston [GBR],6-1 4-6 6-0,1.41,0.0%,2.9%,44.9%,74.2%,44.7%,5/8,1:42
02-May-2022,Prague CH,Clay,R32,191,336,Fabbiano d. (Q) Yshai Oliel [ISR],2-6 6-3 6-2,1.09,2.0%,4.1%,61.2%,61.7%,57.9%,14/17,2:20
25-Apr-2022,Rome CH,Clay,R16,197,146,(3) Flavio Cobolli [ITA] d. Fabbiano,6-4 6-7(4) 6-2,0.84,0.9%,7.4%,62.0%,53.7%,48.8%,10/17,2:30
25-Apr-2022,Rome CH,Clay,R32,197,190,Fabbiano d. Salvatore Caruso [ITA],7-5 3-6 7-5,1.06,0.9%,6.3%,47.7%,60.4%,48.3%,3/10,3:31
18-Apr-2022,Split CH,Clay,R32,195,221,Borna Gojo [CRO] d. (5) Fabbiano,6-3 6-2,0.63,0.0%,4.5%,71.2%,53.2%,42.1%,8/12,1:22
