Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2023 Rotterdam R32,L vs Cressy,40.7%,37.8%,1.1%,1/0,2.15,16.1%,39.2%,45.0%,2.0%,2.09,20.0%,51.5%,29.4%,0.0%,2.27,9.1%
2023 Davis Cup Qualifiers RR,W vs Molcan,71.4%,47.8%,4.0%,1/4,2.34,19.3%,67.1%,42.1%,2.4%,2.33,40.7%,89.2%,57.6%,8.1%,2.34,0.0%
2023 Pune R32,W vs Albot,66.7%,45.0%,3.3%,1/1,2.25,18.2%,64.9%,37.5%,2.7%,2.56,33.3%,84.2%,56.3%,5.3%,1.91,0.0%
2022 Florence R32,L vs Ymer,73.7%,17.9%,2.6%,0/1,-,28.6%,70.0%,23.8%,0.0%,-,20.0%,100.0%,0.0%,14.3%,-,50.0%
2022 US Open R64,L vs Ruud,61.0%,36.1%,2.5%,2/1,2.33,38.7%,58.3%,34.7%,2.4%,2.08,62.9%,76.7%,39.1%,3.3%,2.62,7.4%
2022 US Open R128,W vs Zhang,57.3%,52.2%,5.1%,3/5,2.23,8.9%,51.4%,51.9%,1.9%,2.08,14.9%,75.0%,52.8%,12.5%,2.39,2.3%
2022 Wimbledon R16,L vs Djokovic,64.9%,38.1%,7.2%,3/4,2.33,26.3%,59.0%,41.7%,4.9%,2.26,38.3%,79.4%,33.3%,11.8%,2.42,9.1%
2022 Wimbledon R64,W vs Opelka,50.3%,51.3%,3.2%,1/4,2.38,18.5%,44.1%,46.7%,2.0%,2.25,33.3%,63.5%,57.6%,5.8%,2.54,0.0%
2022 Wimbledon R128,W vs Delbonis,73.4%,53.4%,7.6%,4/2,2.26,25.7%,75.5%,52.5%,5.7%,2.22,31.3%,75.0%,55.6%,12.5%,2.29,21.1%
2022 s Hertogenbosch F,W vs Medvedev,64.2%,70.6%,3.8%,0/2,2.14,13.6%,62.5%,70.0%,3.1%,1.93,20.0%,77.8%,71.4%,5.6%,2.57,0.0%
2022 s Hertogenbosch SF,W vs Auger Aliassime,45.8%,44.7%,2.4%,0/2,2.33,20.8%,42.4%,40.0%,1.7%,2.31,24.2%,65.0%,53.8%,5.0%,2.37,13.3%
2022 s Hertogenbosch QF,W vs Gaston,71.8%,41.1%,0.0%,0/0,1.96,15.4%,75.6%,41.2%,0.0%,2.06,18.8%,78.6%,40.9%,0.0%,1.80,10.0%
2022 s Hertogenbosch R16,W vs Fritz,58.8%,45.0%,4.9%,2/3,2.21,28.8%,53.0%,42.9%,0.0%,2.07,50.0%,73.5%,48.0%,14.7%,2.36,6.3%
2022 Forli CH F,L vs Draper,54.2%,34.6%,4.2%,1/1,2.21,12.0%,50.0%,33.3%,6.7%,2.24,17.6%,78.6%,36.4%,0.0%,2.17,0.0%
2021 Segovia CH F,L vs Bonzi,65.0%,44.7%,4.3%,2/3,2.24,36.7%,61.2%,41.5%,1.5%,2.02,55.2%,76.1%,48.6%,8.7%,2.45,19.4%
Career (15 matches),,60.3%,45.2%,3.9%,38.9%,2.26,22.7%,56.9%,43.4%,2.3%,2.18,33.9%,74.3%,47.9%,7.4%,2.36,8.3%
