Date,Tournament,Surface,Rd,Rk,vRk,,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
26-May-2025,Roland Garros,Clay,Q1,,263,(WC) Sascha Gueymard Wayenburg [FRA] d. Van Rijthoven,7-6(4) 6-0,,,,,,,,
13-Jan-2025,Australian Open,Hard,Q1,,133,(27) Jerome Kym [SUI] d. Van Rijthoven,6-0 6-3,0.45,2.9%,0.0%,57.1%,55.0%,33.3%,4/8,0:51
26-Aug-2024,US Open,Hard,Q1,,209,Kyrian Jacquet [FRA] d. Van Rijthoven,6-2 7-5,0.70,11.5%,5.1%,60.3%,68.1%,32.3%,6/10,1:26
12-Aug-2024,Grodzisk Mazowiecki CH,Hard,R32,,293,Manuel Guinard [FRA] d. (PR) Van Rijthoven,6-7(4) 6-0 6-3,0.68,7.9%,3.4%,67.4%,68.3%,51.7%,6/11,1:29
01-Jul-2024,Wimbledon,Grass,Q1,,203,Yasutaka Uchiyama [JPN] d. Van Rijthoven,6-7(6) 7-6(3) 6-1,0.98,16.3%,2.3%,62.8%,83.3%,62.5%,2/4,2:07
10-Jun-2024,s Hertogenbosch,Grass,R32,,81,(LL) Zizou Bergs [BEL] d. (WC) Van Rijthoven,6-4 6-3,0.70,7.3%,5.5%,63.6%,57.1%,50.0%,1/5,1:16
13-Feb-2023,Rotterdam,Hard,R32,110,40,Maxime Cressy [USA] d. (WC) Van Rijthoven,6-3 6-7(2) 6-3,1.07,17.6%,4.1%,63.5%,89.4%,59.3%,1/3,2:06
04-Feb-2023,Davis Cup QLS R1: NED vs SVK,Hard,RR,107,55,Van Rijthoven d. Alex Molcan [SVK],7-6(6) 5-7 6-3,,,,,,,,
16-Jan-2023,Australian Open,Hard,Q1,105,135,Leandro Riedi [SUI] d. (8) Van Rijthoven,6-3 3-0 RET,0.56,9.1%,4.5%,61.4%,66.7%,23.5%,2/5,0:44
02-Jan-2023,Pune,Hard,R16,111,59,(8) Aslan Karatsev [RUS] d. Van Rijthoven,7-6(7) 7-6(8),0.92,11.0%,6.6%,60.4%,80.0%,52.8%,7/8,2:09
02-Jan-2023,Pune,Hard,R32,111,103,Van Rijthoven d. Radu Albot [MDA],6-4 6-4,1.42,24.1%,0.0%,65.5%,76.3%,70.0%,2/2,1:26
