Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,359,232,127,64.6%,586-376,60.9%,5139-4492,53.4%,105-84,55.6%,337,84.0%,22.8%,11.5%,3.8%,61.3%,75.6%,52.1%,66.5%,37.8%,52.0%,1.13
Clay,116,67,49,57.8%,164-131,55.6%,1493-1371,52.1%,29-21,58.0%,111,79.0%,25.2%,8.3%,3.2%,61.9%,71.9%,50.0%,63.5%,39.3%,51.4%,1.08
Grass,86,61,25,70.9%,175-94,65.1%,1506-1268,54.3%,36-27,57.1%,77,86.8%,20.8%,11.9%,4.7%,63.4%,79.8%,48.0%,68.2%,37.7%,52.7%,1.18
Carpet,88,52,36,59.1%,120-91,56.9%,1080-1015,51.6%,25-17,59.5%,73,84.2%,18.5%,11.6%,3.7%,60.7%,74.6%,51.9%,65.7%,36.1%,50.9%,1.05
Grand Slams,150,102,48,68.0%,343-223,60.6%,3049-2661,53.4%,65-55,54.2%,138,84.3%,22.0%,10.8%,3.8%,63.1%,77.3%,49.5%,67.1%,38.0%,52.4%,1.15
Masters,147,84,63,57.1%,200-154,56.5%,1825-1687,52.0%,35-25,58.3%,146,82.8%,20.9%,11.4%,4.1%,59.9%,74.8%,51.7%,65.5%,36.7%,51.0%,1.06
Other Tours,330,214,116,64.8%,463-284,62.0%,3990-3459,53.6%,87-65,57.2%,311,83.6%,23.4%,11.0%,3.7%,61.5%,74.5%,52.1%,65.9%,38.2%,51.9%,1.12
Best of 5,172,113,59,65.7%,381-259,59.5%,3415-3026,53.0%,72-61,54.1%,141,84.1%,22.2%,10.8%,3.8%,63.0%,77.3%,49.3%,67.0%,38.0%,52.3%,1.15
Best of 3,477,299,178,62.7%,664-433,60.5%,5803-5120,53.1%,123-88,58.3%,457,83.3%,22.5%,11.1%,3.8%,60.9%,74.6%,52.0%,65.7%,37.7%,51.6%,1.10
Finals,20,8,12,40.0%,24-29,45.3%,277-286,49.2%,7-10,41.2%,19,79.8%,19.2%,12.0%,3.6%,60.1%,73.4%,49.4%,63.8%,35.3%,49.7%,0.98
Semi-finals,46,20,26,43.5%,50-62,44.6%,548-587,48.3%,14-11,56.0%,43,80.9%,16.7%,10.9%,3.6%,61.0%,74.1%,50.2%,64.8%,34.9%,49.9%,0.99
Quarter-finals,73,46,27,63.0%,108-74,59.3%,981-899,52.2%,25-21,54.3%,71,83.4%,20.9%,10.9%,3.7%,62.2%,75.0%,50.7%,65.8%,36.7%,51.1%,1.07
vs Righties,548,336,212,61.3%,859-608,58.6%,7715-6929,52.7%,149-132,53.0%,508,82.9%,22.6%,10.9%,3.8%,61.5%,75.0%,50.9%,65.7%,37.9%,51.7%,1.10
vs Lefties,101,76,25,75.2%,186-84,68.9%,1503-1217,55.3%,46-17,73.0%,90,87.4%,21.2%,11.8%,4.0%,62.7%,78.8%,52.3%,68.9%,37.7%,53.1%,1.21
vs Top 10,119,34,85,28.6%,123-209,37.0%,1603-1826,46.7%,39-48,44.8%,108,79.4%,14.0%,11.2%,3.9%,60.8%,73.1%,48.7%,63.5%,33.2%,48.5%,0.91
