Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2019 Indian Wells R128,L vs Lopez,0.0%,-,15.0%,55.6%,23.1%,32.1%,8.3%,14.0%,16.7%,0.4%,0.0%,33,17
2019 Australian Open R32,W vs Schwartzman,0.8%,0.0%,11.2%,73.3%,12.5%,22.5%,8.3%,10.4%,26.3%,1.0%,25.0%,35,24
2019 Australian Open R128,W vs Edmund,0.0%,-,6.5%,60.0%,26.3%,14.8%,0.0%,2.6%,16.7%,0.0%,-,-3,19
2019 Doha F,L vs Bautista Agut,2.6%,50.0%,16.8%,71.4%,13.6%,17.9%,0.0%,7.1%,29.4%,1.3%,0.0%,5,-1
2019 Doha SF,W vs Cecchinato,0.0%,-,4.1%,50.0%,17.7%,13.0%,0.0%,9.1%,42.9%,0.6%,0.0%,-18,46
2018 Monte Carlo R64,L vs Nishikori,2.8%,0.0%,9.4%,38.5%,20.3%,31.0%,16.7%,1.1%,4.0%,0.0%,-,56,32
2018 Australian Open QF,L vs Federer,1.1%,100.0%,10.5%,55.0%,14.6%,14.3%,0.0%,8.8%,30.0%,0.3%,100.0%,-71,-80
2017 Wimbledon SF,L vs Federer,5.0%,66.7%,12.4%,62.1%,14.7%,11.4%,0.0%,9.4%,18.2%,0.0%,-,-26,-15
2017 Wimbledon QF,W vs Djokovic,0.0%,-,3.2%,100.0%,16.9%,22.2%,0.0%,17.6%,35.7%,0.6%,100.0%,10,11
2017 Queens Club R16,W vs Shapovalov,0.0%,-,1.4%,100.0%,32.4%,40.9%,27.3%,18.8%,0.0%,0.0%,-,35,56
2017 Lyon F,L vs Tsonga,0.0%,-,13.7%,50.0%,20.5%,21.7%,33.3%,6.4%,27.3%,0.6%,0.0%,-3,14
2017 Madrid R16,L vs Zverev,1.8%,100.0%,17.6%,84.2%,18.1%,25.0%,33.3%,6.1%,0.0%,0.6%,100.0%,51,10
2017 Miami QF,L vs Federer,1.2%,100.0%,7.2%,76.9%,25.8%,40.0%,12.5%,11.8%,33.3%,0.5%,0.0%,24,33
2017 Australian Open R32,L vs Federer,1.5%,100.0%,9.3%,57.1%,7.4%,0.0%,33.3%,2.9%,0.0%,0.6%,0.0%,-87,0
2017 Doha SF,L vs Murray,3.3%,50.0%,23.1%,60.0%,16.7%,25.6%,0.0%,7.5%,8.3%,4.0%,20.0%,32,-11
2016 Shenzhen F,W vs Gasquet,2.3%,50.0%,9.9%,68.2%,20.6%,36.0%,42.9%,10.2%,19.0%,0.3%,0.0%,21,46
2016 Wimbledon SF,L vs Murray,0.0%,-,21.1%,70.6%,13.5%,13.3%,0.0%,9.8%,15.4%,1.1%,33.3%,71,32
2016 Madrid QF,L vs Murray,0.0%,-,14.0%,57.1%,14.1%,12.5%,14.3%,7.1%,37.5%,0.0%,-,29,-11
2016 Miami R32,W vs Johnson,1.0%,100.0%,9.8%,63.6%,22.7%,26.2%,0.0%,15.4%,0.0%,0.0%,-,60,46
2016 Marseille SF,L vs Kyrgios,0.0%,-,9.5%,50.0%,20.0%,17.6%,0.0%,7.1%,10.0%,0.0%,-,8,-27
Career (113 matches),,0.7%,63.9%,10.1%,69.1%,15.2%,18.8%,13.8%,6.7%,16.1%,0.3%,31.5%,-4,5
