Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2013 Roland Garros R128,L vs Raonic,26,18,1.4,12.8%,8.9%,18,17,1.1,10.2%,9.7%,,,1.7,30.0%,17.7%
2013 Australian Open R64,L vs Verdasco,14,45,0.3,8.5%,27.3%,11,40,0.3,7.2%,26.3%,,,1.0,18.8%,18.2%
2012 US Open R128,L vs Isner,47,27,1.7,17.5%,10.0%,36,23,1.6,15.7%,10.0%,,,1.4,21.9%,16.0%
2012 Wimbledon R16,L vs Federer,34,21,1.6,14.9%,9.2%,25,19,1.3,12.1%,9.2%,,,2.5,19.7%,7.9%
2012 Wimbledon R32,W vs Verdasco,37,15,2.5,12.5%,5.1%,29,15,1.9,11.2%,5.8%,,,1.5,23.3%,15.5%
2012 Wimbledon R64,W vs Simon,34,20,1.7,15.7%,9.2%,24,20,1.2,12.2%,10.2%,,,1.8,18.9%,10.6%
2012 Roland Garros R128,L vs Baker,37,33,1.1,17.3%,15.4%,25,30,0.8,13.2%,15.9%,,,1.7,21.5%,12.6%
2011 Wimbledon R16,L vs Tomic,28,21,1.3,17.1%,12.8%,15,15,1.0,11.1%,11.1%,7.4%,3.7%,4.6,22.6%,4.9%
2011 Wimbledon R32,W vs Melzer,39,10,3.9,23.6%,6.1%,20,10,2.0,14.5%,7.2%,9.4%,5.1%,1.9,15.2%,7.9%
2011 Roland Garros R64,L vs Verdasco,32,53,0.6,12.4%,20.5%,28,51,0.5,11.4%,20.8%,6.9%,4.1%,0.9,15.1%,17.0%
2011 Australian Open R32,L vs Federer,16,30,0.5,9.5%,17.9%,12,28,0.4,7.7%,18.1%,,,1.0,21.4%,21.4%
2002 Wimbledon SF,L vs Nalbandian,49,52,0.9,22.0%,23.3%,26,46,0.6,13.6%,24.1%,9.9%,3.7%,0.7,11.7%,16.6%
1999 Davis Cup RR,W vs Federer,26,56,0.5,8.3%,17.9%,22,51,0.4,7.4%,17.2%,4.0%,3.0%,0.6,14.1%,25.6%
Career (13 matches),,419,401,1.0,14.5%,13.9%,291,365,0.8,11.3%,14.2%,2.8%,1.5%,1.3,19.4%,15.3%
