Date,Tournament,Surface,Rd,Rk,vRk,,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
04-Sep-2023,M25+H Bagneres-de-Bigorre,Hard,R32,1237,645,(7) Adrien Gobat [FRA] d. Mertens,6-4 4-6 6-1,,,,,,,,
27-Mar-2023,Lille CH,Hard,Q1,1073,277,(2) James Mccabe [AUS] d. (Alt) Mertens,6-2 6-3,0.62,0.0%,2.2%,71.1%,50.0%,61.5%,3/7,0:58
06-Feb-2023,Tenerife 3 CH,Hard,Q1,1007,286,(4) Joao Domingues [POR] d. (Alt) Mertens,6-4 6-2,0.77,0.0%,9.2%,60.0%,59.0%,42.3%,3/7,1:26
16-Jan-2023,Tenerife 1 CH,Hard,Q1,964,281,(10) Lucas Gerch [GER] d. (WC) Mertens,6-2 6-1,0.62,0.0%,0.0%,59.2%,62.1%,20.0%,1/6,1:02
06-Nov-2022,Roanne CH,Hard,Q1,964,352,(9) Arthur Cazaux [FRA] d. (WC) Mertens,6-3 6-2,0.82,0.0%,1.9%,55.6%,63.3%,50.0%,8/11,1:17
17-Oct-2022,Antwerp,Hard,Q1,878,225,(6) Jesper De Jong [NED] d. (Alt) Mertens,6-3 3-6 6-1,0.65,1.3%,0.0%,66.7%,62.0%,56.0%,1/4,1:34
10-Oct-2022,M25+H Rodez,Hard,R32,840,456,(7) Matteo Martineau [FRA] d. Mertens,6-4 6-2,,,,,,,,
03-Oct-2022,M25 Nevers,Hard,R32,830,699,Arthur Bouquier [FRA] d. Mertens,6-3 3-6 6-3,,,,,,,,
12-Sep-2022,Rennes CH,Hard,R32,858,85,(1) Hugo Gaston [FRA] d. (Q) Mertens,7-5 6-4,0.73,4.1%,2.7%,68.9%,64.7%,52.2%,4/6,1:29
12-Sep-2022,Rennes CH,Hard,Q2,858,818,Mertens d. (12) Luke Johnson [GBR],4-6 7-6(2) 6-4,0.84,5.2%,2.2%,73.9%,61.6%,51.4%,9/12,1:53
12-Sep-2022,Rennes CH,Hard,Q1,858,701,Mertens d. (6) Ivan Liutarevich [BLR],7-5 7-6(9),1.19,1.3%,2.5%,75.0%,73.3%,55.0%,1/3,1:34
05-Sep-2022,M25+H Bagneres-de-Bigorre,Hard,R32,856,701,(8) Maxence Beauge [FRA] d. Mertens,6-3 6-1,,,,,,,,
