Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2017 Ningbo CH R32,W vs Soeda,50% (7/14),57% (4/7),1/2,27% (4/15),25% (1/4),3/4,2/2,0/1,1/1,0/0
2017 Tokyo R16,L vs Gasquet,44% (4/9),50% (2/4),0/5,67% (6/9),17% (1/6),1/2,0/1,0/0,0/0,0/0
2017 Tokyo R32,W vs Daniel,63% (5/8),80% (4/5),0/0,13% (1/8),100% (1/1),3/3,1/1,0/0,0/0,0/0
2017 Chengdu QF,L vs Baghdatis,22% (2/9),50% (1/2),0/4,50% (4/8),0% (0/4),0/1,0/0,1/1,0/0,0/0
2017 Chengdu R16,W vs Rublev,57% (4/7),100% (4/4),0/0,25% (2/8),100% (2/2),3/3,1/1,0/0,1/1,0/0
2017 US Open R64,L vs Albot,36% (9/25),67% (6/9),0/3,36% (9/25),56% (5/9),4/4,0/1,2/3,0/0,1/1
2017 US Open R128,W vs Khachanov,33% (6/18),100% (6/6),0/1,22% (4/18),50% (2/4),5/5,2/2,0/1,1/1,0/0
2017 Winston-Salem R32,L vs Johnson,30% (3/10),33% (1/3),0/2,56% (5/9),40% (2/5),1/1,0/0,2/3,0/0,2/2
2017 Jinan CH F,W vs Berankis,50% (4/8),100% (4/4),0/0,13% (1/8),100% (1/1),3/3,1/1,0/0,0/0,0/0
2017 Jinan CH SF,W vs Soeda,31% (5/16),40% (2/5),0/2,13% (2/16),0% (0/2),1/2,1/1,0/0,1/1,0/0
2017 Jinan CH R16,W vs Kecmanovic,63% (5/8),100% (5/5),1/1,13% (1/8),0% (0/1),2/3,0/1,0/0,0/1,0/0
2017 Chengdu CH F,W vs Donskoy,33% (3/9),67% (2/3),0/0,0% (0/10),- (0/0),2/2,2/2,0/0,1/1,0/0
2017 Wimbledon R128,L vs Bolelli,22% (4/18),100% (4/4),0/5,35% (6/17),17% (1/6),3/4,1/1,3/3,0/0,2/2
2017 Roland Garros R128,L vs Stakhovsky,0% (0/16),- (0/0),0/2,33% (5/15),60% (3/5),0/0,0/0,2/2,0/0,0/0
2017 Gimcheon CH R16,L vs Chiudinelli,38% (3/8),33% (1/3),0/4,75% (6/8),17% (1/6),1/1,0/0,0/1,0/0,0/1
2017 Gimcheon CH R32,W vs Gunneswaran,63% (5/8),100% (5/5),1/1,13% (1/8),0% (0/1),3/3,0/0,0/0,0/0,0/0
2017 Taipei CH F,W vs Ito,40% (4/10),75% (3/4),0/0,0% (0/9),- (0/0),2/2,0/0,0/0,0/0,0/0
2017 Taipei CH SF,W vs Pospisil,30% (3/10),67% (2/3),0/0,10% (1/10),100% (1/1),2/2,2/2,0/0,1/1,0/0
2017 Taipei CH QF,W vs Soeda,63% (5/8),100% (5/5),0/1,13% (1/8),0% (0/1),4/4,1/1,0/0,0/0,0/0
2017 Taipei CH R16,W vs Wang,56% (5/9),80% (4/5),0/1,10% (1/10),0% (0/1),3/3,1/1,1/1,1/1,0/0
2017 (31 matches),,36.1%,72.3%,16.4%,29.4%,28.3%,85.5%,82.6%,70.0%,80.0%,61.5%
2016 (30 matches),,29.3%,60.0%,12.3%,28.5%,40.7%,83.9%,87.0%,83.7%,81.8%,80.0%
2015 (23 matches),,34.9%,63.6%,21.3%,31.1%,37.9%,80.4%,75.0%,75.0%,100.0%,72.7%
2014 (32 matches),,30.2%,68.1%,13.6%,33.0%,44.0%,88.4%,85.3%,75.0%,88.2%,70.0%
2013 (30 matches),,37.3%,63.0%,28.2%,35.9%,32.3%,75.3%,88.0%,72.7%,81.8%,58.3%
Career (170 matches),,33.2%,65.4%,19.8%,32.1%,36.6%,82.0%,85.8%,76.5%,86.4%,71.8%
