Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2025 Hangzhou SF,L vs Bublik,27.3%,32.7%,42.5%,31.1%,28.6%,37.1%,56.0%,34.6%,31.6%,18.8%,0.0%,25.0%,25.0%,20.0%,-79
2025 Hangzhou R16,W vs Korda,38.2%,42.7%,51.9%,41.2%,49.2%,54.2%,53.3%,53.7%,44.0%,35.3%,66.7%,18.5%,22.2%,50.0%,65
2023 Stuttgart R32,W vs Kyrgios,41.2%,60.3%,55.3%,49.6%,48.8%,69.8%,54.5%,62.1%,30.0%,26.1%,100.0%,30.4%,47.8%,56.3%,42
2023 Barcelona R64,L vs Schwartzman,16.9%,24.6%,35.8%,20.0%,14.3%,23.8%,30.6%,19.0%,54.5%,30.0%,28.6%,22.7%,27.3%,47.1%,-13
2023 Indian Wells R128,W vs Munar,16.1%,33.3%,64.9%,24.3%,27.3%,45.5%,68.8%,44.5%,31.6%,48.0%,100.0%,6.7%,24.4%,61.9%,-51
2023 Dallas F,W vs Isner,31.3%,43.0%,66.3%,38.0%,35.6%,47.1%,67.9%,45.5%,30.0%,33.3%,-,23.1%,35.9%,63.3%,-5
2023 Dallas SF,W vs Fritz,27.0%,34.4%,56.2%,32.4%,31.9%,41.7%,57.1%,41.0%,42.4%,30.8%,0.0%,20.0%,24.0%,55.0%,-79
2022 US Open R64,W vs Borges,31.4%,41.6%,51.7%,37.4%,38.9%,51.3%,49.3%,48.8%,47.9%,46.2%,0.0%,23.0%,31.1%,55.3%,96
2022 Indianapolis CH F,W vs Kovacevic,25.3%,36.3%,52.8%,32.3%,29.3%,41.4%,55.7%,39.6%,39.5%,33.9%,28.6%,17.4%,26.1%,47.4%,-47
Career (9 matches),,28.5%,39.0%,54.3%,34.4%,34.5%,46.3%,55.0%,44.0%,40.2%,35.5%,33.3%,19.8%,28.8%,53.2%,23
