Mtgs,Opponent,W,L,Win%,TB,W,L,TB%,First,Last,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
8,Felix Auger Aliassime [CAN],4,4,50.0%,5,3,2,60.0%,2015,2024,8,0.90,1.1%,1.8%,66.7%,62.6%,53.6%,59.6%,36.4%,72.2%,43.4%
7,Frances Tiafoe [USA],3,4,42.9%,4,1,3,25.0%,2016,2025,7,0.96,5.2%,0.9%,62.4%,66.1%,54.4%,61.7%,36.7%,63.6%,54.5%
7,Jordan Thompson [AUS],6,1,85.7%,2,2,0,100.0%,2017,2024,7,1.05,1.5%,1.5%,67.3%,68.2%,53.1%,63.3%,38.5%,69.5%,37.3%
7,Mackenzie Mcdonald [USA],5,2,71.4%,2,1,1,50.0%,2019,2024,7,1.18,1.9%,2.4%,63.7%,69.4%,57.1%,64.9%,41.3%,69.8%,44.8%
6,Aleksandar Vukic [AUS],4,2,66.7%,4,2,2,50.0%,2018,2025,6,1.28,5.6%,0.9%,65.6%,76.1%,63.3%,71.7%,36.3%,73.1%,57.7%
6,Andrey Rublev [RUS],3,3,50.0%,0,0,0,-,2019,2025,6,0.93,4.9%,1.9%,69.0%,65.6%,52.2%,61.5%,35.7%,59.5%,54.2%
6,Miomir Kecmanovic [SRB],3,3,50.0%,2,0,2,0.0%,2019,2024,6,1.02,5.0%,1.9%,61.8%,63.9%,55.2%,60.5%,40.3%,56.4%,55.1%
6,Daniel Evans [GBR],6,0,100.0%,4,3,1,75.0%,2016,2022,6,1.14,3.1%,2.3%,67.7%,67.0%,55.6%,63.4%,41.6%,60.0%,46.6%
6,Kyle Edmund [GBR],2,4,33.3%,1,0,1,0.0%,2013,2020,3,0.88,2.1%,2.5%,62.3%,61.1%,43.3%,54.4%,40.3%,76.2%,47.6%
5,Jason Jung [TPE],4,1,80.0%,0,0,0,-,2014,2025,4,1.15,4.8%,2.8%,55.2%,65.9%,51.8%,59.6%,46.5%,44.0%,46.2%
5,Marcos Giron [USA],3,2,60.0%,3,1,2,33.3%,2015,2024,5,1.03,4.3%,1.4%,62.0%,69.0%,53.2%,63.0%,38.0%,61.1%,36.7%
5,Karen Khachanov [RUS],1,4,20.0%,4,2,2,50.0%,2019,2023,4,0.78,3.1%,1.9%,63.0%,55.2%,52.5%,54.2%,35.7%,51.4%,20.8%
5,Nick Kyrgios [AUS],0,5,0.0%,1,0,1,0.0%,2014,2022,5,0.70,4.7%,2.6%,59.0%,65.5%,52.5%,60.2%,27.7%,61.9%,26.7%
5,Yasutaka Uchiyama [JPN],3,2,60.0%,2,0,2,0.0%,2014,2022,4,0.97,1.5%,3.3%,64.2%,66.5%,44.2%,58.5%,40.3%,50.0%,39.0%
5,Feliciano Lopez [ESP],4,1,80.0%,3,2,1,66.7%,2016,2022,5,0.98,3.1%,3.1%,67.4%,66.2%,51.9%,61.5%,37.6%,75.5%,36.4%
