Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,47,13,34,27.7%,47-88,34.8%,585-696,45.7%,4-10,28.6%,29,70.0%,18.2%,6.2%,5.7%,64.2%,65.8%,45.1%,58.4%,34.4%,46.6%,0.83
Clay,8,5,3,62.5%,15-12,55.6%,134-118,53.2%,0-1,0.0%,6,76.7%,37.1%,5.5%,5.1%,65.6%,66.5%,50.5%,61.0%,43.6%,52.1%,1.12
Grass,3,1,2,33.3%,2-5,28.6%,24-41,36.9%,1-1,50.0%,2,50.0%,27.8%,5.4%,9.2%,63.8%,62.7%,34.0%,52.3%,38.5%,46.0%,0.81
Carpet,2,0,2,0.0%,1-5,16.7%,22-35,38.6%,0-0,-,0,,,,,,,,,,,
Grand Slams,2,0,2,0.0%,2-6,25.0%,28-42,40.0%,0-0,-,2,65.7%,14.3%,6.5%,4.8%,60.9%,65.7%,43.3%,57.0%,30.7%,44.6%,0.71
Masters,10,0,10,0.0%,4-20,16.7%,87-138,38.7%,0-2,0.0%,10,65.8%,12.5%,6.3%,5.2%,68.1%,64.1%,39.6%,56.3%,31.8%,44.4%,0.73
Other Tours,16,5,11,31.3%,10-24,29.4%,143-184,43.7%,1-4,20.0%,16,69.6%,19.5%,5.4%,6.5%,62.1%,65.9%,46.5%,58.6%,35.3%,47.0%,0.85
Best of 5,24,7,17,29.2%,35-58,37.6%,407-477,46.0%,3-5,37.5%,5,69.2%,23.1%,4.8%,5.6%,64.2%,64.6%,46.0%,57.9%,36.7%,47.5%,0.87
Best of 3,36,12,24,33.3%,30-52,36.6%,358-413,46.4%,2-7,22.2%,32,70.9%,22.3%,6.4%,5.8%,64.6%,66.1%,45.5%,58.8%,36.5%,47.7%,0.89
Quarter-finals,1,0,1,0.0%,0-2,0.0%,7-12,36.8%,0-0,-,1,66.7%,10.0%,0.0%,5.9%,68.6%,65.7%,50.0%,60.8%,36.5%,46.4%,0.93
vs Righties,52,17,35,32.7%,59-95,38.3%,677-779,46.5%,4-9,30.8%,31,71.7%,24.9%,6.2%,6.0%,64.6%,66.6%,45.1%,59.0%,38.1%,48.5%,0.93
vs Lefties,6,0,6,0.0%,1-13,7.1%,49-87,36.0%,0-2,0.0%,6,64.2%,9.0%,5.2%,4.3%,63.9%,61.6%,47.8%,56.6%,27.6%,42.9%,0.64
vs Top 10,2,0,2,0.0%,0-4,0.0%,10-24,29.4%,0-0,-,2,56.3%,5.6%,6.6%,5.7%,64.2%,58.8%,39.5%,51.9%,25.5%,39.2%,0.53
