Mtgs,Opponent,W,L,Win%,TB,W,L,TB%,First,Last,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
6,Zhe Li [CHN],4,2,66.7%,0,0,0,-,2018,2019,6,1.06,10.2%,4.6%,57.9%,75.2%,54.9%,66.7%,35.3%,73.8%,44.1%
5,Zizou Bergs [BEL],2,3,40.0%,2,1,1,50.0%,2022,2026,5,1.00,8.1%,2.6%,65.5%,75.4%,47.7%,65.8%,34.2%,50.0%,28.6%
5,Hubert Hurkacz [POL],2,3,40.0%,5,1,4,20.0%,2019,2025,5,0.96,8.8%,2.9%,62.9%,75.5%,55.1%,67.9%,30.8%,63.6%,29.6%
4,Yasutaka Uchiyama [JPN],1,3,25.0%,3,1,2,33.3%,2013,2026,4,0.92,10.9%,2.2%,61.3%,68.4%,50.8%,61.6%,35.5%,56.5%,42.1%
4,Francisco Cerundolo [ARG],2,2,50.0%,3,1,2,33.3%,2019,2026,4,0.98,7.2%,0.9%,71.9%,68.7%,47.8%,62.8%,36.4%,52.2%,65.0%
4,Andrey Rublev [RUS],0,4,0.0%,1,1,0,100.0%,2022,2025,4,0.62,13.9%,3.9%,64.9%,73.8%,40.7%,62.2%,23.6%,44.4%,0.0%
4,Aslan Karatsev [RUS],1,3,25.0%,2,0,2,0.0%,2022,2024,4,0.93,7.8%,2.1%,65.0%,71.7%,51.5%,64.7%,32.8%,46.2%,21.7%
4,Maxime Janvier [FRA],4,0,100.0%,3,3,0,100.0%,2019,2024,4,1.26,8.6%,2.0%,63.8%,75.5%,58.7%,69.4%,38.6%,76.5%,47.6%
4,Alexandre Muller [FRA],2,2,50.0%,2,1,1,50.0%,2021,2023,4,1.03,5.9%,3.2%,57.2%,74.7%,46.2%,62.5%,38.7%,63.3%,35.3%
4,Tung Lin Wu [TPE],0,4,0.0%,1,0,1,0.0%,2019,2022,4,0.79,11.2%,3.9%,60.9%,70.4%,49.5%,62.2%,29.7%,42.1%,20.0%
4,Soon Woo Kwon [KOR],2,2,50.0%,3,1,2,33.3%,2017,2019,3,1.16,12.2%,3.5%,60.0%,75.8%,47.1%,64.3%,41.5%,57.9%,35.3%
3,Felix Auger Aliassime [CAN],1,2,33.3%,1,0,1,0.0%,2024,2026,3,0.87,8.8%,3.4%,63.2%,72.1%,49.3%,63.7%,31.5%,70.6%,33.3%
3,Roberto Carballes Baena [ESP],2,1,66.7%,0,0,0,-,2022,2026,3,1.06,11.7%,0.0%,62.6%,75.5%,45.9%,64.4%,37.6%,50.0%,66.7%
3,Flavio Cobolli [ITA],2,1,66.7%,1,1,0,100.0%,2021,2024,3,1.15,4.0%,1.5%,60.9%,69.1%,50.6%,61.9%,44.0%,60.0%,44.0%
3,Jan Lennard Struff [GER],0,3,0.0%,2,0,2,0.0%,2023,2024,3,0.71,11.3%,2.3%,57.8%,77.0%,42.6%,62.5%,26.7%,59.1%,27.3%
