Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,10,Hard,17,7,10,41.2%,4,0,4,0.0%,2006,2015,R64,14,0.89,6.1%,3.6%,65.3%,65.2%,43.8%,57.8%,37.6%,58.1%,51.6%
Roland Garros,9,Clay,18,9,9,50.0%,5,4,1,80.0%,2006,2015,R32,12,0.92,5.4%,2.1%,66.1%,63.3%,43.9%,56.7%,39.7%,55.1%,44.0%
Wimbledon,8,Grass,11,3,8,27.3%,1,1,0,100.0%,2006,2015,R128,5,0.74,8.0%,2.4%,71.0%,64.0%,45.9%,58.8%,30.5%,51.4%,31.6%
US Open,9,Hard,15,6,9,40.0%,0,0,0,-,2005,2014,R32,10,1.06,5.2%,4.6%,66.5%,66.1%,44.5%,58.9%,43.4%,54.1%,53.2%
Olympics,1,,1,0,1,0.0%,0,0,0,-,2008,2008,R64,0,,,,,,,,,,
Fed Cup,15,,42,24,18,57.1%,7,1,6,14.3%,2001,2020,,5,0.91,3.8%,5.0%,67.5%,57.7%,39.1%,51.7%,44.1%,65.8%,55.6%
Dubai,5,Hard,8,3,5,37.5%,2,1,1,50.0%,2008,2021,R64,5,0.80,5.0%,5.0%,62.1%,56.0%,33.6%,47.5%,42.2%,48.9%,48.1%
Hua Hin,2,Hard,6,4,2,66.7%,1,1,0,100.0%,2015,2020,R16,2,0.86,6.4%,5.7%,69.5%,65.3%,39.5%,57.4%,36.7%,57.1%,30.8%
Tashkent,18,Hard,33,15,18,45.5%,12,7,5,58.3%,2000,2019,F,16,1.00,8.6%,2.8%,68.5%,67.7%,46.0%,60.9%,39.3%,60.5%,45.0%
Istanbul,3,Hard,6,3,3,50.0%,2,1,1,50.0%,2008,2015,SF,5,0.96,5.6%,3.9%,55.8%,67.7%,42.7%,56.6%,41.9%,56.8%,45.7%
Katowice,2,Hard,3,1,2,33.3%,0,0,0,-,2013,2015,Q2,2,1.15,1.9%,0.9%,63.2%,65.7%,51.3%,60.4%,45.7%,16.7%,43.8%
Pattaya,10,Hard,24,14,10,58.3%,3,2,1,66.7%,2005,2015,SF,13,0.95,10.8%,2.8%,63.7%,66.2%,40.5%,56.9%,41.2%,57.6%,41.6%
