Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,8,Hard,13,5,8,38.5%,5,3,2,60.0%,2019,2026,R128,13,0.86,3.7%,3.1%,65.8%,62.2%,42.8%,55.5%,38.4%,48.0%,39.1%
Roland Garros,5,Clay,15,9,6,60.0%,4,2,2,50.0%,2019,2023,R16,15,1.05,2.2%,3.5%,70.5%,59.6%,44.9%,55.3%,46.8%,52.3%,45.4%
Wimbledon,4,Grass,4,0,4,0.0%,0,0,0,-,2019,2023,R128,4,0.87,2.1%,5.4%,62.4%,57.9%,42.1%,51.9%,41.7%,46.8%,38.1%
US Open,7,Hard,12,5,7,41.7%,3,2,1,66.7%,2018,2024,R64,12,0.93,3.3%,3.9%,69.1%,60.6%,39.3%,54.0%,42.7%,56.6%,44.4%
Cali 125,2,Clay,3,1,2,33.3%,2,1,1,50.0%,2023,2024,R16,3,1.00,2.0%,5.6%,70.2%,64.0%,44.1%,58.1%,41.8%,47.4%,33.3%
Bucharest 125,2,Clay,6,4,2,66.7%,3,2,1,66.7%,2022,2024,R16,6,1.05,1.9%,5.0%,71.0%,59.2%,42.3%,54.3%,48.2%,58.1%,41.3%
Valencia 125,2,Clay,2,0,2,0.0%,0,0,0,-,2022,2023,R32,2,0.87,2.9%,5.0%,67.1%,55.3%,45.7%,52.1%,41.7%,45.0%,50.0%
Rome,3,Clay,7,4,3,57.1%,2,1,1,50.0%,2020,2023,R32,7,1.08,2.5%,3.1%,66.3%,56.3%,47.5%,53.3%,50.3%,48.3%,49.3%
Madrid,3,Clay,5,2,3,40.0%,0,0,0,-,2019,2023,Q2,5,0.99,2.9%,2.2%,70.8%,59.5%,50.0%,56.7%,43.1%,60.4%,66.7%
Bogota,3,Clay,6,3,3,50.0%,1,0,1,0.0%,2019,2023,R16,6,0.96,1.3%,5.5%,67.7%,60.0%,35.7%,52.1%,45.9%,42.2%,45.2%
